row,votes,corr_to_median,pca_resid,iso_score
128,3,-0.08352013,0.98740053,0.551367880665329
9665,2,-0.12742218,1.0801545,0.45119141431937504
9131,2,-0.025662849,1.0508881,0.42273860541500746
9668,2,-0.04316084,1.0485544,0.4743858529631052
9669,2,-0.043160845,1.0485544,0.4743858529631052
3819,2,-0.020976316,1.0276995,0.4701897519110737
952,2,0.0063811913,1.0083182,0.43247425584506005
210,2,0.02851525,0.9878494,0.43697070701451934
9627,2,0.006504113,0.9625566,0.4731805716785014
433,2,0.032026015,0.96046144,0.4151111804957779
9639,2,0.010263149,0.9550377,0.453113156093881
9557,2,0.006949899,0.95462656,0.4732714519981595
88,2,0.0081597,0.9451326,0.4172372780020414
9644,2,-0.00043519167,0.94401675,0.45341309518011913
9579,2,0.023751598,0.94078094,0.49205791632523926
26,2,0.0135021815,0.9394096,0.4160956086365878
9546,2,0.030130856,0.93805194,0.4855012533139242
9567,2,0.024780093,0.9139841,0.49308319384857047
222,2,0.026957266,0.8838635,0.406848938835804
66,2,0.02672417,0.88161963,0.41526775324172543
177,2,0.028712511,0.83066094,0.4197577450889767
168,2,0.030456593,0.80776,0.4222024952307874
130,2,0.028016131,0.8042221,0.42850139064496634
23,2,0.03266333,0.77996796,0.41734819560600034
9296,2,0.032811932,0.76089865,0.49874294863111474
9575,2,0.15356919,0.73645043,0.5581681748821524
9612,2,0.27345523,0.7361612,0.5576206939341869
205,2,0.032133218,0.73262554,0.4381684120432488
9609,2,0.17209111,0.7300641,0.5655604202064797
9537,2,0.19489378,0.7287473,0.5691482546675379
9623,2,0.18085723,0.72824425,0.5650025833872545
9378,2,0.034234107,0.7258519,0.511028235476886
9577,2,0.23099574,0.72563064,0.5792810028297679
9646,2,0.23328179,0.7228339,0.5808508605564836
9638,2,0.2484662,0.72142786,0.5612768093206625
9571,2,0.23694007,0.72085327,0.5786748356993656
9631,2,0.24776392,0.7185792,0.5619528319237408
9570,2,0.2339725,0.7175465,0.5808508605564836
57,2,0.016254455,0.7157638,0.4539151722386138
9653,2,0.12752664,0.71522915,0.5541927548766011
9256,2,0.035745017,0.71360904,0.5204277300846636
9496,2,0.25426373,0.71266633,0.5720835639036673
9554,2,0.20266578,0.7093749,0.5795868923428502
9510,2,0.20799613,0.7016552,0.582537256119527
9363,2,0.026922267,0.60575783,0.555755770109305
9252,2,0.04021705,0.5213026,0.5681086470002521
9251,2,0.03615969,0.3906795,0.5900448178192511
9463,1,0.05443815,1.011634,0.4236619348281998
9263,1,0.054574937,1.0089501,0.4264413349516583
9506,1,0.05096159,1.0068976,0.4299062389973733
9654,1,0.053633273,1.0009648,0.4430635521658692
9655,1,0.05400071,1.000868,0.4430635521658692
9508,1,0.045518238,0.9979872,0.4258165336493917
9488,1,0.07233787,0.9966739,0.4163088325132972
9619,1,0.06746954,0.9952567,0.4211740935171059
9608,1,0.077398024,0.9882851,0.42049526431548445
9636,1,0.0640872,0.9860921,0.4200534118776974
9558,1,0.06669964,0.9860441,0.41924342741341153
113,1,0.047027435,0.9860176,0.4276712613445352
58,1,0.06992267,0.98590314,0.4262038036468912
78,1,0.047462955,0.9848511,0.42810366687069606
248,1,0.041827563,0.9794505,0.436827143960763
9563,1,0.055429958,0.97633374,0.4379193136748613
9473,1,0.11589811,0.9731615,0.4172750163864976
