study,n,sw_ppm,ppm_hi,SI,dx@8.0ppm_pts,dx@3.0ppm_pts,dx@1.0ppm_pts,stretch_vs_ref
MTBLS798,4866,20.024,14.824,131072,0,0,0,1.0
MTBLS147,979,20.031,14.706,131072,-788,-800,-804,0.9997
MTBLS395,978,20.031,14.691,131072,-886,-897,-902,0.9997
MTBLS540,727,20.017,14.709,131072,-739,-728,-724,1.0003
MTBLS424,699,20.031,14.694,131072,-863,-874,-879,0.9997
MTBLS974,356,20.017,14.71,131072,-731,-720,-715,1.0003
MTBLS2387,198,12.981,11.17,131072,-12657,5098,12200,1.5425
MTBLS10958,93,11.988,10.807,65536,-13981,7959,16735,1.6703
MTBLS11188,92,11.988,10.808,65536,-13959,7980,16756,1.6703
MTBLS2336,76,20.031,14.692,131072,-878,-889,-894,0.9997
MTBLS46,10,20.031,14.707,131072,-779,-791,-795,0.9997
