corpus_row,match_corr,source,source_row,npy_path,acqu_SW,proc_OFFSET,field_mhz,proc_SI
0,1.00000,Workbench_CPMG,453,,,,,
1,1.00000,Workbench_CPMG,446,,,,,
2,1.00000,Workbench_CPMG,451,,,,,
3,1.00000,Workbench_CPMG,610,,,,,
4,1.00000,Workbench_CPMG,644,,,,,
5,1.00000,Workbench_CPMG,450,,,,,
6,1.00000,Workbench_CPMG,648,,,,,
7,1.00000,Workbench_CPMG,673,,,,,
8,1.00000,Workbench_CPMG,546,,,,,
9,1.00000,Workbench_CPMG,499,,,,,
10,1.00000,Workbench_CPMG,449,,,,,
11,1.00000,Workbench_CPMG,619,,,,,
12,1.00000,Workbench_CPMG,604,,,,,
13,1.00000,WSNoise,0,,,,,
14,1.00000,WSNoise,0,,,,,
15,1.00000,Workbench_CPMG,609,,,,,
16,1.00000,WSNoise,2,,,,,
17,1.00000,WSNoise,2,,,,,
18,1.00000,Workbench_CPMG,485,,,,,
19,1.00000,WSNoise,4,,,,,
20,1.00000,WSNoise,4,,,,,
21,1.00000,Workbench_CPMG,592,,,,,
22,1.00000,Workbench_CPMG,606,,,,,
23,1.00000,Workbench_CPMG,620,,,,,
24,1.00000,Workbench_CPMG,588,,,,,
25,1.00000,Workbench_CPMG,447,,,,,
26,1.00000,Workbench_CPMG,632,,,,,
27,1.00000,Workbench_CPMG,659,,,,,
28,1.00000,Workbench_CPMG,463,,,,,
29,1.00000,Workbench_CPMG,525,,,,,
30,1.00000,Workbench_CPMG,636,,,,,
31,1.00000,Workbench_CPMG,576,,,,,
32,1.00000,Workbench_CPMG,526,,,,,
33,1.00000,Workbench_CPMG,656,,,,,
34,1.00000,WSNoise,6,,,,,
35,1.00000,WSNoise,6,,,,,
36,1.00000,Workbench_CPMG,651,,,,,
37,1.00000,Workbench_CPMG,590,,,,,
38,1.00000,WSNoise,8,,,,,
39,1.00000,WSNoise,9,,,,,
40,1.00000,WSNoise,9,,,,,
41,1.00000,Workbench_CPMG,511,,,,,
42,1.00000,Workbench_CPMG,501,,,,,
43,1.00000,WSNoise,11,,,,,
44,1.00000,WSNoise,11,,,,,
45,1.00000,Workbench_CPMG,489,,,,,
46,1.00000,Workbench_CPMG,508,,,,,
47,1.00000,Workbench_CPMG,553,,,,,
48,1.00000,Workbench_CPMG,637,,,,,
49,1.00000,Workbench_CPMG,495,,,,,
50,1.00000,Workbench_CPMG,635,,,,,
51,1.00000,WSNoise,13,,,,,
52,1.00000,WSNoise,13,,,,,
53,1.00000,Workbench_CPMG,596,,,,,
54,1.00000,Workbench_CPMG,462,,,,,
55,1.00000,WSNoise,15,,,,,
56,1.00000,WSNoise,15,,,,,
57,1.00000,Workbench_CPMG,552,,,,,
58,1.00000,Workbench_CPMG,611,,,,,
59,1.00000,WSNoise,17,,,,,
60,1.00000,WSNoise,18,,,,,
61,1.00000,WSNoise,19,,,,,
62,1.00000,WSNoise,20,,,,,
63,1.00000,WSNoise,20,,,,,
64,1.00000,Workbench_CPMG,665,,,,,
65,1.00000,Workbench_CPMG,490,,,,,
66,1.00000,Workbench_CPMG,566,,,,,
67,1.00000,Workbench_CPMG,579,,,,,
68,1.00000,Workbench_CPMG,515,,,,,
69,1.00000,Workbench_CPMG,528,,,,,
70,1.00000,Plasma_NoSuppress,1635,MTBLS540_Sample132/Sample132/1321/1872/pdata/2,16.6986273825059,13.05148,600,16384
71,1.00000,Workbench_CPMG,560,,,,,
72,1.00000,Workbench_CPMG,465,,,,,
73,1.00000,Workbench_CPMG,468,,,,,
74,1.00000,Workbench_CPMG,479,,,,,
75,1.00000,Workbench_CPMG,530,,,,,
76,1.00000,WSNoise,22,,,,,
77,1.00000,WSNoise,23,,,,,
78,1.00000,Workbench_CPMG,527,,,,,
79,1.00000,Workbench_CPMG,645,,,,,
80,1.00000,Workbench_CPMG,457,,,,,
81,1.00000,WSNoise,24,,,,,
82,1.00000,WSNoise,24,,,,,
83,1.00000,Workbench_CPMG,586,,,,,
84,1.00000,WSNoise,26,,,,,
85,1.00000,Workbench_CPMG,562,,,,,
86,1.00000,WSNoise,27,,,,,
87,1.00000,WSNoise,27,,,,,
88,1.00000,Workbench_CPMG,488,,,,,
89,1.00000,WSNoise,29,,,,,
90,1.00000,WSNoise,29,,,,,
91,1.00000,WSNoise,31,,,,,
92,1.00000,Workbench_CPMG,627,,,,,
93,1.00000,Workbench_CPMG,460,,,,,
94,1.00000,Workbench_CPMG,618,,,,,
95,1.00000,Workbench_CPMG,650,,,,,
96,1.00000,WSNoise,32,,,,,
97,1.00000,Workbench_CPMG,634,,,,,
98,1.00000,Workbench_CPMG,464,,,,,
99,1.00000,WSNoise,33,,,,,
100,1.00000,WSNoise,33,,,,,
101,1.00000,Workbench_CPMG,597,,,,,
102,1.00000,Workbench_CPMG,573,,,,,
103,1.00000,WSNoise,35,,,,,
104,1.00000,WSNoise,36,,,,,
105,1.00000,WSNoise,37,,,,,
106,1.00000,Workbench_CPMG,467,,,,,
107,1.00000,Workbench_CPMG,568,,,,,
108,1.00000,WSNoise,38,,,,,
109,1.00000,WSNoise,39,,,,,
110,1.00000,WSNoise,39,,,,,
111,1.00000,Workbench_CPMG,554,,,,,
112,1.00000,Workbench_CPMG,639,,,,,
113,1.00000,Workbench_CPMG,646,,,,,
114,1.00000,WSNoise,41,,,,,
115,1.00000,WSNoise,41,,,,,
116,1.00000,WSNoise,43,,,,,
117,1.00000,Workbench_CPMG,473,,,,,
118,1.00000,WSNoise,44,,,,,
119,1.00000,WSNoise,45,,,,,
120,1.00000,WSNoise,45,,,,,
121,1.00000,Workbench_CPMG,469,,,,,
122,1.00000,Workbench_CPMG,445,,,,,
123,1.00000,WSNoise,47,,,,,
124,1.00000,WSNoise,47,,,,,
125,1.00000,WSNoise,49,,,,,
126,1.00000,Workbench_CPMG,671,,,,,
127,1.00000,Workbench_CPMG,591,,,,,
128,1.00000,Workbench_CPMG,390,,,,,
129,1.00000,Workbench_CPMG,658,,,,,
130,1.00000,Workbench_CPMG,558,,,,,
131,1.00000,WSNoise,50,,,,,
132,1.00000,WSNoise,51,,,,,
133,1.00000,WSNoise,51,,,,,
134,1.00000,Workbench_CPMG,668,,,,,
135,1.00000,WSNoise,53,,,,,
136,1.00000,Workbench_CPMG,640,,,,,
137,1.00000,WSNoise,54,,,,,
138,1.00000,WSNoise,54,,,,,
139,1.00000,Workbench_CPMG,578,,,,,
140,1.00000,WSNoise,56,,,,,
141,1.00000,WSNoise,57,,,,,
142,1.00000,WSNoise,57,,,,,
143,1.00000,WSNoise,59,,,,,
144,1.00000,WSNoise,59,,,,,
145,1.00000,Workbench_CPMG,633,,,,,
146,1.00000,Workbench_CPMG,548,,,,,
147,1.00000,Workbench_CPMG,570,,,,,
148,1.00000,Workbench_CPMG,581,,,,,
149,1.00000,WSNoise,61,,,,,
150,1.00000,WSNoise,62,,,,,
151,1.00000,WSNoise,62,,,,,
152,1.00000,Workbench_CPMG,543,,,,,
153,1.00000,WSNoise,64,,,,,
154,1.00000,WSNoise,64,,,,,
155,1.00000,Workbench_CPMG,480,,,,,
156,1.00000,WSNoise,66,,,,,
157,1.00000,Workbench_CPMG,582,,,,,
158,1.00000,Workbench_CPMG,466,,,,,
159,1.00000,Workbench_CPMG,461,,,,,
160,1.00000,WSNoise,67,,,,,
161,1.00000,Workbench_CPMG,458,,,,,
162,1.00000,WSNoise,68,,,,,
163,1.00000,WSNoise,68,,,,,
164,1.00000,Workbench_CPMG,507,,,,,
165,1.00000,Workbench_CPMG,565,,,,,
166,1.00000,WSNoise,70,,,,,
167,1.00000,WSNoise,70,,,,,
168,1.00000,Workbench_CPMG,524,,,,,
169,1.00000,Workbench_CPMG,456,,,,,
170,1.00000,Workbench_CPMG,556,,,,,
171,1.00000,Workbench_CPMG,538,,,,,
172,1.00000,Workbench_CPMG,452,,,,,
173,1.00000,Workbench_CPMG,669,,,,,
174,1.00000,Workbench_CPMG,533,,,,,
175,1.00000,WSNoise,72,,,,,
176,1.00000,WSNoise,72,,,,,
177,1.00000,Workbench_CPMG,523,,,,,
178,1.00000,WSNoise,74,,,,,
179,1.00000,WSNoise,75,,,,,
180,1.00000,WSNoise,75,,,,,
181,1.00000,WSNoise,77,,,,,
182,1.00000,WSNoise,77,,,,,
183,1.00000,WSNoise,79,,,,,
184,1.00000,Workbench_CPMG,594,,,,,
185,1.00000,Workbench_CPMG,621,,,,,
186,1.00000,Workbench_CPMG,459,,,,,
187,1.00000,Workbench_CPMG,470,,,,,
188,1.00000,WSNoise,80,,,,,
189,1.00000,WSNoise,80,,,,,
190,1.00000,Workbench_CPMG,541,,,,,
191,1.00000,Workbench_CPMG,653,,,,,
192,1.00000,Workbench_CPMG,512,,,,,
193,1.00000,Workbench_CPMG,585,,,,,
194,1.00000,Workbench_CPMG,603,,,,,
195,1.00000,WSNoise,82,,,,,
196,1.00000,Workbench_CPMG,574,,,,,
197,1.00000,WSNoise,83,,,,,
198,1.00000,WSNoise,83,,,,,
199,1.00000,Workbench_CPMG,647,,,,,
200,1.00000,Workbench_CPMG,540,,,,,
201,1.00000,Workbench_CPMG,667,,,,,
202,1.00000,Workbench_CPMG,641,,,,,
203,1.00000,WSNoise,85,,,,,
204,1.00000,WSNoise,86,,,,,
205,1.00000,Workbench_CPMG,605,,,,,
206,1.00000,Workbench_CPMG,601,,,,,
207,1.00000,WSNoise,87,,,,,
208,1.00000,WSNoise,87,,,,,
209,1.00000,WSNoise,89,,,,,
210,1.00000,Workbench_CPMG,483,,,,,
211,1.00000,WSNoise,90,,,,,
212,1.00000,WSNoise,90,,,,,
213,1.00000,Workbench_CPMG,663,,,,,
214,1.00000,Workbench_CPMG,474,,,,,
215,1.00000,Workbench_CPMG,662,,,,,
216,1.00000,WSNoise,92,,,,,
217,1.00000,Workbench_CPMG,539,,,,,
218,1.00000,Workbench_CPMG,623,,,,,
219,1.00000,Workbench_CPMG,478,,,,,
220,1.00000,WSNoise,93,,,,,
221,1.00000,WSNoise,93,,,,,
222,1.00000,Workbench_CPMG,563,,,,,
223,1.00000,Workbench_CPMG,471,,,,,
224,1.00000,Workbench_CPMG,484,,,,,
