corpus,arm,label,held_out_mean
v3,ps1024_nhead4_true,original (unseeded),0.8883703824779339
v3,exp15_v3_seed202,seed 202,0.8033332122576974
v3,exp15_v3_seed303,seed 303,0.7653328671921349
v3,exp15_v3_seed404,seed 404,0.8067062281307132
v3,exp15_v3_seed505,seed 505,0.8189735106687815
v4,exp7_D_baseline_v4,original (unseeded),0.8198852606556649
v4,exp7_D_v4_seed101,seed 101,0.8232051545934077
v4,exp7_D_v4_seed202,seed 202,0.8157800903224244
v4,exp15_v4_seed303,seed 303,0.8667004669483692
v4,exp15_v4_seed404,seed 404,0.8271525230144604
