arm,held_out,selection,all5
ps1024_nhead4_true,0.8883703824779339,0.6914650814081554,0.8096082620500225
ps1024_nhead8_legacy,0.8881510842323199,0.7009476134238943,0.8132696959089497
ps2048,0.8400702339584871,0.6080723514309851,0.7472710809474863
exp7_B_pk025,0.8335580799825651,0.674786867149296,0.7700495948492575
ps1024_d256_L6,0.8255983658825001,0.6209541170404549,0.7437406663456819
exp7_D_baseline_v4,0.8198852606556649,0.6667612115904337,0.7586356410295725
exp7_C_blk8_pk025,0.800848740208008,0.6397875922306662,0.7364242810170714
exp7_A_blk8,0.7929748889131041,0.6330467840192698,0.7290036469555703
ps256,0.7864031556346583,0.6796558122459451,0.743704218279173
ps128,0.7782705556160933,0.6599047299948628,0.7309242253676012
classical_LR,0.8806666666666668,0.7749999999999999,0.8384
