dataset,arm,patch_size,tokens,nhead,nhead_recorded,pooling,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_cancer,ps1024_nhead8_legacy,1024,128,8,,mean_pool,128,0.8328947368421052,0.9006578947368421,78
brc_t2d_cancer,ps1024_nhead8_legacy,1024,128,8,,flatten,16384,0.8585526315789473,0.9572368421052632,78
brc_t2d_cancer,ps1024_nhead4_true,1024,128,4,,mean_pool,128,0.7822368421052632,0.8651315789473684,78
brc_t2d_cancer,ps1024_nhead4_true,1024,128,4,,flatten,16384,0.8592105263157894,0.9335526315789475,78
brc_t2d_cancer,ps256,256,512,4,4.0,mean_pool,128,0.8085526315789473,0.8335526315789474,78
brc_t2d_cancer,ps256,256,512,4,4.0,flatten,65536,0.8322368421052632,0.8848684210526316,78
brc_t2d_cancer,ps128,128,1024,4,4.0,mean_pool,128,0.7039473684210527,0.7927631578947368,78
brc_t2d_cancer,ps128,128,1024,4,4.0,flatten,131072,0.7684210526315789,0.8440789473684212,78
brc_t2d_cancer,ps2048,2048,64,4,4.0,mean_pool,128,0.7552631578947369,0.799342105263158,78
brc_t2d_cancer,ps2048,2048,64,4,4.0,flatten,8192,0.8203947368421052,0.9046052631578947,78
brc_t2d_cancer,ps1024_d256_L6,1024,128,8,8.0,mean_pool,256,0.8453947368421053,0.9171052631578949,78
brc_t2d_cancer,ps1024_d256_L6,1024,128,8,8.0,flatten,32768,0.8585526315789473,0.9447368421052632,78
brc_t2d_cancer,exp7_D_baseline_v4,1024,128,4,4.0,mean_pool,128,0.7815789473684212,0.8243421052631579,78
brc_t2d_cancer,exp7_D_baseline_v4,1024,128,4,4.0,flatten,16384,0.7815789473684212,0.9032894736842105,78
brc_t2d_cancer,exp7_A_blk8,1024,128,4,4.0,mean_pool,128,0.7940789473684211,0.8315789473684211,78
brc_t2d_cancer,exp7_A_blk8,1024,128,4,4.0,flatten,16384,0.8723684210526316,0.9302631578947369,78
brc_t2d_cancer,exp7_B_pk025,1024,128,4,4.0,mean_pool,128,0.7940789473684211,0.8585526315789473,78
brc_t2d_cancer,exp7_B_pk025,1024,128,4,4.0,flatten,16384,0.8453947368421053,0.9289473684210527,78
brc_t2d_cancer,exp7_C_blk8_pk025,1024,128,4,4.0,mean_pool,128,0.8585526315789473,0.9342105263157895,78
brc_t2d_cancer,exp7_C_blk8_pk025,1024,128,4,4.0,flatten,16384,0.8578947368421053,0.9361842105263158,78
brc_t2d_cancer,exp7_D_v4_seed101,1024,128,4,4.0,mean_pool,128,0.8078947368421052,0.8447368421052631,78
brc_t2d_cancer,exp7_D_v4_seed101,1024,128,4,4.0,flatten,16384,0.8078947368421052,0.9125,78
brc_t2d_cancer,exp7_D_v4_seed202,1024,128,4,4.0,mean_pool,128,0.8210526315789474,0.8940789473684212,78
brc_t2d_cancer,exp7_D_v4_seed202,1024,128,4,4.0,flatten,16384,0.8592105263157894,0.9407894736842105,78
brc_t2d_cancer,exp7_v3_pk025_r1,1024,128,4,4.0,mean_pool,128,0.7421052631578948,0.7802631578947369,78
brc_t2d_cancer,exp7_v3_pk025_r1,1024,128,4,4.0,flatten,16384,0.8842105263157896,0.9421052631578948,78
brc_t2d_cancer,exp7_v3_pk025_r2,1024,128,4,4.0,mean_pool,128,0.7421052631578948,0.7802631578947369,78
