dataset,family,fine_tune_mode,mean_gain_over_frozen,n_support_levels,gain_at_min_support,gain_at_max_support
Barth,jigsaw,unfreeze_last_1,0.005862517333809204,11,0.01011904761904775,0.009090909090909038
Barth,jigsaw,unfreeze_last_2,0.01600923392912558,11,-0.005357142857142783,0.06590909090909092
Barth,jigsaw,unfreeze_last_3,0.01265375774505385,11,0.0005952380952382041,0.018181818181818188
Barth,joint_ssl,unfreeze_last_1,-0.010076625320609277,11,0.0023809523809523725,-0.045454545454545414
Barth,joint_ssl,unfreeze_last_2,-0.004691895436864476,11,0.0029761904761904656,-0.02954545454545454
Barth,joint_ssl,unfreeze_last_3,-0.008918022395717323,11,0.0023809523809523725,-0.03409090909090906
Barth,masking,unfreeze_last_1,2.2900157821364502e-05,11,-0.010119047619047639,0.0022727272727273706
Barth,masking,unfreeze_last_2,-0.005599973134099202,11,0.0035714285714285587,-0.002272727272727315
Barth,masking,unfreeze_last_3,-0.010406704851892011,11,-0.008333333333333415,-0.025000000000000022
MTBLS326,jigsaw,unfreeze_last_1,-0.0011595344385675888,12,-0.01184615384615384,-0.0035714285714284477
MTBLS326,jigsaw,unfreeze_last_2,-0.0008821533052081795,12,0.0035384615384616014,-0.0071428571428571175
MTBLS326,jigsaw,unfreeze_last_3,0.0029409438082333428,12,0.0170769230769231,-0.017857142857142794
MTBLS326,joint_ssl,unfreeze_last_1,0.0034662326364103178,12,-0.0020000000000000018,-0.017857142857142905
MTBLS326,joint_ssl,unfreeze_last_2,-0.0004399090552762071,12,-0.006307692307692236,0.0
MTBLS326,joint_ssl,unfreeze_last_3,0.0031168525480554468,12,-0.010923076923076813,0.017857142857142905
MTBLS326,masking,unfreeze_last_1,-0.002164004171378122,12,-0.002461538461538515,0.0071428571428571175
MTBLS326,masking,unfreeze_last_2,0.020394723164287542,12,-0.004307692307692346,0.06428571428571428
MTBLS326,masking,unfreeze_last_3,0.03318498803946036,12,-0.004461538461538517,0.07857142857142851
MTBLS563 (multiclass),jigsaw,unfreeze_last_1,0.00401314731125529,12,-0.002862920391656032,0.040029761904761874
MTBLS563 (multiclass),jigsaw,unfreeze_last_2,0.010235292281960776,12,-0.0025702426564495062,0.054166666666666696
MTBLS563 (multiclass),jigsaw,unfreeze_last_3,0.01148640459897867,12,-0.0006332481907194154,0.06711309523809522
MTBLS563 (multiclass),joint_ssl,unfreeze_last_1,-0.0022263557295404968,12,0.0007716049382716084,0.022619047619047594
MTBLS563 (multiclass),joint_ssl,unfreeze_last_2,-0.00551717229862637,12,-0.0011334610472540918,0.04196428571428573
MTBLS563 (multiclass),joint_ssl,unfreeze_last_3,-0.0132479164881534,12,-0.004411451681566592,0.003124999999999989
MTBLS563 (multiclass),masking,unfreeze_last_1,0.0020774440827224148,12,0.0033471690080884575,-0.015773809523809468
MTBLS563 (multiclass),masking,unfreeze_last_2,0.01184116154150284,12,0.0011334610472540918,0.00699404761904765
MTBLS563 (multiclass),masking,unfreeze_last_3,0.019868835478648122,12,0.008040655598126778,-0.023363095238095266
