dataset,n_samples,family,model,fine_tune_mode,support_per_class,n_episodes,mean,std,se
Barth,37,classical,logistic_regression,-,2,10,0.5964285714285715,0.08337111766233597,0.02636426228868744
Barth,37,classical,logistic_regression,-,3,10,0.5895454545454546,0.10424969143097121,0.03296664702916072
Barth,37,classical,logistic_regression,-,4,10,0.6342105263157894,0.10197344840568849,0.032246835782364154
Barth,37,classical,logistic_regression,-,5,10,0.7194444444444444,0.07796494235192923,0.024654679547582135
Barth,37,classical,logistic_regression,-,6,10,0.7235294117647059,0.07758040191965111,0.024533077185739674
Barth,37,classical,logistic_regression,-,7,10,0.6946428571428572,0.10937651845398834,0.03458789208540418
Barth,37,classical,logistic_regression,-,8,10,0.7016666666666665,0.0917760290390298,0.02902212863690884
Barth,37,classical,logistic_regression,-,9,10,0.6957142857142857,0.06425925381359691,0.020320560279382723
Barth,37,classical,logistic_regression,-,10,10,0.7249999999999999,0.10795145864113274,0.03413724860434448
Barth,37,classical,logistic_regression,-,11,10,0.8291666666666668,0.07203501377716633,0.022779471481745448
Barth,37,classical,logistic_regression,-,12,10,0.7818181818181819,0.1282072472806435,0.040542691394726216
Barth,37,classical,svm_rbf,-,2,10,0.5994047619047619,0.07098905784759503,0.022448711174785054
Barth,37,classical,svm_rbf,-,3,10,0.5893181818181817,0.0657482363148427,0.020791417889389843
Barth,37,classical,svm_rbf,-,4,10,0.6134210526315789,0.05973226919148416,0.01888900204553943
Barth,37,classical,svm_rbf,-,5,10,0.5972222222222223,0.05892556509887895,0.018633899812498245
Barth,37,classical,svm_rbf,-,6,10,0.5941176470588235,0.04385132031038795,0.013867005058642773
Barth,37,classical,svm_rbf,-,7,10,0.5651785714285714,0.06408146565398465,0.020264338726844293
Barth,37,classical,svm_rbf,-,8,10,0.5583333333333332,0.13883332221777556,0.04390295133362299
Barth,37,classical,svm_rbf,-,9,10,0.6492857142857142,0.07272240887673118,0.022996844898451763
Barth,37,classical,svm_rbf,-,10,10,0.6461538461538461,0.10781814991770418,0.03409509268454411
Barth,37,classical,svm_rbf,-,11,10,0.6625,0.12336898884001367,0.03901269973663373
Barth,37,classical,svm_rbf,-,12,10,0.6545454545454545,0.19544867268602548,0.061806297134458
Barth,37,classical,xgboost,-,2,10,0.5,0.0,0.0
Barth,37,classical,xgboost,-,3,10,0.5,0.0,0.0
Barth,37,classical,xgboost,-,4,10,0.5,0.0,0.0
Barth,37,classical,xgboost,-,5,10,0.5750000000000001,0.12833346694450848,0.04058260555705763
Barth,37,classical,xgboost,-,6,10,0.6158088235294117,0.1402450252208349,0.04434937102055971
Barth,37,classical,xgboost,-,7,10,0.6236607142857142,0.1367761106185618,0.0432524039053797
Barth,37,classical,xgboost,-,8,10,0.6333333333333334,0.09262962222518374,0.029292058503253494
Barth,37,classical,xgboost,-,9,10,0.6492857142857142,0.14813466019477148,0.04684429266305599
Barth,37,classical,xgboost,-,10,10,0.7048076923076925,0.12120725318582246,0.038329098899989894
Barth,37,classical,xgboost,-,11,10,0.6791666666666667,0.19646764883063333,0.062128525684291794
Barth,37,classical,xgboost,-,12,10,0.6522727272727272,0.17800612343858996,0.056290478752302794
Barth,37,jigsaw,jigsaw_multibin,frozen,2,10,0.5595238095238095,0.053313606518033366,0.01685924268749842
Barth,37,jigsaw,jigsaw_multibin,frozen,3,10,0.5422727272727272,0.07114116387457291,0.022496811323893962
Barth,37,jigsaw,jigsaw_multibin,frozen,4,10,0.528157894736842,0.0730976023167012,0.02311549148179766
Barth,37,jigsaw,jigsaw_multibin,frozen,5,10,0.6083333333333334,0.09483398243755085,0.029989138408706748
Barth,37,jigsaw,jigsaw_multibin,frozen,6,10,0.6113970588235293,0.08938604855715919,0.02826635044830305
Barth,37,jigsaw,jigsaw_multibin,frozen,7,10,0.6066964285714285,0.12324178005871557,0.03897247278790611
Barth,37,jigsaw,jigsaw_multibin,frozen,8,10,0.5966666666666667,0.08812168915065935,0.027866524897743227
Barth,37,jigsaw,jigsaw_multibin,frozen,9,10,0.6507142857142856,0.07914294309777005,0.025027196091805544
Barth,37,jigsaw,jigsaw_multibin,frozen,10,10,0.6875000000000001,0.13170308212374585,0.04164817143752429
Barth,37,jigsaw,jigsaw_multibin,frozen,11,10,0.7958333333333334,0.10838673897292597,0.03427489633125852
Barth,37,jigsaw,jigsaw_multibin,frozen,12,10,0.7227272727272728,0.17792550106775365,0.05626498372008225
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,2,10,0.5279761904761904,0.054413574709100215,0.017207083171249072
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,3,10,0.5399999999999999,0.06887859456838054,0.021781324086738482
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,4,10,0.5644736842105262,0.060865436955798255,0.01924734115617077
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,5,10,0.5999999999999999,0.10243938285880988,0.032394177193585005
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,6,10,0.6283088235294116,0.11068083076802501,0.03500035185466025
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,7,10,0.5995535714285715,0.12547828706344544,0.03967971840169284
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,8,10,0.6033333333333333,0.0811947818064227,0.025676044462869644
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,9,10,0.6642857142857143,0.058997674730304116,0.018656702880152122
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,10,10,0.7028846153846156,0.14774563340196933,0.04672127158944747
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,11,10,0.8083333333333333,0.11979921473804347,0.037883838047182934
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_1,12,10,0.7272727272727273,0.17007533576245187,0.05378254348272378
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,2,10,0.5303571428571427,0.0764056361769664,0.024161583639337375
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,3,10,0.5368181818181819,0.06406600992086912,0.02025945119488902
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,4,10,0.533421052631579,0.10076691149602089,0.03186529531080311
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,5,10,0.6305555555555555,0.13984240591138178,0.04422205161577611
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,6,10,0.6183823529411765,0.09323073224443086,0.02948214618177035
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,7,10,0.6183035714285714,0.13465823061784696,0.04258267144406191
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,8,10,0.6183333333333334,0.09377211673276449,0.029653346989072262
Barth,37,jigsaw,jigsaw_multibin,unfreeze_last_2,9,10,0.6342857142857142,0.0673266649893941,0.02129056086296015
