dataset,n_samples,support_per_class,n_episodes,classical_mean,masking_mean,paired_diff,se,wilcoxon_p,wins,losses,ties
Barth,37,2,10,0.5964285714285715,0.6559523809523811,0.05952380952380952,0.03670366785573339,0.232421875,7,3,0
Barth,37,3,10,0.5895454545454546,0.6043181818181818,0.014772727272727248,0.02353916007280137,0.576171875,6,4,0
Barth,37,4,10,0.6342105263157894,0.6571052631578949,0.022894736842105294,0.020620752918067073,0.322265625,6,4,0
Barth,37,5,10,0.7194444444444444,0.6166666666666666,-0.10277777777777777,0.040157867485558225,0.046875,3,7,0
Barth,37,6,10,0.7235294117647059,0.6808823529411765,-0.042647058823529406,0.028309619291081927,0.25,3,6,1
Barth,37,7,10,0.6946428571428572,0.6477678571428572,-0.046875,0.031237596744897414,0.265625,3,5,2
Barth,37,8,10,0.7016666666666665,0.655,-0.04666666666666667,0.036072629068328727,0.23828125,3,6,1
Barth,37,9,10,0.6957142857142857,0.7064285714285715,0.010714285714285721,0.041242741407681215,1.0,4,6,0
Barth,37,10,10,0.7249999999999999,0.6884615384615385,-0.036538461538461534,0.03987261933354868,0.4609375,4,4,2
Barth,37,11,10,0.8291666666666668,0.8,-0.029166666666666664,0.040277777777777767,0.5234375,4,4,2
Barth,37,12,10,0.7818181818181819,0.6590909090909091,-0.12272727272727273,0.06683862121246296,0.126953125,3,7,0
MTBLS326,42,2,10,0.7509230769230769,0.7121538461538461,-0.038769230769230764,0.053592957822881246,0.4921875,4,6,0
MTBLS326,42,4,10,0.8644268774703556,0.8077075098814228,-0.0567193675889328,0.024148889414104053,0.0390625,2,7,1
MTBLS326,42,6,10,0.9333333333333333,0.8841269841269842,-0.04920634920634921,0.020313601926404735,0.0546875,1,7,2
MTBLS326,42,8,10,0.9157894736842105,0.9473684210526315,0.03157894736842106,0.03157894736842103,0.2890625,5,4,1
MTBLS326,42,10,10,0.916470588235294,0.8958823529411765,-0.02058823529411764,0.021501678626922833,0.46875,3,4,3
MTBLS326,42,13,10,0.9571428571428573,0.975,0.01785714285714286,0.023358829607557845,1.0,3,3,4
MTBLS563,113,2,10,0.4772456364410386,0.4159589186888037,-0.06128671775223497,0.014439178048066291,0.005859375,1,9,0
MTBLS563,113,5,10,0.5301120448179271,0.43341593047475396,-0.09669611434317321,0.017998954981525955,0.001953125,0,10,0
MTBLS563,113,10,10,0.5530624568668048,0.48729296066252586,-0.06576949620427884,0.02850994493197052,0.064453125,3,7,0
MTBLS563,113,15,10,0.6020740946045825,0.5075203252032521,-0.0945537694013304,0.027548416821972586,0.02734375,3,7,0
MTBLS563,113,20,10,0.6206228956228956,0.5112794612794612,-0.10934343434343437,0.01907987142578166,0.001953125,0,10,0
MTBLS563,113,24,10,0.6592261904761905,0.5599702380952379,-0.09925595238095242,0.02703627845860367,0.009765625,2,8,0
BrC-T2D cancer,78,2,10,0.6146929824561405,0.6387426900584796,0.024049707602339147,0.03649027819495221,0.49609375,5,4,1
BrC-T2D cancer,78,5,10,0.7189177489177491,0.6996969696969696,-0.01922077922077924,0.018437606136152824,0.375,3,7,0
BrC-T2D cancer,78,10,10,0.8200000000000001,0.7550000000000001,-0.065,0.022274739530778388,0.02734375,2,8,0
BrC-T2D cancer,78,15,10,0.8542608695652174,0.787304347826087,-0.06695652173913044,0.03137458572283566,0.16796875,4,6,0
BrC-T2D cancer,78,20,10,0.9097222222222223,0.8136111111111111,-0.09611111111111112,0.010918076276284189,0.001953125,0,10,0
BrC-T2D cancer,78,25,10,0.8679487179487181,0.7815384615384615,-0.08641025641025643,0.0264323753252925,0.00390625,0,9,1
BrC-T2D cancer,78,30,10,0.9262499999999999,0.8125,-0.11375000000000002,0.029014483930922794,0.00390625,1,9,0
BrC-T2D cancer,78,36,10,0.9,0.85,-0.05,0.05335936864527374,0.5,1,3,6
BrC-T2D diabetes,78,2,10,0.5360863095238095,0.5584821428571429,0.022395833333333337,0.017534020607413086,0.42578125,4,5,1
BrC-T2D diabetes,78,5,10,0.6251547303271441,0.6219274977895667,-0.0032272325375773845,0.02049607133677071,0.6953125,4,6,0
BrC-T2D diabetes,78,10,10,0.6458333333333334,0.6264705882352941,-0.019362745098039223,0.0217547426605892,0.388671875,4,6,0
BrC-T2D diabetes,78,15,10,0.7235934664246824,0.629491833030853,-0.0941016333938294,0.02863134193698745,0.013671875,2,8,0
BrC-T2D diabetes,78,20,10,0.7419642857142856,0.6803571428571429,-0.061607142857142846,0.03389330874303983,0.10546875,3,7,0
BrC-T2D diabetes,78,25,10,0.7508771929824561,0.6654970760233917,-0.0853801169590643,0.038257812712413984,0.064453125,1,9,0
BrC-T2D diabetes,78,32,10,0.7625,0.675,-0.0875,0.06644929841058715,0.203125,3,6,1
