dataset,fine_tune_mode,n_episodes,paired_diff,se,wins,losses
Barth,frozen,110,-0.02904484953158609,0.012139997922676435,46,56
Barth,unfreeze_last_1,110,-0.028313288897830125,0.012802502856412792,44,56
Barth,unfreeze_last_2,110,-0.028993612694182623,0.0117120705852619,44,62
Barth,unfreeze_last_3,110,-0.023354024013326015,0.011697173617438703,49,58
MTBLS326,frozen,60,-0.019307848772177748,0.012964909220245638,18,31
MTBLS326,unfreeze_last_1,60,-0.03665033158861399,0.012333599091155022,14,36
MTBLS326,unfreeze_last_2,60,-0.029716347068076764,0.012237743360113167,16,38
MTBLS326,unfreeze_last_3,60,-0.017501949429799747,0.012675456780000824,13,32
MTBLS563,frozen,60,-0.08781758073756737,0.009312691799860558,9,51
MTBLS563,unfreeze_last_1,60,-0.08186889910760016,0.01009095108652392,10,50
MTBLS563,unfreeze_last_2,60,-0.08039972255181914,0.010493924739811181,8,52
MTBLS563,unfreeze_last_3,60,-0.0753146330180883,0.00976877890142181,7,52
BrC-T2D cancer,frozen,80,-0.05917487010986726,0.01144029539526534,16,56
BrC-T2D cancer,unfreeze_last_1,80,-0.059283449848524225,0.011207602509111294,17,56
BrC-T2D cancer,unfreeze_last_2,80,-0.06376484950340787,0.011930729742901986,17,56
BrC-T2D cancer,unfreeze_last_3,80,-0.07157238278026323,0.010927102924167128,18,57
BrC-T2D diabetes,frozen,70,-0.04696900535890284,0.013985882943466421,21,47
BrC-T2D diabetes,unfreeze_last_1,70,-0.045580983044713995,0.014280007512442457,25,44
BrC-T2D diabetes,unfreeze_last_2,70,-0.03927544120165634,0.013523395904707346,24,45
BrC-T2D diabetes,unfreeze_last_3,70,-0.037723548369275585,0.01222929645204389,27,39
