dataset,arm,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_cancer,classical_only,1024,0.9368421052631579,0.9631578947368421,78
brc_t2d_cancer,masking_only,16384,0.8585526315789473,0.9572368421052632,78
brc_t2d_cancer,masking_plus_binned,17408,0.8717105263157895,0.9486842105263158,78
brc_t2d_cancer,jigsaw_only,768,0.7684210526315789,0.8486842105263158,78
brc_t2d_cancer,jigsaw_plus_binned,1792,0.8467105263157895,0.9276315789473684,78
brc_t2d_cancer,joint_only,960,0.7690789473684211,0.8263157894736842,78
brc_t2d_cancer,joint_plus_binned,1984,0.8592105263157894,0.9072368421052631,78
brc_t2d_diabetes,classical_only,1024,0.8288770053475936,0.8683155080213903,78
brc_t2d_diabetes,masking_only,16384,0.7914438502673797,0.8636363636363636,78
brc_t2d_diabetes,masking_plus_binned,17408,0.7800802139037433,0.8649732620320856,78
brc_t2d_diabetes,jigsaw_only,768,0.5942513368983957,0.6176470588235294,78
brc_t2d_diabetes,jigsaw_plus_binned,1792,0.6203208556149733,0.7058823529411764,78
brc_t2d_diabetes,joint_only,960,0.6350267379679144,0.7225935828877005,78
brc_t2d_diabetes,joint_plus_binned,1984,0.7393048128342246,0.786096256684492,78
mtbls563,classical_only,1024,0.7207845917523336,0.8219880288142557,113
mtbls563,masking_only,16384,0.6104513765804088,0.800433196691127,113
mtbls563,masking_plus_binned,17408,0.6212040647524518,0.798699640743325,113
mtbls563,jigsaw_only,768,0.5269260309582889,0.7310434066709046,113
mtbls563,jigsaw_plus_binned,1792,0.5504992319508449,0.7463934535277534,113
mtbls563,joint_only,960,0.4852593642916223,0.7144913486637495,113
mtbls563,joint_plus_binned,1984,0.5621676710386388,0.7487383955599959,113
mtbls326,classical_only,1024,1.0,1.0,42
mtbls326,masking_only,16384,1.0,1.0,42
mtbls326,masking_plus_binned,17408,1.0,1.0,42
mtbls326,jigsaw_only,768,0.874074074074074,0.9234567901234568,42
mtbls326,jigsaw_plus_binned,1792,0.8925925925925926,0.9555555555555555,42
mtbls326,joint_only,960,0.8111111111111111,0.9234567901234567,42
mtbls326,joint_plus_binned,1984,0.874074074074074,0.9530864197530864,42
barth,classical_only,1024,0.7049689440993789,0.8726708074534162,37
barth,masking_only,16384,0.8059006211180124,0.8819875776397517,37
barth,masking_plus_binned,17408,0.8059006211180124,0.8757763975155279,37
barth,jigsaw_only,768,0.6273291925465838,0.7670807453416149,37
barth,jigsaw_plus_binned,1792,0.7484472049689441,0.8198757763975155,37
barth,joint_only,960,0.6630434782608696,0.7018633540372671,37
barth,joint_plus_binned,1984,0.5838509316770186,0.7639751552795031,37
