lag_bins,lag_points,lag_ppm,across_spectra_signed,across_spectra_absmean,within_spectrum_autocorr
0,0,0.0,1.0,1.0,1.0
1,32,0.0029296875,0.9458786215945122,0.9459871417025902,0.7924872080232721
2,64,0.005859375,0.9087461822643575,0.9095688449226806,0.6296525733369559
3,96,0.0087890625,0.8884568657932421,0.8900615808196393,0.563122861764139
4,128,0.01171875,0.8659562365820994,0.8692502448426999,0.49783963409228715
5,160,0.0146484375,0.8465072146775775,0.8519951627742103,0.4589592142633516
6,192,0.017578125,0.8298847943910964,0.8369032049207835,0.4375167423182614
7,224,0.0205078125,0.8152743972335946,0.8242926886836321,0.4010680713252078
8,256,0.0234375,0.8028536585289173,0.8147210861285683,0.3733588884896987
9,288,0.0263671875,0.7923004120242954,0.8075396474366494,0.3587167186207002
10,320,0.029296875,0.7830222190426049,0.8008380253413955,0.342812383878671
11,352,0.0322265625,0.775657575149276,0.7961441842807092,0.32702566775715497
12,384,0.03515625,0.7660505692012032,0.7893410144197662,0.30804246780045313
13,416,0.0380859375,0.7558509473233609,0.7820842189326452,0.2850625131412279
14,448,0.041015625,0.7494353201886428,0.7782303436418233,0.2738560819160166
15,480,0.0439453125,0.7446831369658465,0.7756036288385412,0.2757876318212293
16,512,0.046875,0.7375654743351421,0.7707782395550459,0.266085507987708
17,544,0.0498046875,0.7316665998039039,0.7673736637903843,0.24433085807950353
18,576,0.052734375,0.7267319175705436,0.765217339842355,0.2268602778200036
19,608,0.0556640625,0.7203987250273435,0.7613866194549854,0.21037306159686886
20,640,0.05859375,0.7127705389683889,0.7563801442983346,0.20128180747091728
21,672,0.0615234375,0.7078520949148592,0.753328779101579,0.2086044902861837
22,704,0.064453125,0.7011453604557343,0.7490409227977858,0.20991133158168776
23,736,0.0673828125,0.6960041785322539,0.7463071073260384,0.1933657013689501
24,768,0.0703125,0.691939304043411,0.7444853280270405,0.18065357521529185
25,800,0.0732421875,0.6892234398271098,0.7416687785662291,0.16805165415434925
26,832,0.076171875,0.6867974723440426,0.7392826652143103,0.1554019022317424
27,864,0.0791015625,0.683212911314752,0.7362894750085833,0.15063542902640487
28,896,0.08203125,0.6819060357959218,0.7345631043646068,0.15079476024231056
29,928,0.0849609375,0.6803390934495654,0.7333757573817653,0.14582008704566024
30,960,0.087890625,0.6770074200294672,0.7310305201912674,0.13428503294396352
31,992,0.0908203125,0.6750379339875284,0.7295288162527916,0.12753122178056311
32,1024,0.09375,0.671745478284878,0.7268277335032995,0.12229908207181965
33,1056,0.0966796875,0.6674769143644954,0.7243149282815077,0.11856638303397642
34,1088,0.099609375,0.6646734015827612,0.7227467711425021,0.11834908660077412
35,1120,0.1025390625,0.6637423926480331,0.7225115704109111,0.12732418609525034
36,1152,0.10546875,0.6601674729680198,0.7199130166783557,0.1317621178873228
37,1184,0.1083984375,0.6564158176469596,0.7168245433594151,0.13209928358112383
38,1216,0.111328125,0.6550993246806734,0.7148821387904172,0.14009945894206563
39,1248,0.1142578125,0.6538479833823997,0.7139112556926324,0.14056755176180144
40,1280,0.1171875,0.6515545321957513,0.713196411923493,0.1337791148636253
41,1312,0.1201171875,0.6507981777053705,0.7126157428585386,0.13277064739746783
42,1344,0.123046875,0.6507362998801628,0.7128233437879783,0.12892915311650302
43,1376,0.1259765625,0.6514027147980807,0.7132622836282347,0.12147129132059051
44,1408,0.12890625,0.6517533582578109,0.713077039785919,0.11967130137791543
45,1440,0.1318359375,0.651078824942825,0.7118696466548824,0.11893637422505544
46,1472,0.134765625,0.6500963838516243,0.7113752158552454,0.11791778551125603
47,1504,0.1376953125,0.6493098761511547,0.7103624577238576,0.12133431215149149
48,1536,0.140625,0.648032499986027,0.7092429098840444,0.12440524394004149
49,1568,0.1435546875,0.6473802479640883,0.7087016215774723,0.12608374539647257
50,1600,0.146484375,0.6465445129541362,0.7072957094426654,0.13108620806856103
51,1632,0.1494140625,0.6459136916900897,0.7063479852852835,0.13034240759844473
52,1664,0.15234375,0.6444926015336097,0.7059061619068956,0.12652927924008606
53,1696,0.1552734375,0.6440065246128002,0.7051299626665886,0.1321934619382869
54,1728,0.158203125,0.6451624275279213,0.7051743316313378,0.12962240283151832
55,1760,0.1611328125,0.6448739901430969,0.7049674645056765,0.12378176247171929
56,1792,0.1640625,0.6448195263690555,0.7039327842993028,0.13005289543916387
57,1824,0.1669921875,0.646363220409926,0.7039938400777664,0.1311711044949752
58,1856,0.169921875,0.6482041061523192,0.7057880500258402,0.1271843741652134
59,1888,0.1728515625,0.6485495097887485,0.7062461058753466,0.1276790193170107
60,1920,0.17578125,0.6478723808752336,0.7065650978581122,0.1272646483598503
61,1952,0.1787109375,0.6468301708565521,0.70522646326269,0.12512840556230204
62,1984,0.181640625,0.645935699472097,0.7046659190696322,0.12608452200010475
63,2016,0.1845703125,0.6466375188396171,0.7049146450424751,0.1328284623634548
64,2048,0.1875,0.646651921665679,0.704605608375009,0.13598506957491377
65,2080,0.1904296875,0.6447769335992631,0.7020775351730408,0.13202349588264284
66,2112,0.193359375,0.6450430462673307,0.7020529680043172,0.13337835689155567
67,2144,0.1962890625,0.6455521259477524,0.7024325212203704,0.1352511345602601
68,2176,0.19921875,0.6455829439840417,0.7023091112002695,0.13401386277015664
69,2208,0.2021484375,0.6461769437293252,0.702893200201858,0.1355173031905594
70,2240,0.205078125,0.6471911950267213,0.70373663889411,0.1373548814260147
71,2272,0.2080078125,0.6477343606010204,0.7045206773078425,0.13584191074522486
72,2304,0.2109375,0.64741126799376,0.7039515388205447,0.13854703937019244
73,2336,0.2138671875,0.647646843632157,0.7032914051683964,0.1396351907964505
74,2368,0.216796875,0.6488267870280988,0.7032167878504766,0.144867631789576
75,2400,0.2197265625,0.6485266338147065,0.7032644617943848,0.1484185312578398
76,2432,0.22265625,0.6473424602220405,0.7024256796377043,0.14884786527721014
77,2464,0.2255859375,0.6482668698557376,0.7025657297441625,0.15471412069807383
78,2496,0.228515625,0.6494583071721083,0.7028040827329195,0.166620222146226
79,2528,0.2314453125,0.6495036329903559,0.7030543754384082,0.1739054250780023
80,2560,0.234375,0.6483753803425863,0.7022611279188202,0.17708083927331186
81,2592,0.2373046875,0.6475689871019367,0.7010678359424692,0.17788752935139027
82,2624,0.240234375,0.6461966646049377,0.6992499406663532,0.17790630898411003
83,2656,0.2431640625,0.6463426032280222,0.6984954754472499,0.18247773318260124
84,2688,0.24609375,0.6473937959931504,0.6982238381154657,0.19321619287117633
85,2720,0.2490234375,0.6468593407987118,0.6972761774698952,0.19633402700053776
86,2752,0.251953125,0.6459749125879388,0.6961299524659477,0.18899407056630943
87,2784,0.2548828125,0.644504013045549,0.6947701054395715,0.1819486364176365
88,2816,0.2578125,0.6437000494352597,0.6944114173201178,0.18036807160603377
89,2848,0.2607421875,0.6434535782093954,0.6940566295698894,0.18091970959933784
90,2880,0.263671875,0.6411370426741726,0.6921407142903785,0.17826283652683636
91,2912,0.2666015625,0.636999619162095,0.6900652811592066,0.1692253628607029
92,2944,0.26953125,0.6355155460358963,0.6892074117643188,0.16314364360260686
93,2976,0.2724609375,0.6341821835667075,0.6884132517834414,0.15829831722813764
94,3008,0.275390625,0.6341535160227455,0.6887128874853348,0.15267529899330734
95,3040,0.2783203125,0.635007714723532,0.6890119463881823,0.15027690919042194
96,3072,0.28125,0.6353804810444466,0.6893388050949877,0.15041109862973767
97,3104,0.2841796875,0.6344516910163771,0.6894260499585462,0.1458222100465435
