dataset,family,embed_dim,linear_probe_bal_acc,linear_probe_roc_auc,ssl_head_best,ssl_head_frozen,delta_probe_minus_head_best,n_samples,n_classes
brc_t2d_cancer,masking,128,0.8328947368421052,0.9006578947368421,0.7960526315789473,0.7296052631578948,0.0368421052631579,78,2
brc_t2d_cancer,jigsaw,768,0.7684210526315789,0.8486842105263158,0.7815789473684212,0.7684210526315789,-0.013157894736842257,78,2
brc_t2d_cancer,joint,960,0.7690789473684211,0.8263157894736842,0.756578947368421,0.756578947368421,0.012500000000000067,78,2
brc_t2d_diabetes,masking,128,0.8094919786096256,0.8489304812834224,0.6530748663101604,0.6530748663101604,0.1564171122994652,78,2
brc_t2d_diabetes,jigsaw,768,0.5942513368983957,0.6176470588235294,0.6203208556149733,0.6203208556149733,-0.02606951871657759,78,2
brc_t2d_diabetes,joint,960,0.6350267379679144,0.7225935828877005,0.6236631016042781,0.6156417112299466,0.011363636363636354,78,2
mtbls563,masking,128,0.6072314781992202,0.7459984077090732,0.5582683445586671,0.5301459293394777,0.04896313364055305,113,3
mtbls563,jigsaw,768,0.5269260309582889,0.7310434066709046,0.5504992319508449,0.5504992319508449,-0.023573200992555998,113,3
mtbls563,joint,960,0.4852593642916223,0.7144913486637495,0.5001329315845445,0.4914480680609713,-0.014873567292922218,113,3
mtbls326,masking,128,0.9444444444444444,1.0,0.9814814814814814,0.7962962962962963,-0.03703703703703698,42,2
mtbls326,jigsaw,768,0.874074074074074,0.9234567901234568,0.874074074074074,0.874074074074074,0.0,42,2
mtbls326,joint,960,0.8111111111111111,0.9234567901234567,0.9296296296296296,0.8111111111111111,-0.11851851851851847,42,2
barth,masking,128,0.7701863354037267,0.8509316770186335,0.6909937888198758,0.65527950310559,0.07919254658385089,37,2
barth,jigsaw,768,0.6273291925465838,0.7670807453416149,0.6770186335403727,0.5341614906832298,-0.049689440993788914,37,2
barth,joint,960,0.6630434782608696,0.7018633540372671,0.6490683229813664,0.6413043478260869,0.013975155279503215,37,2
