dataset,representation,detail,n_features,balanced_accuracy,n_samples,n_classes,null_p95,null_max,observed,p_value
brc_t2d_cancer,binned_abs_area,16 bins,16,0.8355263157894737,78,2,,,,
brc_t2d_cancer,binned_abs_area,64 bins,64,0.8592105263157894,78,2,,,,
brc_t2d_cancer,binned_abs_area,256 bins,256,0.8980263157894737,78,2,,,,
brc_t2d_cancer,binned_abs_area,1024 bins,1024,0.9368421052631579,78,2,,,,
brc_t2d_cancer,binned_abs_area,4096 bins,4096,0.9368421052631579,78,2,,,,
brc_t2d_cancer,raw_spectrum,131072 pts,131072,0.9111842105263157,78,2,,,,
brc_t2d_cancer,global_scalar,total_abs_area,1,0.6157894736842104,78,2,,,,
brc_t2d_cancer,global_scalar,row_std,1,0.7052631578947368,78,2,,,,
brc_t2d_cancer,masked_ssl_embedding,mean_pool,128,0.8328947368421052,78,2,,,,
brc_t2d_cancer,masked_ssl_embedding,flatten,16384,0.8585526315789473,78,2,,,,
brc_t2d_cancer,permutation_null,1024 bins,1024,0.49405263157894735,78,2,0.6164473684210526,0.7171052631578947,0.9368421052631579,0.004975124378109453
brc_t2d_diabetes,binned_abs_area,16 bins,16,0.6483957219251337,78,2,,,,
brc_t2d_diabetes,binned_abs_area,64 bins,64,0.7085561497326203,78,2,,,,
brc_t2d_diabetes,binned_abs_area,256 bins,256,0.7312834224598931,78,2,,,,
brc_t2d_diabetes,binned_abs_area,1024 bins,1024,0.8288770053475936,78,2,,,,
brc_t2d_diabetes,binned_abs_area,4096 bins,4096,0.7881016042780749,78,2,,,,
brc_t2d_diabetes,raw_spectrum,131072 pts,131072,0.7834224598930482,78,2,,,,
brc_t2d_diabetes,global_scalar,total_abs_area,1,0.5929144385026739,78,2,,,,
brc_t2d_diabetes,global_scalar,row_std,1,0.39237967914438504,78,2,,,,
brc_t2d_diabetes,masked_ssl_embedding,mean_pool,128,0.8094919786096256,78,2,,,,
brc_t2d_diabetes,masked_ssl_embedding,flatten,16384,0.7914438502673797,78,2,,,,
brc_t2d_diabetes,permutation_null,1024 bins,1024,0.498048128342246,78,2,0.6190508021390374,0.6744652406417113,0.8288770053475936,0.004975124378109453
mtbls563,binned_abs_area,16 bins,16,0.5534828075150656,113,3,,,,
mtbls563,binned_abs_area,64 bins,64,0.5919295758005435,113,3,,,,
mtbls563,binned_abs_area,256 bins,256,0.6704182913860333,113,3,,,,
mtbls563,binned_abs_area,1024 bins,1024,0.7207845917523336,113,3,,,,
mtbls563,binned_abs_area,4096 bins,4096,0.6683504667375635,113,3,,,,
mtbls563,raw_spectrum,131072 pts,131072,0.6614823348694316,113,3,,,,
mtbls563,global_scalar,total_abs_area,1,0.33696679664421597,113,3,,,,
mtbls563,global_scalar,row_std,1,0.42603095828902277,113,3,,,,
mtbls563,masked_ssl_embedding,mean_pool,128,0.6072314781992202,113,3,,,,
mtbls563,masked_ssl_embedding,flatten,16384,0.6212040647524518,113,3,,,,
mtbls563,permutation_null,1024 bins,1024,0.33236884083658275,113,3,0.4172308873921777,0.5255524045846626,0.7207845917523336,0.004975124378109453
mtbls326,binned_abs_area,16 bins,16,0.7037037037037037,42,2,,,,
mtbls326,binned_abs_area,64 bins,64,0.9111111111111111,42,2,,,,
mtbls326,binned_abs_area,256 bins,256,1.0,42,2,,,,
mtbls326,binned_abs_area,1024 bins,1024,1.0,42,2,,,,
mtbls326,binned_abs_area,4096 bins,4096,0.9814814814814814,42,2,,,,
mtbls326,raw_spectrum,131072 pts,131072,0.962962962962963,42,2,,,,
mtbls326,global_scalar,total_abs_area,1,0.537037037037037,42,2,,,,
mtbls326,global_scalar,row_std,1,0.45185185185185184,42,2,,,,
mtbls326,masked_ssl_embedding,mean_pool,128,0.9444444444444444,42,2,,,,
mtbls326,masked_ssl_embedding,flatten,16384,1.0,42,2,,,,
mtbls326,permutation_null,1024 bins,1024,0.48477777777777775,42,2,0.6335185185185185,0.7370370370370369,1.0,0.004975124378109453
barth,binned_abs_area,16 bins,16,0.65527950310559,37,2,,,,
barth,binned_abs_area,64 bins,64,0.6909937888198758,37,2,,,,
barth,binned_abs_area,256 bins,256,0.7624223602484472,37,2,,,,
barth,binned_abs_area,1024 bins,1024,0.7049689440993789,37,2,,,,
barth,binned_abs_area,4096 bins,4096,0.7049689440993789,37,2,,,,
barth,raw_spectrum,131072 pts,131072,0.7049689440993789,37,2,,,,
barth,global_scalar,total_abs_area,1,0.5543478260869565,37,2,,,,
barth,global_scalar,row_std,1,0.6909937888198758,37,2,,,,
barth,masked_ssl_embedding,mean_pool,128,0.7701863354037267,37,2,,,,
barth,masked_ssl_embedding,flatten,16384,0.8059006211180124,37,2,,,,
barth,permutation_null,1024 bins,1024,0.49798136645962726,37,2,0.65527950310559,0.7919254658385093,0.7049689440993789,0.01990049751243781
