cohort,normaliser,signal_free_acc,signal_free_p,null_p95,full_spectrum_acc,n
Barth,none,0.2593167701863354,0.95,0.6843167701863353,0.8136645962732919,37
Barth,rowminmax,0.49689440993788814,0.58,0.6695652173913043,0.7049689440993789,37
Barth,unit_area,0.31055900621118016,0.95,0.6552018633540372,0.7484472049689441,37
Barth,pqn,0.2313664596273292,0.99,0.6692546583850931,0.8198757763975155,37
MTBLS326,none,0.6407407407407407,0.06,0.6409259259259259,0.9296296296296296,42
MTBLS326,rowminmax,0.7259259259259259,0.0,0.6342592592592592,1.0,42
MTBLS326,unit_area,0.762962962962963,0.0,0.6335185185185185,0.9814814814814814,42
MTBLS326,pqn,0.762962962962963,0.0,0.6185185185185185,0.9814814814814814,42
MTBLS563,none,0.3804354247902635,0.22,0.4207853302611367,0.6086346449249675,113
MTBLS563,rowminmax,0.3755464965142385,0.22,0.42635590216235375,0.6873744535034857,113
MTBLS563,unit_area,0.3119018078695498,0.68,0.41162339005080933,0.6468450903934775,113
MTBLS563,pqn,0.3846153846153846,0.05,0.38131794280987824,0.36492673992673996,113
BrC-T2D cancer,none,0.6052631578947368,0.04,0.5924671052631578,0.9105263157894736,78
BrC-T2D cancer,rowminmax,0.5743421052631579,0.08,0.585328947368421,0.9493421052631579,78
BrC-T2D cancer,unit_area,0.5625,0.23,0.6026973684210526,0.9230263157894737,78
BrC-T2D cancer,pqn,0.5236842105263158,0.34,0.6031249999999999,0.9230263157894737,78
BrC-T2D diabetes,none,0.5508021390374331,0.17,0.6067513368983958,0.7540106951871658,78
BrC-T2D diabetes,rowminmax,0.6403743315508021,0.0,0.6129679144385026,0.802807486631016,78
BrC-T2D diabetes,unit_area,0.5815508021390374,0.14,0.6096256684491977,0.8141711229946524,78
BrC-T2D diabetes,pqn,0.5635026737967914,0.2,0.6014371657754011,0.7847593582887701,78
