peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,75000,6362,0.6579110651499483,0.05136190811160688,0.035077827583533706,3181,3181,308,0.0968248978308708,0.01351776171015404,0.007325307580951869,137
1,75542,1811,0.18728024819027922,0.794511787718308,0.5217442326748073,905,906,,,0.05555230324539899,0.013256481926458126,128
2,75635,963,0.09958634953464322,1.1073438712537935,0.7528909307004309,481,482,,,0.0715961732559243,0.020110214364804254,156
3,75737,3465,0.35832471561530505,2.52065658752429,2.1371929028343484,1733,1732,543,0.31332948643969993,0.03665165667407171,0.01460721699409901,296
4,75809,6693,0.6921406411582213,3.856380772315228,1.972748149343666,3347,3346,316,0.09441290708096803,0.02347759124826704,0.005399049960196498,79
5,76147,859,0.08883143743536712,0.4495593282075332,0.4101248653384331,429,430,,,0.09908386187455955,0.034954995131534286,420
6,76325,7210,0.7456049638055843,0.7426106694157392,0.2811508786667201,3605,3605,462,0.12815533980582525,0.02302357836338419,0.004899924181276005,70
7,76521,6519,0.6741468459152017,0.792051030874415,0.3637774692556551,3259,3260,312,0.09573488800245473,0.021023517696158067,0.005875472882238389,91
8,76700,47,0.004860392967942089,0.10256336442044363,0.1448617628307877,,,,,,,
9,76982,6590,0.6814891416752844,0.12587849399988876,0.09655468099211888,3295,3295,314,0.0952959028831563,0.021851289833080424,0.010207949302752513,275
10,79215,6371,0.658841778697001,0.4999905949110142,0.38239827399110116,3185,3186,431,0.13532182103610674,0.032843750277164324,0.008080688834932324,167
