peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,75000,5734,0.5929679420889349,1.3606139119832,1.5421999789299041,2867,2867,406,0.1416114405301709,0.030694105336588774,0.016411083369757523,618
1,75542,7438,0.7691830403309203,0.644823382805458,0.6304401073243046,3719,3719,334,0.08980908846464103,0.021242269427265394,0.012892606766130084,495
2,75635,6239,0.6451913133402275,0.6990637141526305,0.391414965781083,3119,3120,426,0.13658223789676177,0.017072882498499684,0.007280205426545363,133
3,75737,6662,0.6889348500517063,1.7346356609895033,1.8744820855570945,3331,3331,442,0.13269288501951365,0.025517862503752625,0.016433275980468676,720
4,75809,4938,0.5106514994829369,4.402867866348492,2.3557714138248556,2469,2469,372,0.15066828675577157,0.021466180639935196,0.006901567897400446,95
5,76147,7378,0.7629782833505687,0.32851307395270707,0.3207987572789075,3689,3689,332,0.08999728923827595,0.015451341827053402,0.009958905411706466,293
6,76325,5476,0.5662874870734229,0.9723120834451228,0.495187089343914,2738,2738,395,0.14426588750913075,0.014609203798392988,0.005336867789728562,63
7,76521,5167,0.5343329886246122,0.9584512225158456,0.25699159314077996,2583,2584,526,0.20363917924893535,0.03194484897082496,0.004125204425875113,36
8,76700,5209,0.5386763185108583,0.26551415424027647,0.09976410764628756,2605,2604,384,0.1474088291746641,0.01850968980248901,0.005273023180298313,58
9,76982,5058,0.5230610134436401,0.2069923594186145,0.26676217760806886,2529,2529,518,0.2048240411229735,0.03242388295769079,0.020134250776397553,821
10,79215,7120,0.7362978283350569,0.7012928840754404,0.4341003971884038,3560,3560,326,0.09157303370786517,0.016292134831460674,0.006764850320013243,131
