peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,41537,4932,0.5100310237849017,0.6975090138186054,0.13700458644243751,2466,2466,372,0.15085158150851583,0.019059205190592052,0.0028845181072741956,17
1,62174,5661,0.5854188210961737,0.24538029202373018,0.4767898505227068,2831,2830,403,0.14235252560932532,0.016634859137789216,0.02284575059655005,1182
2,69915,6028,0.6233712512926577,0.20749101398864478,0.12450888810904369,3014,3014,417,0.13835434638354346,0.0185799601857996,0.007752265742012503,145
3,69987,7102,0.7344364012409514,0.19297231440453566,0.1003283631507558,3551,3551,326,0.09180512531681216,0.018586313714446634,0.005320944018853609,81
4,70059,8551,0.8842812823164427,0.10082041546677634,0.1314264882320798,4275,4276,358,0.08374269005847954,0.02333109043266101,0.015152705410284599,786
5,70349,8624,0.8918304033092037,0.16259317122427025,0.26696076932030577,4312,4312,359,0.08325602968460111,0.016233766233766232,0.018422378813346102,1171
6,71152,8830,0.9131334022750776,0.24157942710621735,0.26879530626283127,4415,4415,363,0.08221970554926387,0.020158550396375992,0.014007403212411089,694
7,71286,8865,0.9167528438469493,0.35859817156580104,0.2683715726432974,4433,4432,364,0.08211143695014662,0.015441906410812898,0.008605221401616254,263
8,71410,8838,0.9139607032057911,0.5292588113262322,0.3273171028753927,4419,4419,364,0.08237157727992758,0.014482914686580672,0.007840100308849424,218
9,71655,8803,0.9103412616339194,0.5402201731040541,0.5886062234259707,4401,4402,518,0.11770052260849807,0.016874236896925972,0.010212977042502349,368
10,71773,8679,0.8975180972078594,0.6654121988456836,0.49454915731082044,4339,4340,360,0.08296842590458631,0.021290662441068732,0.007659339756055433,204
11,71882,8683,0.8979317476732162,0.3778040883609918,0.3938813150112629,4341,4342,360,0.082930200414651,0.008485819281642977,0.010968021551809693,418
12,74024,8895,0.9198552223371251,0.6563779305146917,0.47678502830514335,4447,4448,365,0.08207780526197436,0.020062581596517255,0.0073959404872960864,195
13,74127,8865,0.9167528438469493,0.5891303186778922,0.3617750232036359,4433,4432,521,0.11752763365666591,0.031460184161942635,0.005956415542827439,126
14,74214,8646,0.8941054808686659,0.30083015796308626,0.3540734296894158,4323,4323,360,0.08327550312283137,0.013879250520471894,0.013615251498968898,642
15,74283,8133,0.8410548086866598,0.2925297515456514,0.5223730329535563,4067,4066,349,0.08581263830833538,0.013852210593077511,0.01868392424400864,1136
16,74423,6480,0.6701137538779731,0.22698955023093959,0.20906385671282923,3240,3240,311,0.09598765432098766,0.025,0.010824599397417162,304
17,74502,6336,0.6552223371251292,0.579667316046416,0.38719685292676753,3168,3168,308,0.09722222222222222,0.013257575757575756,0.008052848709266262,165
18,74593,8603,0.8896587383660807,0.7017998055998506,0.49818838348793315,4301,4302,359,0.08346896070681237,0.013521446527685225,0.008048312300681919,223
19,74700,9044,0.935263702171665,0.56169589578367,0.6308607037178173,4522,4522,368,0.08137992038920831,0.03073861123396727,0.010157899720437581,374
20,74886,9367,0.9686659772492244,0.5068002635656755,0.6901926341301351,4683,4684,374,0.07986333546871663,0.015687727454336806,0.01565105158618528,918
21,74978,9520,0.984488107549121,0.8682349512381501,1.4196029865814108,4760,4760,377,0.0792016806722689,0.012394957983193277,0.0175367902276575,1172
22,75542,8114,0.8390899689762151,0.5200775463761528,0.4958584450608045,4057,4057,348,0.0857776682277545,0.012817352723687453,0.010879696644273623,385
23,75635,7550,0.7807652533609101,0.7307581785453764,0.4133621181348255,3775,3775,336,0.08900662251655629,0.011920529801324504,0.006915685385345922,145
24,75737,7406,0.7658738366080662,1.4408774601744265,1.6207987605979348,3703,3703,470,0.12692411558196057,0.025114771806643267,0.010341874425733,317
25,75809,7668,0.7929679420889348,3.1622496857437503,2.7400347647749137,3834,3834,479,0.12493479394887845,0.026604068857589987,0.010045199696424562,310
26,76147,9273,0.9589451913133402,0.30436091056893855,0.2569166687488373,4637,4636,534,0.11516066422255769,0.026440085123913278,0.008144953025974027,247
27,76325,8156,0.8434332988624612,0.7493616168542346,0.5826731321866251,4078,4078,349,0.08558116723884257,0.011770475723393821,0.007510956755292076,185
28,76521,6423,0.6642192347466391,0.8520714759324186,0.3814897275908303,3211,3212,310,0.09654313298037995,0.019183356713166486,0.004043450998640491,43
29,76700,5970,0.6173733195449845,0.3099968882647853,0.17062248903370048,2985,2985,299,0.10016750418760469,0.012730318257956449,0.008834053295355039,187
30,76982,6257,0.647052740434333,0.20274521594853345,0.19917211622988024,3129,3128,306,0.0977948226270374,0.013682333160868665,0.010495977616314402,276
31,79215,7891,0.8160289555325749,0.6871894491530666,0.44658357427865525,3945,3946,344,0.08719898605830165,0.020691117153819914,0.00711330754854222,160
32,79580,6860,0.7094105480868665,0.14577602483857188,0.3007090304836508,3430,3430,450,0.13119533527696792,0.03440233236151603,0.02236278767179579,1373
33,80131,8805,0.9105480868665977,0.7781306130452698,0.5637336977344977,4403,4402,1058,0.24029071087894618,0.04599002807036588,0.00714120546923057,180
34,80786,9494,0.981799379524302,0.17637521221093141,0.34032196860156005,4747,4747,377,0.07941858015588793,0.013903518011375604,0.022152453103229098,1864
35,80874,8722,0.9019648397104447,0.13577234633756113,0.1746052179189445,4361,4361,516,0.11832148589772988,0.016280669571199266,0.011762611429626901,483
36,81369,9177,0.9490175801447777,0.2921173218691887,0.7176535461767531,4589,4588,371,0.0808455001089562,0.014810158783475058,0.028644025282663153,3012
37,82310,9616,0.9944157187176835,0.20608153338505328,0.356081273981147,4808,4808,379,0.07882695507487521,0.024958402662229616,0.018390593130638674,1301
38,82907,9443,0.9765253360910031,0.43367389470810463,0.5972910015261073,4721,4722,376,0.07964414319000211,0.022580177190939292,0.014024456339717864,743
39,83301,6811,0.7043433298862462,0.22923961562405565,0.27987265718619864,3405,3406,448,0.1315712187958884,0.024609935132180148,0.013949760863111522,531
40,83542,8481,0.8770423991726991,0.30457031491054726,0.2611427481934911,4241,4240,356,0.08394246639943409,0.012610389148162812,0.008519022019232757,247
41,84330,5442,0.5627714581178904,0.10378449259573311,0.10629902559546732,2721,2721,394,0.1447997059904447,0.016538037486218304,0.014726587097012111,473
42,86477,6634,0.6860392967942089,0.26400215911284314,0.290868339896381,3317,3317,864,0.2604763340367802,0.039794995477841426,0.013059308152313352,453
43,87168,8984,0.9290589451913134,1.6007791156127766,2.1486631314297626,4492,4492,367,0.08170080142475512,0.01714158504007124,0.014868696611454056,795
44,87249,8820,0.9120992761116856,1.6870771021935125,2.2243356680664297,4410,4410,363,0.08231292517006802,0.02630385487528345,0.010663807644097457,402
45,88156,6647,0.6873836608066184,1.1380919298693029,0.6572956598844286,3323,3324,315,0.09479386096900391,0.026083476104443632,0.005662049074260496,86
46,88229,7383,0.7634953464322647,1.1306478024489235,0.7001246655261602,3691,3692,332,0.08994852343538337,0.01832346432554018,0.007597622699572217,171
47,88471,4957,0.5126163391933816,0.8105292762499151,0.7454825584836657,2479,2478,373,0.15046389673255345,0.03378907439114877,0.011758938987626987,275
48,88601,3929,0.4063081695966908,0.4813015699613219,0.5165555816241557,1965,1964,441,0.22442748091603054,0.03398345796862611,0.016054433051191745,406
49,88669,1885,0.19493278179937953,0.4586808033203292,0.9923351268728693,943,942,275,0.2916224814422057,0.02356732927617285,0.041017782059729044,1269
50,90040,8873,0.9175801447776629,0.2866354328782118,0.5744092704261192,4437,4436,364,0.0820374126662159,0.014168807143308596,0.020866803101991134,1546
51,90115,8643,0.8937952430196484,0.2101090215626542,0.19215037209165006,4321,4322,513,0.11872251793566305,0.023693088251783286,0.00796881841114737,220
52,90248,8203,0.8482936918304033,0.19638890690528824,0.44493897913140434,4101,4102,350,0.08534503779565959,0.013449645595472012,0.023729586130650654,1848
53,90383,6242,0.6455015511892451,0.3239333359177727,0.5138988524885088,3121,3121,426,0.13649471323293816,0.03043896187119513,0.01826542175921335,833
54,90458,7728,0.7991726990692865,0.6173331648364648,0.7988205554859483,3864,3864,340,0.08799171842650104,0.015527950310559004,0.014881132610550421,685
55,90609,5620,0.5811789038262668,0.2937716274315814,0.49456902878091774,2810,2810,290,0.10320284697508897,0.014590747330960854,0.024853675472080783,1389
56,90676,4940,0.5108583247156153,0.14252225349168854,0.08890655110773105,2470,2470,373,0.15101214574898786,0.02145748987854251,0.008690247451800205,150
57,90755,4381,0.45305067218200623,0.1273145282340257,0.048180338904303566,2191,2190,348,0.15883158375171155,0.023118652686686298,0.0060170501446746415,64
58,91160,5684,0.5877973112719752,0.40117314425050493,0.22428664889507605,2842,2842,404,0.14215341308937368,0.022519352568613652,0.006907552002627334,109
59,97020,5587,0.5777662874870734,0.7269454808391625,0.34538781402929675,2793,2794,400,0.14321518080916576,0.025542560768420697,0.00610024916343588,84
