peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,41535,4932,0.5100310237849017,0.7180127783220065,0.17808073062009355,2466,2466,372,0.15085158150851583,0.022303325223033254,0.0038664201670295293,30
1,62172,6206,0.6417786970010341,0.242463633355452,0.4610304643279565,3103,3103,305,0.09829197550757332,0.015468901063486949,0.02394144163041321,1423
2,69915,6031,0.6236814891416753,0.2121222803938939,0.12709629326788016,3015,3016,300,0.09950248756218906,0.028964043619216034,0.005836556259645073,83
3,69987,7155,0.7399172699069286,0.19858021961453048,0.10079625956706527,3577,3578,460,0.12859938495946324,0.025558686302916918,0.004760401666381512,65
4,70058,8550,0.8841778697001034,0.11041866322569244,0.13169673112830427,4275,4275,358,0.08374269005847954,0.01590643274853801,0.012883263814222242,568
5,70351,8627,0.8921406411582213,0.1882364750227891,0.28561353362376907,4313,4314,359,0.08323672617667517,0.018020741596843474,0.01814507975897816,1137
6,71153,8831,0.9132368148914167,0.26499808947427494,0.27198263750359636,4415,4416,363,0.08221970554926387,0.01678494345692386,0.011973058722406199,507
7,71285,8865,0.9167528438469493,0.38765957088139547,0.27323922096946274,4433,4432,364,0.08211143695014662,0.017718023504386612,0.008746256364285932,272
8,71412,8838,0.9139607032057911,0.5640105651576813,0.31507339041796956,4419,4419,364,0.08237157727992758,0.014482914686580672,0.007036260728597751,176
9,71658,8801,0.9101344364012409,0.6077826974284921,0.607214934062113,4401,4400,363,0.08248125426039536,0.009707039722377145,0.009446433827512186,315
10,71773,8678,0.8974146845915202,0.7231727200778588,0.4861570195362265,4339,4339,360,0.08296842590458631,0.02005070292694169,0.007465025620026721,194
11,71880,8683,0.8979317476732162,0.41482809015890143,0.39357119193955176,4341,4342,360,0.082930200414651,0.013204095238368088,0.01018817845533864,361
12,74024,8895,0.9198552223371251,0.6932242673405363,0.4640869907526307,4447,4448,365,0.08207780526197436,0.01759375611721102,0.006875850318295573,169
13,74127,8865,0.9167528438469493,0.6340459801280324,0.3629284673183082,4433,4432,521,0.11752763365666591,0.03393119050508127,0.005609674006936908,112
14,74213,8662,0.8957600827300931,0.3159639477188818,0.3535443219303761,4331,4331,360,0.08312168090510275,0.01500808127453244,0.011275656795242337,441
15,74281,8151,0.8429162357807652,0.3036842315532918,0.5202077103707696,4075,4076,349,0.0856441717791411,0.013286453096684466,0.01782664700582549,1037
16,74423,6488,0.6709410548086867,0.23686834220511005,0.2084263006329992,3244,3244,435,0.1340937114673243,0.015413070283600495,0.010826960245799879,305
17,74503,5997,0.6201654601861427,0.5961625827521642,0.3892689022957933,2999,2998,299,0.09969989996665556,0.026196746480536874,0.006713789841577932,109
18,74592,7729,0.7992761116856256,0.7101315227427409,0.46117996362438696,3865,3864,340,0.08796895213454076,0.015426707271017975,0.008346727606359676,216
19,74700,9037,0.9345398138572906,0.6079197621568841,0.6403959852095784,4519,4518,368,0.08143394556317769,0.01078482166830698,0.011965966863815734,518
20,74884,9256,0.957187176835574,0.5727069107934026,0.7529196678377349,4628,4628,372,0.08038029386343994,0.015557476231633536,0.014597085869670443,789
21,74977,9483,0.9806618407445709,0.8055194142204226,1.2835595485968327,4741,4742,377,0.07951908879983126,0.016773684979802795,0.018344737996450863,1277
22,75292,7139,0.7382626680455016,1.5711833682576053,2.121082353522554,3569,3570,460,0.1288876435976464,0.028744330458437228,0.01518332894599604,659
23,75543,7905,0.8174767321613237,0.6031656278135322,0.48055941297631793,3953,3952,344,0.08702251454591449,0.010713497461570212,0.008029837721489066,204
24,75638,7067,0.7308169596690797,0.8455806645858427,0.5405284308439962,3533,3534,325,0.09198981035946788,0.02141150837339141,0.006949558500321906,137
25,75739,7264,0.7511892450879007,1.6101342152067937,1.6465910135872577,3632,3632,330,0.0908590308370044,0.015969162995594713,0.014740599640938093,632
26,75799,7630,0.7890382626680456,3.236942209096576,2.7437348646466027,3815,3815,478,0.1252948885976409,0.02490170380078637,0.010700100584836362,350
27,76148,9272,0.958841778697001,0.3264227775641045,0.314759849720622,4636,4636,372,0.08024158757549611,0.02459016393442623,0.009635444260883122,345
28,76323,8166,0.8444674250258531,0.7877530933134643,0.6929860961448995,4083,4083,497,0.12172422238550086,0.02351212343864805,0.008472812377764061,235
29,76522,6450,0.6670113753877973,0.8704944168375754,0.4011757692545232,3225,3225,311,0.09643410852713179,0.010542635658914728,0.005262434882587334,72
30,76701,5971,0.6174767321613237,0.31692823244774554,0.1750554478480492,2985,2986,415,0.1390284757118928,0.026986237281518104,0.007629272475636104,140
31,76982,6260,0.6473629782833505,0.2075925544088612,0.19969050717490996,3130,3130,306,0.09776357827476038,0.020766773162939296,0.01098658860105668,303
32,79213,7892,0.8161323681489142,0.8741750592738684,0.7564258666224193,3946,3946,344,0.08717688798783578,0.016472377090724785,0.009757618940087994,301
33,79580,6865,0.7099276111685625,0.15069390332604415,0.30384738690098306,3433,3432,320,0.09321293329449461,0.02020224653490019,0.02296407127979455,1449
34,80130,8807,0.9107549120992761,0.8032426796972808,0.5889406666423229,4403,4404,519,0.11787417669770611,0.037319891503254224,0.007826234075243495,216
35,80785,9494,0.981799379524302,0.18676125354565307,0.3380833883789085,4747,4747,377,0.07941858015588793,0.012850221192332001,0.020670441015100488,1623
36,80874,8724,0.9021716649431231,0.14384931319859076,0.17608574137047242,4362,4362,361,0.08276020174232003,0.024300779458963778,0.011598442140915636,470
37,81368,9177,0.9490175801447777,0.3196688885888872,0.7678907726834396,4589,4588,371,0.0808455001089562,0.013628406733588127,0.025267875166801998,2344
38,82311,9616,0.9944157187176835,0.21629996609168498,0.35769521537697585,4808,4808,379,0.07882695507487521,0.02891014975041597,0.01743811344918337,1170
39,82905,9443,0.9765253360910031,0.4698720431372853,0.5966408606122092,4721,4722,376,0.07964414319000211,0.026322950228870056,0.012596656899187278,600
40,83301,6821,0.7053774560496381,0.24169921578762055,0.27893707377820265,3411,3410,319,0.09352096159484022,0.021262845494695013,0.012218191578254456,408
41,83536,8484,0.8773526370217166,0.3230708993352638,0.2592306221993436,4242,4242,356,0.08392267798208393,0.012965582272512965,0.007337649021239628,183
42,86488,6639,0.6865563598759049,0.2919026328154654,0.2863157084629567,3319,3320,441,0.13287134679120216,0.0226969946674314,0.010563115177802163,297
43,87169,8994,0.9300930713547053,1.778030107469776,2.209850082132167,4497,4497,367,0.08160996219702024,0.014009339559706471,0.01423299395946457,729
44,87250,8810,0.9110651499482937,1.8762307364088995,2.2797981705090486,4405,4405,363,0.08240635641316686,0.014982973893303064,0.01148313200751649,465
45,88156,6656,0.6883143743536712,1.175279928553412,0.6758570589417858,3328,3328,315,0.0946514423076923,0.021033653846153848,0.0063700547039817245,109
46,88229,7383,0.7634953464322647,1.1673766518665327,0.7204643583750413,3691,3692,469,0.1270658358168518,0.020951669209135982,0.005583064115545602,93
47,88473,4994,0.5164426059979318,0.833061740127568,0.756365887663917,2497,2497,273,0.10933119743692431,0.013215859030837005,0.011567123887687977,268
48,88600,3882,0.4014477766287487,0.5158123383932526,0.5097984434939623,1941,1941,325,0.16743946419371458,0.027305512622359605,0.016693612088074974,433
49,88672,1889,0.1953464322647363,0.5198272658193331,0.9791977988560565,945,944,352,0.3724867724867725,0.03824096493588019,0.03732695366311722,1053
50,90037,8889,0.91923474663909,0.3064737670501021,0.5718278106453734,4445,4444,365,0.08211473565804274,0.011322656450121952,0.02207545336867463,1733
51,90116,8646,0.8941054808686659,0.22890511372823014,0.19479544837873078,4323,4323,360,0.08327550312283137,0.013879250520471894,0.009345569300074609,303
52,90249,8213,0.8493278179937952,0.21060349353635344,0.44182574559952986,4107,4106,498,0.1212563915266618,0.01693596678523154,0.023766916810860187,1856
53,90383,6251,0.6464322647362978,0.36427259498828807,0.552567965303582,3125,3126,426,0.13632,0.024872987843889954,0.018271177089153906,835
54,90460,7719,0.7982419855222337,0.7068504430821142,0.8735501436450288,3859,3860,481,0.124643690075149,0.02343354542976717,0.01712917522298762,906
55,90607,5618,0.5809720785935885,0.3106453396465854,0.5078756574084404,2809,2809,767,0.2730509077963688,0.032395870416518334,0.02327143683041081,1217
56,90675,4943,0.5111685625646328,0.14742738618301096,0.10616097298665593,2471,2472,511,0.20679886685552407,0.031085183599004113,0.011383822850584641,257
57,90756,4392,0.45418821096173734,0.13008216680451243,0.052493015341669245,2196,2196,348,0.15846994535519127,0.023679417122040074,0.005948997215353767,63
58,91158,5681,0.5874870734229576,0.41193093361711464,0.23900681270919857,2841,2840,404,0.14220344948961633,0.017283638472864644,0.006551958524547956,98
59,97048,5570,0.5760082730093071,0.7597738222062591,0.44846018993114267,2785,2785,399,0.14326750448833034,0.020107719928186715,0.008407499520307862,158
