peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,62166,2462,0.2546018614270941,0.0005506215975800202,0.0003344443290309398,1231,1231,326,0.264825345247766,0.025182778229082048,0.011854144207875388,139
1,69984,4943,0.5111685625646328,0.0004294423924726227,0.00020631740323043813,2471,2472,960,0.3885066774585188,0.03997176306645764,0.006546045986535368,85
2,70062,4246,0.4390899689762151,0.0003482388517866747,0.00016901103829062075,2123,2123,463,0.21808761186999528,0.024022609514837492,0.008503676295324369,123
3,70351,4346,0.44943123061013446,0.0005495910503406468,0.00027679154072579587,2173,2173,470,0.21629084215370456,0.025310630464795213,0.007924576741081322,110
4,70858,3807,0.3936918304033092,0.00038692108727737085,0.0001487088375768051,1903,1904,432,0.22700998423541777,0.02705673704058607,0.005907335304650492,54
5,71150,8159,0.8437435367114788,0.0006962412902895581,0.00028272425303342433,4079,4080,496,0.12159843098798725,0.017508195972676888,0.004583336751930917,69
6,71275,8819,0.9119958634953464,0.0007131441076493999,0.0003106558156723753,4409,4410,363,0.08233159446586527,0.013716429340315547,0.0041415971751095244,61
7,71414,8710,0.9007238883143743,0.000824505762453891,0.0004064961708254538,4355,4355,361,0.08289322617680826,0.025028702640642934,0.0049513736489646,86
8,71659,8612,0.8905894519131334,0.0006796447677571967,0.00034559008851343893,4306,4306,359,0.08337203901532746,0.018114259173246633,0.005178249232448696,93
9,71775,8676,0.8972078593588417,0.0009886837619575185,0.0003510024762283584,4338,4338,360,0.08298755186721991,0.010142923005993546,0.004286449558374286,64
10,71883,8647,0.8942088934850052,0.00047511025631523547,0.0001934347549333533,4323,4324,360,0.08327550312283137,0.017433160366972004,0.004447939570232185,69
11,74024,8862,0.9164426059979317,0.001227699552561293,0.0006401836888856731,4431,4431,364,0.08214849921011058,0.025727826675693975,0.005664548798370741,114
12,74125,8728,0.9025853154084799,0.001072903451052365,0.0006190194000529267,4364,4364,361,0.08272227314390468,0.017415215398716773,0.006243340684333026,137
13,74214,6083,0.6290589451913133,0.0006919366514382762,0.000539985512183967,3041,3042,302,0.09930943768497205,0.01745755628587693,0.009976536570327878,243
14,74513,5203,0.5380558428128231,0.001245848284350391,0.000565220925002052,2601,2602,384,0.14763552479815456,0.03368242747054361,0.005677204911981047,68
15,74592,7941,0.8211995863495346,0.0009601216151932337,0.00045103050415540535,3971,3970,345,0.08687987912364643,0.016074347584217313,0.004650650104759877,69
16,74697,8858,0.916028955532575,0.001039003499653075,0.0005501295898370005,4429,4429,364,0.08218559494242493,0.0167080605102732,0.005975230323872898,127
17,74889,8531,0.8822130299896588,0.0008526261564378057,0.0010644537168355349,4265,4266,357,0.08370457209847597,0.01199429057918084,0.016442682784288887,923
18,74980,5369,0.5552223371251293,0.002418623349103826,0.003212895289758617,2685,2684,391,0.14562383612662944,0.01959386890241364,0.016605005387076908,593
19,75545,7670,0.7931747673216132,0.0012494327716898205,0.0013060107274354624,3835,3835,339,0.08839634941329856,0.02059973924380704,0.010179411984884866,318
20,75638,6753,0.6983453981385729,0.0014465813517346143,0.0007772012643415768,3377,3376,625,0.18507551080840984,0.027471608890360915,0.00615815477574278,103
21,75739,7790,0.8055842812823164,0.0035511038890801744,0.004293341487217435,3895,3895,483,0.12400513478818999,0.02952503209242619,0.015621396552971064,761
22,76143,7199,0.7444674250258532,0.0005417182946954843,0.0004081287811773888,3599,3600,462,0.12836899138649624,0.027372341082399432,0.008700521973469067,218
23,76323,6136,0.6345398138572906,0.0019544691715249218,0.0012996072156306808,3068,3068,422,0.13754889178617993,0.01694915254237288,0.007181148086542492,127
24,76540,5852,0.6051706308169597,0.0018929143134438573,0.0008025878590668682,2926,2926,296,0.10116199589883801,0.023923444976076555,0.005832974906104447,80
25,76695,5882,0.6082730093071355,0.0005334083120439724,0.0001604269825640755,2941,2941,412,0.14008840530431826,0.02856171370282217,0.004243702890644174,43
26,76984,5726,0.5921406411582213,0.0003221940032473331,0.00022797159489940222,2863,2863,405,0.14146000698567937,0.017114914425427872,0.007697295775083088,136
27,79215,5690,0.5884177869700103,0.00104761500577941,0.0005024963138528333,2845,2845,404,0.1420035149384886,0.020035149384885764,0.006327699820254179,92
28,79419,2768,0.28624612202688726,0.001797368982654664,0.00114119096342303,1384,1384,463,0.3345375722543353,0.033236994219653176,0.012994712312564027,187
29,80141,5897,0.6098241985522234,0.002291388821449581,0.000992298676936003,2949,2948,412,0.13970837572058326,0.034722691913593964,0.005202656617897792,64
30,80705,1494,0.15449844881075492,0.000390040465631945,0.00025765853057362986,747,747,298,0.3989290495314592,0.024096385542168676,0.020413223310037792,250
31,80791,2172,0.22461220268872803,0.00032949251286496444,0.0002782662638063751,1086,1086,389,0.358195211786372,0.04143646408839779,0.01578991703068389,217
32,80877,2593,0.26814891416752845,0.00025460612813615527,0.00015446508687014468,1297,1296,337,0.25983037779491136,0.032027256632114,0.010160628605047123,108
