peak_id,point_index,n_detected,detection_rate,mean,std,ks_probe_n,ks_reference_n,ks_saturation_n,ks_saturation_ratio,ks_final_mean,relative_sem_at_full_n,n_needed_for_5pct_sem
0,41535,4932,0.5100310237849017,0.0015538346536290986,0.0003344303896446915,2466,2466,271,0.10989456609894566,0.015004055150040552,0.002723997064619513,15
1,62172,6206,0.6417786970010341,0.00024456252069594056,0.0002520920726508217,3103,3103,424,0.1366419593941347,0.010634869481147276,0.014366635962090214,513
2,69915,6031,0.6236814891416753,0.000406636389790307,0.0002324031791024209,3015,3016,300,0.09950248756218906,0.019409583382820644,0.00740884419391285,133
3,69987,7155,0.7399172699069286,0.00035597968646857835,0.00020672596353012328,3577,3578,327,0.09141738887335757,0.01772355304595708,0.006281298671562664,113
4,70058,8550,0.8841778697001034,0.00015190004435340293,0.000106120102637206,4275,4275,358,0.08374269005847954,0.020350877192982456,0.006793903700232824,158
5,70351,8627,0.8921406411582213,0.00021842565327107345,0.0002114437624257081,4313,4314,359,0.08323672617667517,0.020042155654740695,0.011211453981009202,434
6,71153,8831,0.9132368148914167,0.00032486305639109394,0.0002812509189699784,4415,4416,519,0.11755379388448471,0.025071345626733632,0.009221743786158006,301
7,71285,8865,0.9167528438469493,0.0006192415006569624,0.0003739468546704449,4433,4432,364,0.08211143695014662,0.026356722350666682,0.00627646025834297,140
8,71412,8838,0.9139607032057911,0.0008577926671776768,0.00040870991492863507,4419,4419,364,0.08237157727992758,0.01923512106811496,0.005618419165344361,112
9,71658,8801,0.9101344364012409,0.0007041724843724019,0.00034901510779690247,4401,4400,518,0.11770052260849807,0.01606236185990787,0.0050855610425944164,92
10,71773,8678,0.8974146845915202,0.0010114660061026125,0.0003571453125309072,4339,4339,360,0.08296842590458631,0.014519474533302604,0.003964859216929258,55
11,71880,8683,0.8979317476732162,0.0005039263289466054,0.00019366641621096578,4341,4342,360,0.082930200414651,0.019081076590108284,0.004468039509355862,70
12,74024,8895,0.9198552223371251,0.0011434535602278908,0.000745069835499067,4447,4448,365,0.08207780526197436,0.013281880679400712,0.006780237628965823,164
13,74127,8865,0.9167528438469493,0.0010451634446896885,0.0006431836332679464,4433,4432,364,0.08211143695014662,0.016595616157453818,0.006247364520467586,139
14,74213,8662,0.8957600827300931,0.0005013825859949652,0.00042665073371032746,4331,4331,360,0.08312168090510275,0.01523897483260217,0.007923996832254884,218
15,74281,8151,0.8429162357807652,0.0004832200509580276,0.00047927105017265,4075,4076,349,0.0856441717791411,0.019752192995659165,0.009779989405769986,312
16,74423,6488,0.6709410548086867,0.00046303593802336947,0.0003030244092546465,3244,3244,311,0.09586929716399507,0.016337854500616523,0.007446704625418988,144
17,74503,5997,0.6201654601861427,0.0011640807850131004,0.0006285278046178681,2999,2998,299,0.09969989996665556,0.015926700939450353,0.0051116342423203716,63
18,74592,7729,0.7992761116856256,0.0011563542087462038,0.000595073417529879,3865,3864,340,0.08796895213454076,0.019846916774471757,0.00479831196048623,72
19,74700,9037,0.9345398138572906,0.0007119730229539038,0.0004834472933378449,4519,4518,368,0.08143394556317769,0.01722107659940749,0.006202123905864437,140
20,74884,9256,0.957187176835574,0.000604103352722247,0.0008548530540538534,4628,4628,372,0.08038029386343994,0.015773552290406223,0.014175390788684687,744
21,74977,9483,0.9806618407445709,0.0009985778414650815,0.0020981724048524638,4741,4742,262,0.05526260282640793,0.014001222854624507,0.02577075996193267,2520
22,75292,7139,0.7382626680455016,0.0019030431890171365,0.003042165151293265,3569,3570,460,0.1288876435976464,0.023395595279299727,0.0198630388147213,1127
23,75543,7905,0.8174767321613237,0.0010106391550427944,0.0006350734892994973,3953,3952,344,0.08702251454591449,0.01584214213363294,0.006318319739947035,127
24,75638,7067,0.7308169596690797,0.0014551160230279467,0.0008106782929943697,3533,3534,325,0.09198981035946788,0.018052845104553062,0.006717481525917736,128
25,75739,7264,0.7511892450879007,0.0030491024451313378,0.0034672527946536255,3632,3632,330,0.0908590308370044,0.019273127753303965,0.01610742601321229,754
26,75799,7630,0.7890382626680456,0.007224838258189397,0.006859778163730968,3815,3815,338,0.08859764089121887,0.013368283093053735,0.01119380853483991,383
27,76148,9272,0.958841778697001,0.0004811872253092149,0.00039358871236111123,4636,4636,372,0.08024158757549611,0.02545297670405522,0.007122832054609467,189
28,76323,8166,0.8444674250258531,0.0015334363813870621,0.0013787847538964807,4083,4083,349,0.0854763654175851,0.01763409257898604,0.009031594525291438,267
29,76522,6450,0.6670113753877973,0.0017570343268974518,0.000934768783214197,3225,3225,434,0.1345736434108527,0.01581395348837209,0.005887582324090991,90
30,76701,5971,0.6174767321613237,0.0005587238757427935,0.0001784547353549424,2985,2986,299,0.10016750418760469,0.014834498457906858,0.0038866670536701117,37
31,76982,6260,0.6473629782833505,0.0003216337525830062,0.00013129576628682517,3130,3130,427,0.13642172523961663,0.02523961661341853,0.005831438704527595,86
32,79213,7892,0.8161323681489142,0.001387717022561707,0.0008452919504246652,3946,3946,344,0.08717688798783578,0.021033958438925495,0.006521979072522671,135
33,79580,6865,0.7099276111685625,0.00016626275975251928,0.0002171730040252209,3433,3432,450,0.13108068744538304,0.024256038165155556,0.015461005582883542,657
34,80130,8807,0.9107549120992761,0.0015815526969545587,0.0013215412864972075,4403,4404,741,0.168294344764933,0.03934992510886084,0.008629203883977785,263
35,80785,9494,0.981799379524302,0.00020052577724534256,0.00016249960876894417,4747,4747,262,0.05519275331788498,0.016852749104697702,0.008406637499014063,269
36,80874,8724,0.9021716649431231,0.00018728329836524048,0.0001227709877459081,4362,4362,516,0.11829436038514443,0.03255387436955525,0.005688233116946551,113
37,81368,9177,0.9490175801447777,0.0003168785125405042,0.0006816867238213855,4589,4588,371,0.0808455001089562,0.01087880631881363,0.023707904571603752,2064
38,82311,9616,0.9944157187176835,0.0002605364572599954,0.0005112261794730407,4808,4808,379,0.07882695507487521,0.018094841930116474,0.02093560376570696,1686
39,82905,9443,0.9765253360910031,0.0004542274323432469,0.00038274690264899466,4721,4722,376,0.07964414319000211,0.02336626898245253,0.007848758489381817,233
40,83301,6821,0.7053774560496381,0.0003170659631538614,0.00018847979780305197,3411,3410,319,0.09352096159484022,0.02034972243500629,0.006724834731627633,124
41,83536,8484,0.8773526370217166,0.000549398581683087,0.0003489271991220128,4242,4242,356,0.08392267798208393,0.018387553041018388,0.006476924771313396,143
42,86488,6639,0.6865563598759049,0.00029189364013588656,0.00019579203586924136,3319,3320,441,0.13287134679120216,0.017827713384420477,0.007811312866402302,163
43,87169,8994,0.9300930713547053,0.0019227485144574779,0.0024000711116428652,4497,4497,367,0.08160996219702024,0.01000667111407605,0.012693261484042694,580
44,87250,8810,0.9110651499482937,0.0020057980898709683,0.0024570123648536314,4405,4405,363,0.08240635641316686,0.0170261066969353,0.011907881493367384,500
45,88156,6656,0.6883143743536712,0.002228208321927973,0.0012776553506608599,3328,3328,315,0.0946514423076923,0.012920673076923076,0.0065755598990390705,116
46,88229,7383,0.7634953464322647,0.0021553101036366246,0.0013965956951377805,3691,3692,332,0.08994852343538337,0.012896512937533921,0.007472166330414066,165
47,88473,4994,0.5164426059979318,0.0013257072417181383,0.0009958278362538842,2497,2497,273,0.10933119743692431,0.01882258710452543,0.00980512171751387,193
48,88600,3882,0.4014477766287487,0.0007924334401194946,0.0007510528399221546,1941,1941,437,0.22514167954662545,0.027820710973724884,0.017689913620766034,486
49,88672,1889,0.1953464322647363,0.000595911704290379,0.0010542137195211655,945,944,,,0.0523192987176038,0.03673319503696167,1020
50,90037,8889,0.91923474663909,0.0003673528652026003,0.0005609937735692585,4445,4444,365,0.08211473565804274,0.015404549453820523,0.018463402514771982,1213
51,90116,8646,0.8941054808686659,0.00029724221656294094,9.654326338521591e-05,4323,4323,360,0.08327550312283137,0.020587554938699976,0.0034267126510074395,41
52,90249,8213,0.8493278179937952,0.00021801335355385508,0.0004380773611466022,4107,4106,351,0.08546384222059898,0.018874491189231648,0.024254878451185808,1933
53,90383,6251,0.6464322647362978,0.0004838529012949578,0.0004128957297493045,3125,3126,426,0.13632,0.022018170185540628,0.009756537940091894,239
54,90460,7719,0.7982419855222337,0.0008079071906260297,0.0008147866653365546,3859,3860,481,0.124643690075149,0.019571501650807545,0.012417098616844853,477
55,90607,5618,0.5809720785935885,0.0004604211347584369,0.00047921924176193303,2809,2809,401,0.14275542897828408,0.016019935920256318,0.013682772870067108,421
56,90675,4943,0.5111685625646328,0.00029944321042382337,7.63276213472063e-05,2471,2472,700,0.28328611898017,0.03744978972914285,0.004505180577906842,41
57,90756,4392,0.45418821096173734,0.0002648463594707079,7.597926645290921e-05,2196,2196,348,0.15846994535519127,0.027322404371584695,0.004371921326083868,34
58,91158,5681,0.5874870734229576,0.000804066423948158,0.0003736407268896237,2841,2840,404,0.14220344948961633,0.011420423278849443,0.0059842241049953586,82
59,97048,5570,0.5760082730093071,0.0016235792429910938,0.0013935653123175369,2785,2785,552,0.19820466786355476,0.03267504488330341,0.011195927562339137,280
