dataset,groups,embed_dim,balanced_accuracy,roc_auc,tokens,d_model,n_samples
brc_t2d_cancer,1,128,0.8328947368421052,0.9006578947368421,128,128,78
brc_t2d_cancer,2,256,0.8460526315789474,0.9078947368421052,128,128,78
brc_t2d_cancer,4,512,0.8322368421052632,0.919078947368421,128,128,78
brc_t2d_cancer,8,1024,0.8585526315789473,0.9328947368421053,128,128,78
brc_t2d_cancer,16,2048,0.8578947368421053,0.9315789473684211,128,128,78
brc_t2d_cancer,32,4096,0.8710526315789473,0.9355263157894737,128,128,78
brc_t2d_cancer,64,8192,0.8585526315789473,0.9434210526315789,128,128,78
brc_t2d_cancer,128,16384,0.8585526315789473,0.9572368421052632,128,128,78
brc_t2d_diabetes,1,128,0.8094919786096256,0.8489304812834224,128,128,78
brc_t2d_diabetes,2,256,0.7834224598930482,0.8689839572192513,128,128,78
brc_t2d_diabetes,4,512,0.7947860962566844,0.8663101604278075,128,128,78
brc_t2d_diabetes,8,1024,0.7606951871657754,0.8495989304812834,128,128,78
brc_t2d_diabetes,16,2048,0.7573529411764706,0.8516042780748663,128,128,78
brc_t2d_diabetes,32,4096,0.7687165775401069,0.8616310160427807,128,128,78
brc_t2d_diabetes,64,8192,0.7426470588235294,0.8643048128342247,128,128,78
brc_t2d_diabetes,128,16384,0.7800802139037433,0.8616310160427808,128,128,78
mtbls563,1,128,0.6072314781992202,0.746338393524648,128,128,113
mtbls563,2,256,0.6319567529244948,0.769214664414687,128,128,113
mtbls563,4,512,0.6507296466973886,0.7793884191330863,128,128,113
mtbls563,8,1024,0.6527974713458584,0.7903188761691505,128,128,113
mtbls563,16,2048,0.6408927094410966,0.7998700021390329,128,128,113
mtbls563,32,4096,0.6340245775729647,0.8081795739982129,128,128,113
mtbls563,64,8192,0.6184715821812596,0.8078131658407703,128,128,113
mtbls563,128,16384,0.6212040647524518,0.8020484199327544,128,128,113
mtbls326,1,128,0.9444444444444444,1.0,128,128,42
mtbls326,2,256,0.9814814814814814,1.0,128,128,42
mtbls326,4,512,0.9814814814814814,1.0,128,128,42
mtbls326,8,1024,0.9814814814814814,1.0,128,128,42
mtbls326,16,2048,0.9814814814814814,1.0,128,128,42
mtbls326,32,4096,1.0,1.0,128,128,42
mtbls326,64,8192,1.0,1.0,128,128,42
mtbls326,128,16384,1.0,1.0,128,128,42
barth,1,128,0.7701863354037267,0.8509316770186335,128,128,37
barth,2,256,0.734472049689441,0.8571428571428572,128,128,37
barth,4,512,0.734472049689441,0.8664596273291925,128,128,37
barth,8,1024,0.734472049689441,0.9006211180124224,128,128,37
barth,16,2048,0.8416149068322981,0.9037267080745341,128,128,37
barth,32,4096,0.8059006211180124,0.8850931677018634,128,128,37
barth,64,8192,0.8059006211180124,0.8788819875776398,128,128,37
barth,128,16384,0.8059006211180124,0.8850931677018634,128,128,37
