dataset,groups,embed_dim,balanced_accuracy,roc_auc,tokens,d_model,n_samples
brc_t2d_cancer,1,256,0.8453947368421053,0.9171052631578949,128,256,78
brc_t2d_cancer,2,512,0.8453947368421053,0.9164473684210526,128,256,78
brc_t2d_cancer,4,1024,0.8585526315789473,0.9269736842105263,128,256,78
brc_t2d_cancer,8,2048,0.8453947368421053,0.930921052631579,128,256,78
brc_t2d_cancer,16,4096,0.8460526315789474,0.9322368421052631,128,256,78
brc_t2d_cancer,32,8192,0.8592105263157894,0.9361842105263157,128,256,78
brc_t2d_cancer,64,16384,0.8717105263157895,0.9427631578947369,128,256,78
brc_t2d_cancer,128,32768,0.8585526315789473,0.9447368421052632,128,256,78
brc_t2d_diabetes,1,256,0.6905080213903744,0.7459893048128342,128,256,78
brc_t2d_diabetes,2,512,0.7018716577540107,0.7439839572192514,128,256,78
brc_t2d_diabetes,4,1024,0.6644385026737968,0.7399732620320855,128,256,78
brc_t2d_diabetes,8,2048,0.6871657754010696,0.7352941176470589,128,256,78
brc_t2d_diabetes,16,4096,0.6871657754010696,0.7252673796791443,128,256,78
brc_t2d_diabetes,32,8192,0.6724598930481284,0.7439839572192514,128,256,78
brc_t2d_diabetes,64,16384,0.6758021390374331,0.7359625668449197,128,256,78
brc_t2d_diabetes,128,32768,0.6905080213903744,0.7533422459893048,128,256,78
mtbls563,1,256,0.5502481389578163,0.7341871551649995,128,256,113
mtbls563,2,512,0.5335430698333924,0.7387042510746498,128,256,113
mtbls563,4,1024,0.5729055890346213,0.7527468212339864,128,256,113
mtbls563,8,2048,0.5788579699870022,0.7559703434548685,128,256,113
mtbls563,16,4096,0.5788579699870022,0.7614076222266252,128,256,113
mtbls563,32,8192,0.5859624246721021,0.7687726348649339,128,256,113
mtbls563,64,16384,0.5564368427271653,0.774200772747332,128,256,113
mtbls563,128,32768,0.5514002126905353,0.7725144690277466,128,256,113
mtbls326,1,256,0.962962962962963,0.9975308641975309,128,256,42
mtbls326,2,512,0.962962962962963,1.0,128,256,42
mtbls326,4,1024,0.962962962962963,1.0,128,256,42
mtbls326,8,2048,0.962962962962963,0.9950617283950618,128,256,42
mtbls326,16,4096,0.962962962962963,0.9950617283950618,128,256,42
mtbls326,32,8192,0.962962962962963,0.9975308641975309,128,256,42
mtbls326,64,16384,0.962962962962963,1.0,128,256,42
mtbls326,128,32768,0.962962962962963,0.9925925925925926,128,256,42
barth,1,256,0.6335403726708074,0.7546583850931677,128,256,37
barth,2,512,0.65527950310559,0.7670807453416149,128,256,37
barth,4,1024,0.6195652173913043,0.7484472049689441,128,256,37
barth,8,2048,0.6413043478260869,0.7826086956521738,128,256,37
barth,16,4096,0.6770186335403727,0.7857142857142857,128,256,37
barth,32,8192,0.65527950310559,0.7608695652173914,128,256,37
barth,64,16384,0.65527950310559,0.7701863354037267,128,256,37
barth,128,32768,0.65527950310559,0.7795031055900621,128,256,37
