dataset,family,groups,embed_dim,balanced_accuracy,roc_auc,n_samples
brc_t2d_cancer,jigsaw,1,768,0.7684210526315789,0.8486842105263158,78
brc_t2d_cancer,jigsaw,2,1536,0.8085526315789473,0.8467105263157895,78
brc_t2d_cancer,jigsaw,4,3072,0.7960526315789473,0.8638157894736842,78
brc_t2d_cancer,jigsaw,8,6144,0.8467105263157895,0.906578947368421,78
brc_t2d_cancer,jigsaw,16,12288,0.8342105263157895,0.9072368421052632,78
brc_t2d_cancer,jigsaw,32,24576,0.8473684210526315,0.9131578947368422,78
brc_t2d_cancer,jigsaw,64,49152,0.8723684210526316,0.9131578947368422,78
brc_t2d_cancer,jigsaw,flatten,184320,0.8467105263157895,0.9078947368421053,78
brc_t2d_cancer,joint,1,960,0.7690789473684211,0.8263157894736842,78
brc_t2d_cancer,joint,2,1920,0.7322368421052632,0.8072368421052631,78
brc_t2d_cancer,joint,4,3840,0.7190789473684212,0.7921052631578948,78
brc_t2d_cancer,joint,8,7680,0.7315789473684211,0.825,78
brc_t2d_cancer,joint,16,15360,0.7322368421052632,0.8361842105263158,78
brc_t2d_cancer,joint,32,30720,0.7578947368421052,0.830921052631579,78
brc_t2d_cancer,joint,64,61440,0.7447368421052631,0.8335526315789473,78
brc_t2d_cancer,joint,flatten,208896,0.7703947368421052,0.8447368421052632,78
brc_t2d_diabetes,jigsaw,1,768,0.5942513368983957,0.6176470588235294,78
brc_t2d_diabetes,jigsaw,2,1536,0.6316844919786097,0.6390374331550802,78
brc_t2d_diabetes,jigsaw,4,3072,0.6316844919786097,0.660427807486631,78
brc_t2d_diabetes,jigsaw,8,6144,0.6350267379679144,0.6891711229946524,78
brc_t2d_diabetes,jigsaw,16,12288,0.6350267379679144,0.7005347593582888,78
brc_t2d_diabetes,jigsaw,32,24576,0.6350267379679144,0.7012032085561497,78
brc_t2d_diabetes,jigsaw,64,49152,0.6350267379679144,0.7118983957219251,78
brc_t2d_diabetes,jigsaw,flatten,184320,0.6744652406417113,0.7259358288770054,78
brc_t2d_diabetes,joint,1,960,0.6350267379679144,0.7225935828877005,78
brc_t2d_diabetes,joint,2,1920,0.6644385026737968,0.7272727272727273,78
brc_t2d_diabetes,joint,4,3840,0.6122994652406417,0.6978609625668449,78
brc_t2d_diabetes,joint,8,7680,0.6758021390374331,0.7286096256684492,78
brc_t2d_diabetes,joint,16,15360,0.6236631016042781,0.6931818181818181,78
brc_t2d_diabetes,joint,32,30720,0.6350267379679144,0.6838235294117647,78
brc_t2d_diabetes,joint,64,61440,0.6644385026737968,0.7052139037433155,78
brc_t2d_diabetes,joint,flatten,208896,0.6497326203208555,0.7199197860962567,78
mtbls563,jigsaw,1,768,0.5269260309582889,0.7310434066709046,113
mtbls563,jigsaw,2,1536,0.5624039938556068,0.7221352345961275,113
mtbls563,jigsaw,4,3072,0.5436311000827131,0.754350790696802,113
mtbls563,jigsaw,8,6144,0.5367629682145811,0.7642453373714467,113
mtbls563,jigsaw,16,12288,0.5308105872622002,0.7666138838331662,113
mtbls563,jigsaw,32,24576,0.5436311000827131,0.7718994255414696,113
mtbls563,jigsaw,64,49152,0.5564516129032259,0.7755131835157281,113
