dataset,groups,embed_dim,balanced_accuracy,roc_auc,tokens,d_model,n_samples
brc_t2d_cancer,1,128,0.7552631578947369,0.799342105263158,64,128,78
brc_t2d_cancer,2,256,0.7684210526315789,0.7980263157894737,64,128,78
brc_t2d_cancer,4,512,0.8210526315789474,0.8585526315789473,64,128,78
brc_t2d_cancer,8,1024,0.8203947368421052,0.8802631578947369,64,128,78
brc_t2d_cancer,16,2048,0.8072368421052631,0.8914473684210527,64,128,78
brc_t2d_cancer,32,4096,0.8072368421052631,0.8914473684210527,64,128,78
brc_t2d_cancer,64,8192,0.8203947368421052,0.9039473684210526,64,128,78
brc_t2d_diabetes,1,128,0.6417112299465241,0.6905080213903743,64,128,78
brc_t2d_diabetes,2,256,0.6463903743315509,0.7172459893048129,64,128,78
brc_t2d_diabetes,4,512,0.6056149732620321,0.7419786096256684,64,128,78
brc_t2d_diabetes,8,1024,0.6350267379679144,0.7466577540106951,64,128,78
brc_t2d_diabetes,16,2048,0.6350267379679144,0.7346256684491979,64,128,78
brc_t2d_diabetes,32,4096,0.6497326203208555,0.7406417112299465,64,128,78
brc_t2d_diabetes,64,8192,0.6463903743315509,0.7814171122994653,64,128,78
mtbls563,1,128,0.5243707904998227,0.6900862925236034,64,128,113
mtbls563,2,256,0.5413269526172751,0.6911402575744358,64,128,113
mtbls563,4,512,0.544546850998464,0.720485735253249,64,128,113
mtbls563,8,1024,0.5081531371853952,0.745654987658119,64,128,113
mtbls563,16,2048,0.5559641970932293,0.7440032514202074,64,128,113
mtbls563,32,4096,0.5738213399503722,0.7721733200877764,64,128,113
mtbls563,64,8192,0.5550484461774784,0.775204162263989,64,128,113
mtbls326,1,128,0.9296296296296296,0.962962962962963,64,128,42
mtbls326,2,256,0.9296296296296296,0.9530864197530865,64,128,42
mtbls326,4,512,0.9296296296296296,0.9753086419753088,64,128,42
mtbls326,8,1024,0.9296296296296296,0.9827160493827161,64,128,42
mtbls326,16,2048,0.9296296296296296,0.9851851851851853,64,128,42
mtbls326,32,4096,0.9296296296296296,0.9851851851851853,64,128,42
mtbls326,64,8192,0.9296296296296296,0.9876543209876544,64,128,42
barth,1,128,0.7701863354037267,0.8944099378881987,64,128,37
barth,2,256,0.7701863354037267,0.8757763975155279,64,128,37
barth,4,512,0.7701863354037267,0.8788819875776397,64,128,37
barth,8,1024,0.734472049689441,0.8788819875776397,64,128,37
barth,16,2048,0.734472049689441,0.8788819875776397,64,128,37
barth,32,4096,0.734472049689441,0.8850931677018634,64,128,37
barth,64,8192,0.7701863354037267,0.8819875776397516,64,128,37
