row_index,n_peaks_suppressed,peak_indices,ratios
0,3,72464;73059;72297,0.637;0.597;0.500
1,2,72448;73046,0.584;0.575
2,3,73039;72444;72276,0.648;0.642;0.532
3,2,73049;72454,0.568;0.545
4,0,,
5,0,,
6,3,73046;72451;72283,0.683;0.667;0.557
7,0,,
8,0,,
9,3,72430;73026;72263,0.659;0.658;0.522
10,2,72468;73065,0.581;0.556
11,0,,
12,0,,
13,1,72995,0.517
14,1,73035,0.507
15,0,,
16,3,72408;73005;72242,0.695;0.689;0.554
17,3,73066;72471;72303,0.668;0.656;0.554
18,2,72383;73005,0.658;0.630
19,0,,
20,2,73046;72451,0.585;0.553
21,2,72464;73059,0.532;0.521
22,2,73042;72444,0.532;0.502
23,0,,
24,0,,
25,3,73049;72434;72266,0.735;0.724;0.579
26,3,72444;73042;72279,0.655;0.615;0.518
27,2,73045;72450,0.624;0.580
28,3,73005;72407;72240,0.711;0.685;0.569
29,0,,
30,3,72353;72975;72213,0.602;0.593;0.516
31,0,,
32,0,,
33,3,73055;72434;72293,0.692;0.625;0.549
34,3,72431;73052;72290,0.726;0.674;0.563
35,3,73022;72424;72259,0.674;0.648;0.546
36,0,,
37,0,,
38,0,,
39,0,,
40,0,,
41,1,72434,0.519
42,0,,
43,2,72397;73016,0.569;0.561
44,1,73439,0.587
45,1,73412,0.557
46,1,72434,0.549
47,0,,
48,1,72427,0.547
49,0,,
50,1,73435,0.504
51,0,,
52,0,,
53,0,,
54,0,,
55,0,,
56,0,,
57,0,,
58,0,,
59,1,73418,0.586
60,0,,
61,0,,
62,0,,
63,0,,
64,0,,
65,0,,
66,0,,
67,0,,
68,3,72448;73042;72280,0.704;0.675;0.557
69,0,,
70,3,73019;72400;72252,0.664;0.612;0.514
71,0,,
72,0,,
73,3,73442;73325;72746,1.994;1.194;1.005
74,0,,
75,0,,
76,3,73489;73371;72797,1.510;0.934;0.814
77,0,,
