row_index,n_peaks_suppressed,peak_indices,ratios
0,0,,
1,0,,
2,1,73219,0.505
3,0,,
4,0,,
5,3,73462;73562;73924,0.742;0.651;0.674
6,0,,
7,3,73460;73560;73922,0.752;0.624;0.650
8,0,,
9,1,73464,0.549
10,3,73452;73552;73914,0.736;0.614;0.641
11,3,73449;73549;73911,0.995;0.824;0.861
12,3,73212;73781;73680,0.819;0.759;0.736
13,3,73226;73796;73695,0.915;0.897;0.826
14,0,,
15,3,73229;73799;73698,0.986;0.954;0.899
16,2,73462;73561,1.128;0.966
17,2,73222;73793,0.517;0.504
18,3,73218;73787;73686,0.664;0.605;0.591
19,0,,
20,3,73212;73782;73313,0.612;0.554;0.545
21,3,73223;73792;73691,0.995;0.899;0.892
22,3,73459;73559;73921,0.662;0.560;0.592
23,3,73215;73784;73683,0.581;0.540;0.521
24,1,73213,0.527
25,3,73462;73562;72417,0.803;0.659;0.728
26,0,,
27,1,73455,0.506
28,0,,
29,3,73456;72414;72337,0.512;0.522;0.521
30,2,72215;72139,0.581;0.554
31,3,73225;73794;73693,0.881;0.797;0.793
32,0,,
33,0,,
34,3,73218;73786;73686,1.027;0.939;0.916
35,3,73223;73792;73691,1.045;0.956;0.938
36,0,,
37,0,,
38,0,,
39,1,73220,0.502
40,0,,
41,1,73216,0.514
42,0,,
43,3,73220;73791;73689,0.571;0.559;0.515
44,0,,
45,3,73214;73784;73682,0.642;0.617;0.583
46,0,,
47,0,,
48,0,,
49,1,73223,0.524
50,3,73212;73781;73680,0.625;0.570;0.557
51,0,,
52,0,,
53,3,73226;73796;73695,0.938;0.914;0.856
54,3,73217;73786;73685,0.572;0.542;0.526
55,0,,
56,1,72101,0.571
57,3,73226;73795;73694,0.681;0.627;0.610
58,0,,
59,1,72100,0.568
60,0,,
61,0,,
62,3,73216;73785;73684,0.814;0.750;0.730
63,0,,
64,1,73221,0.511
65,0,,
66,3,73211;73679;73312,0.645;0.575;0.573
67,0,,
68,3,73231;73800;73699,0.583;0.539;0.526
69,3,73218;73786;73685,0.724;0.685;0.658
70,3,73224;73793;73692,0.999;0.917;0.900
71,3,73210;73780;73679,0.734;0.664;0.658
72,0,,
73,0,,
74,3,73215;73785;73683,0.692;0.642;0.620
75,3,73218;73788;73686,0.808;0.764;0.730
76,3,73238;73809;73708,0.889;0.888;0.811
77,3,73219;73788;73687,0.667;0.620;0.599
78,3,73225;73796;73695,0.741;0.739;0.681
79,3,73220;73788;73688,0.968;0.890;0.856
80,3,73214;73783;73682,0.643;0.595;0.579
81,3,73215;73785;73683,0.668;0.637;0.608
82,3,73215;73784;73683,0.927;0.850;0.825
83,3,73216;73318;73685,0.633;0.553;0.518
84,3,73452;73552;73913,0.882;0.734;0.761
85,0,,
86,0,,
87,3,73221;73791;73690,1.012;0.936;0.912
88,3,73453;73553;73915,1.066;0.899;0.930
89,3,73220;73789;73688,0.993;0.931;0.896
90,1,73459,0.555
91,0,,
92,0,,
93,3,73453;73553;73915,0.664;0.550;0.582
94,3,73451;73551;73912,0.680;0.570;0.590
95,3,73214;73784;73682,0.795;0.744;0.719
96,0,,
97,0,,
98,0,,
99,0,,
100,3,73222;73792;73690,1.003;0.992;0.910
101,0,,
102,0,,
103,0,,
104,3,72794;73225;73793,0.597;0.550;0.503
105,3,73239;73808;73707,0.799;0.735;0.724
106,3,73219;73788;73686,0.944;0.878;0.841
107,3,73217;73786;73685,0.883;0.849;0.810
108,3,73226;73797;73695,1.003;0.986;0.903
109,0,,
110,3,73240;73811;73710,0.807;0.743;0.726
111,0,,
112,3,73230;73795;73694,0.806;0.752;0.725
113,0,,
114,3,73226;73795;73693,0.648;0.607;0.588
115,3,73212;73313;73781,0.770;0.685;0.657
116,3,73223;73792;73691,0.760;0.704;0.686
117,3,73218;73787;73685,0.861;0.796;0.772
118,3,73211;73780;73679,0.653;0.613;0.584
119,0,,
120,0,,
121,0,,
122,3,73234;73803;73701,0.951;0.877;0.850
123,0,,
124,3,73228;73798;73696,0.582;0.529;0.513
125,0,,
126,3,73247;73818;73717,0.573;0.568;0.529
127,3,73215;73783;73316,1.066;0.983;0.951
128,3,73221;73790;73689,0.827;0.747;0.735
129,0,,
130,3,73221;73790;73688,0.814;0.758;0.732
131,0,,
132,3,73223;73792;73691,0.583;0.546;0.532
133,2,73233;73802,0.550;0.532
134,0,,
135,3,73217;73786;73684,0.872;0.814;0.787
136,3,73220;73789;73688,0.646;0.594;0.585
137,3,73216;73784;73684,1.050;0.981;0.945
138,0,,
139,3,73238;73809;73708,0.786;0.772;0.723
140,3,73228;73799;73698,0.698;0.685;0.631
141,0,,
