mask_ratio,predictor,n,r_masked_mean,r_masked_sd,r_whole_mean,r_masked_peak_mean,r_masked_baseline_mean,r_masked_mean_rowgap_filtered,n_rowgap_filtered
0.25,dnn,50,0.9401657342910766,0.08954870495892985,0.9791071569919586,0.8586666941642761,0.8440598417818547,0.9401657342910766,
0.25,corpus_mean,50,0.5871530976891518,0.20854726506226234,0.538084851205349,0.4511262438911945,0.5489509771764278,0.5871530976891518,
0.25,linear_interp,50,0.5485925189924071,0.1522267366597847,0.84905380329359,0.1940802455777122,0.6148245693607453,0.5485925189924071,
0.25,pca50_from_visible,50,0.8707820236682892,0.13173706376140618,0.9356937325000763,0.8031772953271866,0.709970306456089,0.8707820236682892,
0.25,nn_copy,50,0.9182912182807922,0.11894575143307431,0.9385159945487976,0.8616542941331864,0.9277172976732254,0.899341389988408,33.0
0.4,dnn,50,0.9276031851768494,0.09640605429752568,0.9756464529037475,0.83620764285326,0.8752864062786102,0.9276031851768494,
0.4,corpus_mean,50,0.5910639163851737,0.20856652381536323,0.538084851205349,0.4872869280911982,0.5678692787885666,0.5910639163851737,
0.4,linear_interp,50,0.49998874047550024,0.1446537611109779,0.8160416997247896,0.15896299782485396,0.5934597454364663,0.49998874047550024,
0.4,pca50_from_visible,50,0.831127735376358,0.16828149417587196,0.9232417356967926,0.7688917382061482,0.6627463395893574,0.831127735376358,
0.4,nn_copy,50,0.9161909425258636,0.10997085729274493,0.9485038077831268,0.8338158811628819,0.9373653185367584,0.8975115027920954,29.0
0.6,dnn,50,0.9214336848258973,0.10627783794398092,0.9511065459251404,0.8787042552232742,0.8551380029320717,0.9214336848258973,
0.6,corpus_mean,50,0.558253579735756,0.21092432121139862,0.538084851205349,0.47646774124354124,0.5436814141273498,0.558253579735756,
0.6,linear_interp,50,0.3765321977703643,0.13711145522716714,0.6148864713297201,0.08430400097569522,0.5313064638101532,0.3765321977703643,
0.6,pca50_from_visible,50,0.8248977565765381,0.16396182182002988,0.8828122341632842,0.7695213449001312,0.6268278965353966,0.8248977565765381,
0.6,nn_copy,50,0.9003313326835632,0.12229105132702209,0.9197843337059021,0.8306284123659133,0.9264901560544968,0.884766290264745,31.0
