mask_ratio,row,predictor,r_masked,r_whole,r_masked_peak,r_masked_baseline,nn_row_gap
0.25,0,corpus_mean,0.43094247579574585,0.17739395797252655,0.3000301420688629,0.2725881338119507,
0.25,0,linear_interp,0.43714201854490575,0.9413840878167513,-0.1247097693991302,0.6893003163952128,
0.25,0,pca50_from_visible,0.4767999053001404,0.6372710466384888,0.083293117582798,0.4457007944583893,
0.25,0,nn_copy,0.5669000148773193,0.6384884715080261,-0.049176353961229324,0.9044416546821594,149.0
0.25,196,corpus_mean,0.7118711471557617,0.6130547523498535,0.7715526223182678,-0.21209479868412018,
0.25,196,linear_interp,0.7278556413523966,0.9781630637710289,0.5491451998428862,0.9367458262116511,
0.25,196,pca50_from_visible,0.7992368340492249,0.9437940120697021,0.9644222259521484,-0.042480748146772385,
0.25,196,nn_copy,0.9395242929458618,0.9286288022994995,0.9348024725914001,0.02505989745259285,9319.0
0.25,393,corpus_mean,0.3719659149646759,0.14987815916538239,-0.02263750694692135,0.5160523653030396,
0.25,393,linear_interp,0.5801786209135406,0.7579239300488279,0.23258408902181021,0.5839342695352823,
0.25,393,pca50_from_visible,0.8053159117698669,0.8672720193862915,0.3597394824028015,0.9699678421020508,
0.25,393,nn_copy,0.8171163201332092,0.8574225306510925,0.546966016292572,0.9225776195526123,297.0
0.25,589,corpus_mean,0.27256420254707336,0.10845145583152771,0.06552981585264206,0.036171045154333115,
0.25,589,linear_interp,0.47986857350895284,0.8778103234600871,0.06420760619507063,0.7199163127987691,
0.25,589,pca50_from_visible,0.8896024227142334,0.9363456964492798,0.8795081377029419,0.854875385761261,
0.25,589,nn_copy,0.9708948135375977,0.9522796273231506,0.972933828830719,0.7624338865280151,387.0
0.25,786,corpus_mean,0.8259921669960022,0.5190919041633606,0.7030948996543884,0.8330721855163574,
0.25,786,linear_interp,0.4503010327065648,0.9759033784041891,0.3016674416525891,0.4183857398634373,
0.25,786,pca50_from_visible,0.7409741878509521,0.9912447929382324,0.7882230281829834,0.34870168566703796,
0.25,786,nn_copy,0.6053447723388672,0.9583635330200195,0.36618179082870483,0.6049937605857849,7492.0
0.25,983,corpus_mean,0.3922004699707031,0.6750239729881287,0.5570472478866577,0.03457796946167946,
0.25,983,linear_interp,0.6593927210361723,0.9517046996899157,0.16412348988242115,0.6957249835371043,
0.25,983,pca50_from_visible,0.7009954452514648,0.9622282981872559,0.9136070013046265,0.14729368686676025,
0.25,983,nn_copy,0.9722790718078613,0.9808734655380249,0.9521326422691345,0.9475573301315308,129.0
0.25,1179,corpus_mean,0.8703110814094543,0.645866870880127,0.778662919998169,0.6221840381622314,
0.25,1179,linear_interp,0.44383949636929143,0.47334462701103064,0.4919637630742588,0.7602052543028622,
0.25,1179,pca50_from_visible,0.9786462187767029,0.9793168306350708,0.9557117819786072,0.9594611525535583,
0.25,1179,nn_copy,0.9442061185836792,0.9231167435646057,0.8720076084136963,0.9133835434913635,5837.0
0.25,1376,corpus_mean,0.7433279156684875,0.7136873602867126,0.8838101029396057,0.5461387038230896,
0.25,1376,linear_interp,0.6551387881254106,0.6822724781880668,0.7450114481277403,0.4463977131539982,
0.25,1376,pca50_from_visible,0.9358397126197815,0.9437500834465027,0.9825043678283691,0.27873891592025757,
0.25,1376,nn_copy,0.9875936508178711,0.9796866774559021,0.9841923117637634,0.9424890279769897,1595.0
0.25,1572,corpus_mean,0.28338348865509033,0.6914072632789612,0.8287270665168762,0.0812329575419426,
0.25,1572,linear_interp,0.8053054604311115,0.9862206101930773,0.027535876320815143,0.8438023694271102,
0.25,1572,pca50_from_visible,0.8409961462020874,0.980053186416626,0.9831957221031189,0.3730321526527405,
0.25,1572,nn_copy,0.9795648455619812,0.9762210845947266,0.9173225164413452,0.9702111482620239,7132.0
0.25,1769,corpus_mean,0.7440891265869141,0.6586565375328064,0.945589542388916,0.41506484150886536,
0.25,1769,linear_interp,0.6764941201708704,0.9896600948025961,0.06870484773903737,0.758690616545682,
0.25,1769,pca50_from_visible,0.9731605052947998,0.9949055314064026,0.9899685382843018,0.711027204990387,
0.25,1769,nn_copy,0.983056902885437,0.9614977240562439,0.9548753499984741,0.9626483917236328,915.0
0.25,1966,corpus_mean,0.8681392669677734,0.6383858323097229,0.6480497121810913,0.8066627979278564,
0.25,1966,linear_interp,0.7108215834824697,0.8324254216200424,0.2376233233107758,0.6550416932834943,
0.25,1966,pca50_from_visible,0.9492261409759521,0.9218813180923462,0.8955675959587097,0.8473779559135437,
0.25,1966,nn_copy,0.9664149880409241,0.9334146976470947,0.8968473076820374,0.9654287099838257,364.0
0.25,2162,corpus_mean,0.7762446403503418,0.7541383504867554,0.5362768769264221,0.7519627213478088,
0.25,2162,linear_interp,0.6659047211532143,0.7762885117847863,0.6360092084083895,0.5669053610116889,
0.25,2162,pca50_from_visible,0.9361491799354553,0.9437204003334045,0.8842262029647827,0.8541176319122314,
0.25,2162,nn_copy,0.9841410517692566,0.9838846921920776,0.9652336239814758,0.9837145805358887,424.0
0.25,2359,corpus_mean,0.9203717112541199,0.780558705329895,0.8932531476020813,0.8287742137908936,
0.25,2359,linear_interp,0.6583972611644069,0.9822803790928464,0.6856745570068858,0.4307553908633203,
0.25,2359,pca50_from_visible,0.9344548583030701,0.9812731742858887,0.9386265873908997,0.644963800907135,
0.25,2359,nn_copy,0.9856781959533691,0.9888185858726501,0.9760657548904419,0.9731164574623108,3663.0
0.25,2555,corpus_mean,0.8021454811096191,0.797879695892334,0.782649576663971,0.4880771040916443,
0.25,2555,linear_interp,0.6496057020306998,0.7958598170644043,0.6081583580232048,0.42870398937969506,
0.25,2555,pca50_from_visible,0.969291627407074,0.9760366082191467,0.9756971597671509,0.23964427411556244,
0.25,2555,nn_copy,1.0,1.0,1.0,1.0,0.0
0.25,2752,corpus_mean,0.7248483896255493,0.7346906065940857,0.21999935805797577,0.7807088494300842,
0.25,2752,linear_interp,0.5042736631273386,0.9792167835779936,-0.003055738298119562,0.347412016267941,
0.25,2752,pca50_from_visible,0.6656961441040039,0.9767673015594482,0.5332807302474976,0.2198101431131363,
0.25,2752,nn_copy,0.8630540370941162,0.9687020182609558,0.6552733182907104,0.9066571593284607,3474.0
0.25,2949,corpus_mean,0.7632862329483032,0.7198243141174316,0.8053420186042786,0.470516175031662,
0.25,2949,linear_interp,0.6375449241229763,0.6802691370360284,0.6458388894616491,0.36691851234500483,
0.25,2949,pca50_from_visible,0.9168437123298645,0.9265505075454712,0.8972002863883972,0.18520203232765198,
0.25,2949,nn_copy,0.977572500705719,0.9787383675575256,0.9658862948417664,0.9249525666236877,969.0
0.25,3145,corpus_mean,0.7829023599624634,0.7409955263137817,0.9033917784690857,0.5940453410148621,
0.25,3145,linear_interp,0.748077426155574,0.867697719288446,0.758082707683498,0.3695346116182396,
0.25,3145,pca50_from_visible,0.94700688123703,0.9627096652984619,0.9497774839401245,0.3921862840652466,
0.25,3145,nn_copy,0.9778130054473877,0.9816102981567383,0.9711781740188599,0.9504317045211792,1631.0
0.25,3342,corpus_mean,0.7842102646827698,0.7044519782066345,0.7909260988235474,0.8241559267044067,
0.25,3342,linear_interp,0.5138579227733535,0.8782388790056515,0.3408777840491605,0.5439934830557632,
0.25,3342,pca50_from_visible,0.9069980978965759,0.9691390991210938,0.9692029356956482,0.16958127915859222,
0.25,3342,nn_copy,0.8985347747802734,0.957413375377655,0.8752099871635437,0.9675449132919312,552.0
0.25,3539,corpus_mean,0.5773826837539673,0.665425181388855,0.4845593273639679,0.8816636204719543,
0.25,3539,linear_interp,0.4809623580014834,0.7986318832063901,0.489908685508503,0.3152976279710353,
0.25,3539,pca50_from_visible,0.8741297125816345,0.9669143557548523,0.8367421627044678,0.7690681219100952,
0.25,3539,nn_copy,0.9906245470046997,0.9604911804199219,0.9944316744804382,0.9809733629226685,1299.0
0.25,3735,corpus_mean,0.6249383687973022,0.6253679990768433,0.3179679811000824,0.629525899887085,
0.25,3735,linear_interp,0.1625321074376637,0.3624843236626515,-0.23825253488901896,0.594990409953566,
0.25,3735,pca50_from_visible,0.3681597411632538,0.4572330713272095,0.3149462342262268,0.24082189798355103,
0.25,3735,nn_copy,0.8532083630561829,0.859480619430542,0.7534117698669434,0.752918541431427,438.0
0.25,3932,corpus_mean,0.9011784195899963,0.8159503936767578,0.8489091396331787,0.790030837059021,
0.25,3932,linear_interp,0.6161486383436928,0.9939380581750115,-0.03164273637163574,0.8058280057233882,
0.25,3932,pca50_from_visible,0.9639231562614441,0.9883337616920471,0.9440881013870239,0.7560214400291443,
