row,shift_xcorr_current,shift_landmark,disagreement_pts
6,-7009,1207,8216
15,-2682,-422,2260
42,-2655,-473,2182
62,-4292,128,4420
63,-4292,128,4420
70,1676,1177,499
78,3010,-420,3430
109,-5532,270,5802
110,-5532,270,5802
113,2865,1164,1701
128,-2376,-113,2263
161,2891,1099,1792
162,-5503,304,5807
163,-5503,304,5807
220,-6977,299,7276
221,-6977,299,7276
233,-7011,135,7146
234,-7011,135,7146
244,-6987,300,7287
245,-6987,300,7287
251,-4939,297,5236
252,-4939,297,5236
290,-5500,301,5801
291,-5500,301,5801
311,-2663,1192,3855
370,1653,1230,423
380,-4300,112,4412
381,-4300,112,4412
406,-5545,260,5805
407,-5545,260,5805
413,-1484,1118,2602
414,1741,1196,545
435,-4329,92,4421
436,-4329,92,4421
443,-6996,108,7104
444,-6996,108,7104
562,-5501,307,5808
563,-5501,307,5808
567,-5500,139,5639
568,-5500,139,5639
579,-2520,-320,2200
617,-5497,141,5638
618,-5497,141,5638
792,272,-367,639
814,-4638,-258,4380
934,-5212,1311,6523
958,234,-446,680
1017,712,710,2
1076,709,706,3
1079,692,705,13
1115,713,709,4
1124,706,707,1
1182,703,705,2
1256,238,-416,654
1331,693,705,12
1342,712,709,3
1392,-7025,246,7271
1393,-7025,246,7271
1480,3260,705,2555
1555,3254,707,2547
1562,247,-444,691
1588,692,705,13
1600,713,707,6
1612,694,705,11
1670,704,705,1
1831,712,709,3
1850,3655,-26,3681
1990,3248,707,2541
2310,709,707,2
2425,709,706,3
2461,705,705,0
2487,706,704,2
2505,3260,706,2554
2670,715,711,4
2792,713,709,4
2986,717,712,5
3107,700,710,10
3111,717,712,5
3200,712,709,3
3257,3258,706,2552
3475,694,120,574
3774,717,714,3
3819,-3209,-84,3125
4073,688,705,17
4079,229,-407,636
4216,704,712,8
4256,718,713,5
4754,-4574,-222,4352
5028,716,711,5
5468,690,706,16
5562,712,708,4
5879,709,707,2
6102,712,712,0
6418,718,713,5
6645,705,704,1
