row,shift,method,peak_height_frac,peak_fwhm_pts,xcorr_lag,stretched_flag
0,1567,zero_peak,0.13519189067587806,136,2721,True
1,1537,zero_peak,0.18639182551245112,146,2898,True
2,1553,zero_peak,0.09980690962219053,146,2683,True
3,1503,zero_peak,0.07222590563576975,194,6992,True
4,1553,zero_peak,0.05422777737645707,121,3230,True
5,1499,zero_peak,0.08737961720224145,147,2775,False
6,-7009,xcorr_fallback,0.0,0,7009,True
7,1500,zero_peak,0.06627044978025899,142,3335,False
8,1507,zero_peak,0.04278382549900751,145,-2963,True
9,1500,zero_peak,0.03773082536866153,198,2710,False
10,1576,zero_peak,0.14352427290834635,138,2701,True
11,1497,zero_peak,0.05353193630311638,136,1453,False
12,1497,zero_peak,0.06345577655705219,136,3346,False
13,-13,zero_peak,0.4999843938449528,37,4324,False
14,-13,zero_peak,0.49998439384494975,37,4324,False
15,-2682,xcorr_fallback,0.0,0,2682,True
16,1295,zero_peak,0.28085584246796813,155,6977,False
17,1295,zero_peak,0.2808558424679663,155,6977,False
18,1587,zero_peak,0.1447813209487251,141,2651,True
19,1305,zero_peak,0.260254514635757,178,6976,False
20,1305,zero_peak,0.26025451463576443,178,6976,False
21,1480,zero_peak,0.04840687335123476,175,7010,False
22,1529,zero_peak,0.029948070589223892,158,2679,True
23,1543,zero_peak,0.04730452524278609,188,1457,True
24,1547,zero_peak,0.04360825118215854,179,3259,True
25,1572,zero_peak,0.14847911766850053,139,2706,True
26,1696,zero_peak,0.03430891904131393,83,7022,True
27,1521,zero_peak,0.0447917656381934,147,-2958,True
28,1481,zero_peak,0.044622882078500646,185,-2878,False
29,1495,zero_peak,0.061816167747509705,190,1470,False
30,1604,zero_peak,0.04412168582128894,188,6869,True
31,1475,zero_peak,0.04057497641714499,178,-2859,False
32,1515,zero_peak,0.04627258971924914,168,1447,True
33,1567,zero_peak,0.05565474531058239,177,4021,True
34,1265,zero_peak,0.17212470331902102,178,7015,False
35,1265,zero_peak,0.17212470331901913,178,7015,False
36,1495,zero_peak,0.033113281606039574,149,-2885,False
37,1548,zero_peak,0.06687034776198993,137,6730,True
38,770,zero_peak,0.5273830266689432,149,-757,False
39,-22,zero_peak,0.24157243416159735,38,7019,False
40,-22,zero_peak,0.2415724341616038,38,7019,False
41,1563,zero_peak,0.03897328919161474,142,4049,True
42,-2655,xcorr_fallback,0.0,0,2655,True
43,1311,zero_peak,0.2168288677709972,183,6981,False
44,1311,zero_peak,0.21682886777099622,183,6981,False
45,1555,zero_peak,0.052137567914902753,145,6928,True
46,1570,zero_peak,0.036307996309056005,127,-3019,True
47,1487,zero_peak,0.04622205255289827,138,6995,False
48,1555,zero_peak,0.039525977253009124,128,1381,True
49,1491,zero_peak,0.07729953624250396,171,6791,False
50,1505,zero_peak,0.04257916012994671,138,-2867,True
51,1309,zero_peak,0.1878458327353882,180,6979,False
52,1309,zero_peak,0.1878458327353929,180,6979,False
53,1480,zero_peak,0.053554524352665125,181,6518,False
54,1555,zero_peak,0.03896544930553681,134,-2959,True
55,1309,zero_peak,0.23065111739340086,157,6977,False
56,1309,zero_peak,0.230651117393401,157,6977,False
57,1524,zero_peak,0.03149409934272665,169,-2865,True
58,212,zero_peak,0.029977198627014423,39,-2872,False
59,739,zero_peak,0.42021205543715506,125,-757,False
60,748,zero_peak,0.6027595386070647,127,-752,False
61,733,zero_peak,0.4858189601487456,127,-755,False
62,-4292,xcorr_fallback,0.0,0,4292,True
63,-4292,xcorr_fallback,0.0,0,4292,True
64,1541,zero_peak,0.03496337728097988,154,-2935,True
65,1498,zero_peak,0.041223155650543575,158,4106,False
66,1631,zero_peak,0.023388410754035107,180,1366,True
67,1487,zero_peak,0.024899119099338948,184,-2870,False
68,1519,zero_peak,0.02397274485623175,123,-2967,True
69,1544,zero_peak,0.03458662456108914,169,-2933,True
70,1676,xcorr_fallback,0.0,0,-1676,True
71,1489,zero_peak,0.05072575911735211,155,-2875,False
72,1533,zero_peak,0.03077703197386093,180,-2936,True
73,1551,zero_peak,0.03299890045756065,179,-2957,True
74,1539,zero_peak,0.04872794932828147,131,1377,True
75,157,zero_peak,0.925495476599621,40,-2855,False
76,771,zero_peak,0.5854387954421928,135,-757,False
77,747,zero_peak,0.648259894243068,113,-757,False
78,3010,xcorr_fallback,0.0,0,-3010,True
79,1473,zero_peak,0.04554901046163824,144,-2855,False
80,1534,zero_peak,0.04139095517510343,122,-2929,True
81,1310,zero_peak,0.26660978426147647,153,6981,False
82,1310,zero_peak,0.26660978426147636,153,6981,False
83,1494,zero_peak,0.03958077607592807,135,-2879,False
84,734,zero_peak,0.57732450261558,134,-771,False
85,1551,zero_peak,0.033347698601727885,124,-2944,True
86,1229,zero_peak,0.16097232557406024,174,7033,False
87,1229,zero_peak,0.1609723255740603,174,7033,False
88,1763,zero_peak,0.028661224067468922,61,6930,True
89,1297,zero_peak,0.2318868233621015,160,6980,False
90,1297,zero_peak,0.23188682336210129,160,6980,False
91,693,zero_peak,0.35119512454804613,128,-756,False
92,1499,zero_peak,0.04081937696470202,157,-2885,False
93,1469,zero_peak,0.044774617623661604,183,-2870,False
94,1553,zero_peak,0.04426586887749362,137,-2943,True
95,1531,zero_peak,0.047529975881485755,180,3283,True
96,683,zero_peak,0.48649368880665456,126,-759,False
97,1477,zero_peak,0.02289991702851685,190,-2872,False
98,1482,zero_peak,0.04850967110462861,182,-2880,False
99,1301,zero_peak,0.16093327778824149,185,6973,False
100,1301,zero_peak,0.16093327778824149,185,6973,False
101,1558,zero_peak,0.03867083930501706,133,1366,True
102,1510,zero_peak,0.04061970901588145,158,-2871,True
103,730,zero_peak,0.482788566507779,125,-759,False
