row,shift,xcorr_peak,method
0,-54,0.48059643218298176,xcorr_to_corpus_median(-lag)
1,-107,0.5378708436134731,xcorr_to_corpus_median(-lag)
2,-175,0.4488692644866154,xcorr_to_corpus_median(-lag)
3,-199,0.4601281817471094,xcorr_to_corpus_median(-lag)
4,-124,0.4608536143311345,xcorr_to_corpus_median(-lag)
5,-31,0.4465572725747919,xcorr_to_corpus_median(-lag)
6,-10,0.4639714826161696,xcorr_to_corpus_median(-lag)
7,-139,0.42563105953635444,xcorr_to_corpus_median(-lag)
8,3459,0.39825258669795305,xcorr_to_corpus_median(-lag)
9,-142,0.4024795658559496,xcorr_to_corpus_median(-lag)
10,3450,0.4085230903938122,xcorr_to_corpus_median(-lag)
11,69,0.3974341299016992,xcorr_to_corpus_median(-lag)
12,3601,0.44504284611304484,xcorr_to_corpus_median(-lag)
13,3522,0.40010727590833883,xcorr_to_corpus_median(-lag)
14,4,0.4712007104796943,xcorr_to_corpus_median(-lag)
15,56,0.4343683615102486,xcorr_to_corpus_median(-lag)
16,-123,0.4266168207587432,xcorr_to_corpus_median(-lag)
17,3696,0.48428887431053547,xcorr_to_corpus_median(-lag)
18,189,0.4078153680988693,xcorr_to_corpus_median(-lag)
19,58,0.4688536736745854,xcorr_to_corpus_median(-lag)
20,-22,0.5496807048205472,xcorr_to_corpus_median(-lag)
21,-31,0.4469783647716311,xcorr_to_corpus_median(-lag)
22,-27,0.519640661247945,xcorr_to_corpus_median(-lag)
23,-27,0.43726611404733284,xcorr_to_corpus_median(-lag)
24,-10,0.40555416336889827,xcorr_to_corpus_median(-lag)
25,2787,0.547103141039123,xcorr_to_corpus_median(-lag)
26,3246,0.4298231045356012,xcorr_to_corpus_median(-lag)
27,-3,0.44618476390227146,xcorr_to_corpus_median(-lag)
28,42,0.6027749480168445,xcorr_to_corpus_median(-lag)
29,3,0.5509554395051284,xcorr_to_corpus_median(-lag)
30,2,0.6037431911550727,xcorr_to_corpus_median(-lag)
31,13,0.4567352009460586,xcorr_to_corpus_median(-lag)
32,12,0.6152299793664515,xcorr_to_corpus_median(-lag)
33,12,0.6160004979320827,xcorr_to_corpus_median(-lag)
34,15,0.6012690323193041,xcorr_to_corpus_median(-lag)
35,25,0.57795917302141,xcorr_to_corpus_median(-lag)
36,15,0.5745853734172219,xcorr_to_corpus_median(-lag)
37,26,0.5172471711416593,xcorr_to_corpus_median(-lag)
38,-3,0.533703582776559,xcorr_to_corpus_median(-lag)
39,3,0.5268399861201084,xcorr_to_corpus_median(-lag)
40,-8,0.5389804104202787,xcorr_to_corpus_median(-lag)
41,3,0.5268399861201084,xcorr_to_corpus_median(-lag)
