row,shift,xcorr_peak,method
0,-542,0.39800927366588923,xcorr_to_corpus_median(-lag)
1,3921,0.0926571128233484,xcorr_to_corpus_median(-lag)
2,869,0.47189132878071743,xcorr_to_corpus_median(-lag)
3,-493,0.3622531138454085,xcorr_to_corpus_median(-lag)
4,-298,0.40056892583442727,xcorr_to_corpus_median(-lag)
5,2661,0.3567808391722178,xcorr_to_corpus_median(-lag)
6,-541,0.3982033997560386,xcorr_to_corpus_median(-lag)
7,2663,0.35921459378632836,xcorr_to_corpus_median(-lag)
8,-556,0.43414598827988826,xcorr_to_corpus_median(-lag)
9,-529,0.4205606303641741,xcorr_to_corpus_median(-lag)
10,3510,0.2353269761894538,xcorr_to_corpus_median(-lag)
11,-441,0.34968834549389094,xcorr_to_corpus_median(-lag)
12,-549,0.37176857257739615,xcorr_to_corpus_median(-lag)
13,3549,0.17520527112310702,xcorr_to_corpus_median(-lag)
14,3504,0.1667015057227207,xcorr_to_corpus_median(-lag)
15,885,0.37450447427475303,xcorr_to_corpus_median(-lag)
16,-538,0.4259063343676368,xcorr_to_corpus_median(-lag)
17,3510,0.16452082916662553,xcorr_to_corpus_median(-lag)
18,-562,0.3650962878042378,xcorr_to_corpus_median(-lag)
19,880,0.3847897892358481,xcorr_to_corpus_median(-lag)
20,-564,0.3551904584764442,xcorr_to_corpus_median(-lag)
21,-551,0.4307558247722602,xcorr_to_corpus_median(-lag)
22,-537,0.4294503303467698,xcorr_to_corpus_median(-lag)
23,2656,0.42592467431054143,xcorr_to_corpus_median(-lag)
24,-441,0.34997701409482457,xcorr_to_corpus_median(-lag)
25,-528,0.24975421390834038,xcorr_to_corpus_median(-lag)
26,-538,0.4038723241097669,xcorr_to_corpus_median(-lag)
27,1875,0.4225244482441171,xcorr_to_corpus_median(-lag)
28,892,0.40992727885658065,xcorr_to_corpus_median(-lag)
29,2656,0.42320986382445447,xcorr_to_corpus_median(-lag)
30,-549,0.4372093924566185,xcorr_to_corpus_median(-lag)
31,1879,0.44388865182766285,xcorr_to_corpus_median(-lag)
32,-530,0.42127084518295194,xcorr_to_corpus_median(-lag)
33,2656,0.3580696290235402,xcorr_to_corpus_median(-lag)
34,-559,0.36668816081802547,xcorr_to_corpus_median(-lag)
35,937,0.4192602846207285,xcorr_to_corpus_median(-lag)
36,2660,0.36462817311923656,xcorr_to_corpus_median(-lag)
37,2662,0.39907505385017217,xcorr_to_corpus_median(-lag)
38,313,0.35824281144989634,xcorr_to_corpus_median(-lag)
39,-551,0.4564195085212851,xcorr_to_corpus_median(-lag)
40,-514,0.3910588403471824,xcorr_to_corpus_median(-lag)
41,-556,0.3687001390993307,xcorr_to_corpus_median(-lag)
42,-556,0.3832694872246353,xcorr_to_corpus_median(-lag)
43,2670,0.38066302355523973,xcorr_to_corpus_median(-lag)
44,-538,0.3953317382184828,xcorr_to_corpus_median(-lag)
45,-558,0.44483794828331236,xcorr_to_corpus_median(-lag)
46,1897,0.3154720217617333,xcorr_to_corpus_median(-lag)
47,-539,0.46659268744241533,xcorr_to_corpus_median(-lag)
48,941,0.5062443140508364,xcorr_to_corpus_median(-lag)
49,3913,0.12566918817286615,xcorr_to_corpus_median(-lag)
50,3913,0.13146675848507305,xcorr_to_corpus_median(-lag)
51,-540,0.4845148988081006,xcorr_to_corpus_median(-lag)
52,-538,0.3965751959889242,xcorr_to_corpus_median(-lag)
53,2670,0.38285016940509964,xcorr_to_corpus_median(-lag)
54,-552,0.4403530047967176,xcorr_to_corpus_median(-lag)
55,-515,0.38607588581228525,xcorr_to_corpus_median(-lag)
56,-549,0.449069623068117,xcorr_to_corpus_median(-lag)
57,3913,0.13075125709010127,xcorr_to_corpus_median(-lag)
58,2658,0.427037692675845,xcorr_to_corpus_median(-lag)
59,-538,0.3836351333699659,xcorr_to_corpus_median(-lag)
60,-549,0.44629157640790024,xcorr_to_corpus_median(-lag)
61,-531,0.41724546578325183,xcorr_to_corpus_median(-lag)
62,3916,0.10757806094845615,xcorr_to_corpus_median(-lag)
63,-499,0.3847532453818164,xcorr_to_corpus_median(-lag)
64,889,0.3934803923632767,xcorr_to_corpus_median(-lag)
65,2658,0.42987122451466525,xcorr_to_corpus_median(-lag)
66,3926,0.11578733397590729,xcorr_to_corpus_median(-lag)
67,-552,0.4162110675701125,xcorr_to_corpus_median(-lag)
68,-552,0.4383526591489896,xcorr_to_corpus_median(-lag)
69,-356,0.3867980605972732,xcorr_to_corpus_median(-lag)
70,-554,0.4158581596663631,xcorr_to_corpus_median(-lag)
71,-550,0.4474483862929648,xcorr_to_corpus_median(-lag)
72,-475,0.37120752596703566,xcorr_to_corpus_median(-lag)
73,2733,0.43518304732857216,xcorr_to_corpus_median(-lag)
74,3528,0.1772964971054748,xcorr_to_corpus_median(-lag)
75,-530,0.41783274098399836,xcorr_to_corpus_median(-lag)
76,-539,0.4103763485615759,xcorr_to_corpus_median(-lag)
77,-521,0.4222344960824629,xcorr_to_corpus_median(-lag)
78,902,0.3715187929549647,xcorr_to_corpus_median(-lag)
79,-538,0.4065914092748165,xcorr_to_corpus_median(-lag)
80,-1050,0.3410163089821989,xcorr_to_corpus_median(-lag)
81,-533,0.398016090427428,xcorr_to_corpus_median(-lag)
82,3495,0.20126547100692296,xcorr_to_corpus_median(-lag)
83,2658,0.4114435099315491,xcorr_to_corpus_median(-lag)
84,-1044,0.3480801574253736,xcorr_to_corpus_median(-lag)
85,-518,0.4189919343516234,xcorr_to_corpus_median(-lag)
86,-556,0.42114251719453966,xcorr_to_corpus_median(-lag)
87,-547,0.4153229400512636,xcorr_to_corpus_median(-lag)
88,4000,0.14168257835983583,xcorr_to_corpus_median(-lag)
89,3505,0.18429748939012452,xcorr_to_corpus_median(-lag)
90,-549,0.4027974879376259,xcorr_to_corpus_median(-lag)
91,-545,0.42319339488422736,xcorr_to_corpus_median(-lag)
92,-551,0.42188185516314936,xcorr_to_corpus_median(-lag)
93,-559,0.38956860993220144,xcorr_to_corpus_median(-lag)
94,3518,0.22128157600702417,xcorr_to_corpus_median(-lag)
95,-551,0.4106774994941469,xcorr_to_corpus_median(-lag)
96,-560,0.42804959380954555,xcorr_to_corpus_median(-lag)
97,-551,0.4165438531381378,xcorr_to_corpus_median(-lag)
98,2658,0.40863591564239365,xcorr_to_corpus_median(-lag)
99,162,0.3647183431118789,xcorr_to_corpus_median(-lag)
100,-502,0.2977862779922392,xcorr_to_corpus_median(-lag)
101,-546,0.4163869367886289,xcorr_to_corpus_median(-lag)
102,3474,0.20918946908998848,xcorr_to_corpus_median(-lag)
103,-559,0.410684260108711,xcorr_to_corpus_median(-lag)
104,-533,0.4129741757148718,xcorr_to_corpus_median(-lag)
105,-531,0.4041106649187511,xcorr_to_corpus_median(-lag)
106,162,0.36929826998532356,xcorr_to_corpus_median(-lag)
107,-498,0.3614370557975693,xcorr_to_corpus_median(-lag)
108,-952,0.3495971201415937,xcorr_to_corpus_median(-lag)
109,-560,0.4076830096737654,xcorr_to_corpus_median(-lag)
110,-559,0.37977140798196196,xcorr_to_corpus_median(-lag)
111,3505,0.15809911442771,xcorr_to_corpus_median(-lag)
112,-555,0.4290995726273459,xcorr_to_corpus_median(-lag)
113,-560,0.39608536208802897,xcorr_to_corpus_median(-lag)
114,-547,0.4150758182508955,xcorr_to_corpus_median(-lag)
115,3512,0.16032522653229087,xcorr_to_corpus_median(-lag)
116,2647,0.3936654548111018,xcorr_to_corpus_median(-lag)
117,-554,0.4283986372443404,xcorr_to_corpus_median(-lag)
118,-560,0.382062868702158,xcorr_to_corpus_median(-lag)
119,159,0.3565618766334733,xcorr_to_corpus_median(-lag)
120,-551,0.43732166158433405,xcorr_to_corpus_median(-lag)
121,-552,0.41117173179551825,xcorr_to_corpus_median(-lag)
122,-535,0.3469364138047947,xcorr_to_corpus_median(-lag)
123,-539,0.39868082562406115,xcorr_to_corpus_median(-lag)
124,-551,0.4104115707006395,xcorr_to_corpus_median(-lag)
125,3523,0.22766541416076191,xcorr_to_corpus_median(-lag)
126,158,0.35318846406786975,xcorr_to_corpus_median(-lag)
127,1892,0.26699505824903447,xcorr_to_corpus_median(-lag)
128,-533,0.4034137324135905,xcorr_to_corpus_median(-lag)
129,-501,0.37881678058145224,xcorr_to_corpus_median(-lag)
130,-536,0.3451999225781473,xcorr_to_corpus_median(-lag)
131,894,0.4079895110891978,xcorr_to_corpus_median(-lag)
132,-560,0.3540633410622567,xcorr_to_corpus_median(-lag)
133,-549,0.4292205150078312,xcorr_to_corpus_median(-lag)
134,-358,0.37912712170881374,xcorr_to_corpus_median(-lag)
135,-542,0.42799415845095273,xcorr_to_corpus_median(-lag)
136,-572,0.39042353836988053,xcorr_to_corpus_median(-lag)
137,3550,0.18027741437013156,xcorr_to_corpus_median(-lag)
138,2648,0.4298484747204274,xcorr_to_corpus_median(-lag)
139,-569,0.40707493485871626,xcorr_to_corpus_median(-lag)
140,-543,0.42982626801322177,xcorr_to_corpus_median(-lag)
141,-563,0.3685542298098743,xcorr_to_corpus_median(-lag)
142,183,0.36639824055159476,xcorr_to_corpus_median(-lag)
143,-546,0.36878931219958566,xcorr_to_corpus_median(-lag)
144,3473,0.21413621399734678,xcorr_to_corpus_median(-lag)
145,183,0.3652527404849156,xcorr_to_corpus_median(-lag)
146,-498,0.3661462926938269,xcorr_to_corpus_median(-lag)
147,-540,0.3989458240562054,xcorr_to_corpus_median(-lag)
148,3529,0.20657119241722566,xcorr_to_corpus_median(-lag)
149,2649,0.4307162071970194,xcorr_to_corpus_median(-lag)
150,-552,0.44345008703361793,xcorr_to_corpus_median(-lag)
151,-557,0.4289276358565579,xcorr_to_corpus_median(-lag)
152,3506,0.15973329223889227,xcorr_to_corpus_median(-lag)
153,-548,0.46115256428270734,xcorr_to_corpus_median(-lag)
154,872,0.4879311884163673,xcorr_to_corpus_median(-lag)
155,3511,0.21504247161167922,xcorr_to_corpus_median(-lag)
156,-358,0.3733839586469662,xcorr_to_corpus_median(-lag)
157,-535,0.4060596614332112,xcorr_to_corpus_median(-lag)
158,-541,0.4015916944469089,xcorr_to_corpus_median(-lag)
159,-527,0.42147263308974925,xcorr_to_corpus_median(-lag)
160,-539,0.3771343560046293,xcorr_to_corpus_median(-lag)
161,-536,0.4058344726185299,xcorr_to_corpus_median(-lag)
162,-527,0.423673325128379,xcorr_to_corpus_median(-lag)
163,942,0.5032592578701316,xcorr_to_corpus_median(-lag)
164,3914,0.12813871785087141,xcorr_to_corpus_median(-lag)
165,-554,0.4433479961154155,xcorr_to_corpus_median(-lag)
166,-521,0.3116058511405596,xcorr_to_corpus_median(-lag)
167,-558,0.42968408833219185,xcorr_to_corpus_median(-lag)
168,-557,0.43014068936290323,xcorr_to_corpus_median(-lag)
169,-554,0.4008435868658298,xcorr_to_corpus_median(-lag)
170,2662,0.398319171390664,xcorr_to_corpus_median(-lag)
171,1923,0.3943583005531655,xcorr_to_corpus_median(-lag)
172,-556,0.3781613989831335,xcorr_to_corpus_median(-lag)
173,3527,0.17838120537747415,xcorr_to_corpus_median(-lag)
174,937,0.4172920507311395,xcorr_to_corpus_median(-lag)
175,-475,0.37165934829832775,xcorr_to_corpus_median(-lag)
176,320,0.38585117378419365,xcorr_to_corpus_median(-lag)
177,-552,0.4513264074458383,xcorr_to_corpus_median(-lag)
178,2655,0.360545164697604,xcorr_to_corpus_median(-lag)
179,3926,0.1150207764207458,xcorr_to_corpus_median(-lag)
180,-546,0.37238391716823516,xcorr_to_corpus_median(-lag)
181,-536,0.42328363078169307,xcorr_to_corpus_median(-lag)
182,-549,0.4338772158365175,xcorr_to_corpus_median(-lag)
183,891,0.3893576293118159,xcorr_to_corpus_median(-lag)
184,-548,0.43976135030917324,xcorr_to_corpus_median(-lag)
185,3939,0.1039280682204212,xcorr_to_corpus_median(-lag)
186,-536,0.42368285444284715,xcorr_to_corpus_median(-lag)
187,3938,0.10941145605932574,xcorr_to_corpus_median(-lag)
188,3915,0.1127446881083019,xcorr_to_corpus_median(-lag)
189,-546,0.3803577480634104,xcorr_to_corpus_median(-lag)
190,-523,0.42168098833809775,xcorr_to_corpus_median(-lag)
191,1858,0.3641874296919702,xcorr_to_corpus_median(-lag)
192,-555,0.4485738665818044,xcorr_to_corpus_median(-lag)
193,-523,0.421270452676729,xcorr_to_corpus_median(-lag)
194,2641,0.4254709597798152,xcorr_to_corpus_median(-lag)
195,3507,0.23169755301756173,xcorr_to_corpus_median(-lag)
196,3513,0.15723211854787572,xcorr_to_corpus_median(-lag)
197,2647,0.3938307703739837,xcorr_to_corpus_median(-lag)
198,-298,0.40039876985902945,xcorr_to_corpus_median(-lag)
