row,block,study,lag
0,0,unassigned,2721
1,1,unassigned,2898
2,0,unassigned,2683
3,2,unassigned,6992
4,3,unassigned,3230
5,0,unassigned,2775
6,2,unassigned,7009
7,4,unassigned,3335
8,5,unassigned,-2963
9,6,unassigned,2710
10,0,unassigned,2701
11,7,unassigned,1453
12,4,unassigned,3346
13,8,unassigned,4324
14,8,unassigned,4324
15,9,unassigned,2682
16,10,unassigned,6977
17,10,unassigned,6977
18,0,unassigned,2651
19,10,unassigned,6976
20,10,unassigned,6976
21,2,unassigned,7010
22,6,unassigned,2679
23,7,unassigned,1457
24,4,unassigned,3259
25,0,unassigned,2706
26,2,unassigned,7022
27,5,unassigned,-2958
28,11,unassigned,-2878
29,7,unassigned,1470
30,2,unassigned,6869
31,11,unassigned,-2859
32,7,unassigned,1447
33,8,unassigned,4021
34,10,unassigned,7015
35,10,unassigned,7015
36,11,unassigned,-2885
37,10,unassigned,6730
38,12,AMBIGUOUS: MTBLS147,-757
39,10,unassigned,7019
40,10,unassigned,7019
41,8,unassigned,4049
42,0,unassigned,2655
43,10,unassigned,6981
44,10,unassigned,6981
45,2,unassigned,6928
46,5,unassigned,-3019
47,2,unassigned,6995
48,7,unassigned,1381
49,10,unassigned,6791
50,11,unassigned,-2867
51,10,unassigned,6979
52,10,unassigned,6979
53,13,unassigned,6518
54,11,unassigned,-2959
55,10,unassigned,6977
56,10,unassigned,6977
57,11,unassigned,-2865
58,11,unassigned,-2872
59,12,AMBIGUOUS: MTBLS147,-757
60,12,AMBIGUOUS: MTBLS147,-752
61,12,AMBIGUOUS: MTBLS147,-755
62,8,unassigned,4292
63,8,unassigned,4292
64,11,unassigned,-2935
65,8,unassigned,4106
66,7,unassigned,1366
67,11,unassigned,-2870
68,5,unassigned,-2967
69,11,unassigned,-2933
70,14,unassigned,-1676
71,11,unassigned,-2875
72,11,unassigned,-2936
73,11,unassigned,-2957
74,7,unassigned,1377
75,15,unassigned,-2855
76,12,AMBIGUOUS: MTBLS147,-757
77,12,AMBIGUOUS: MTBLS147,-757
78,5,unassigned,-3010
79,11,unassigned,-2855
80,11,unassigned,-2929
81,10,unassigned,6981
82,10,unassigned,6981
83,11,unassigned,-2879
84,12,AMBIGUOUS: MTBLS147,-771
85,11,unassigned,-2944
86,10,unassigned,7033
87,10,unassigned,7033
88,2,unassigned,6930
89,10,unassigned,6980
90,10,unassigned,6980
91,12,AMBIGUOUS: MTBLS147,-756
92,11,unassigned,-2885
93,11,unassigned,-2870
94,11,unassigned,-2943
95,4,unassigned,3283
96,12,AMBIGUOUS: MTBLS147,-759
97,11,unassigned,-2872
98,11,unassigned,-2880
99,10,unassigned,6973
100,10,unassigned,6973
101,7,unassigned,1366
102,11,unassigned,-2871
103,12,AMBIGUOUS: MTBLS147,-759
104,12,AMBIGUOUS: MTBLS147,-762
105,12,AMBIGUOUS: MTBLS147,-759
106,11,unassigned,-2952
107,11,unassigned,-2867
108,12,AMBIGUOUS: MTBLS147,-756
109,16,unassigned,5532
110,16,unassigned,5532
111,11,unassigned,-2860
112,7,unassigned,1389
113,11,unassigned,-2865
114,8,unassigned,4282
115,8,unassigned,4282
116,12,AMBIGUOUS: MTBLS147,-754
117,11,unassigned,-2878
118,12,AMBIGUOUS: MTBLS147,-750
119,10,unassigned,7082
120,10,unassigned,7082
121,11,unassigned,-2871
122,0,unassigned,2748
123,8,unassigned,4307
124,8,unassigned,4307
125,12,AMBIGUOUS: MTBLS147,-748
126,11,unassigned,-2887
127,7,unassigned,1449
128,17,unassigned,2376
129,10,unassigned,6784
130,11,unassigned,-2944
131,12,AMBIGUOUS: MTBLS147,-758
132,10,unassigned,7007
133,10,unassigned,7007
134,11,unassigned,-2877
135,12,AMBIGUOUS: MTBLS147,-769
136,7,unassigned,1354
137,10,unassigned,6972
138,10,unassigned,6972
139,11,unassigned,-2870
140,12,AMBIGUOUS: MTBLS147,-755
141,10,unassigned,6981
142,10,unassigned,6981
143,10,unassigned,6970
144,10,unassigned,6970
145,2,unassigned,6915
146,11,unassigned,-2870
147,7,unassigned,1451
148,2,unassigned,6932
149,12,AMBIGUOUS: MTBLS147,-753
150,10,unassigned,6971
151,10,unassigned,6971
152,11,unassigned,-2858
153,8,unassigned,4304
154,8,unassigned,4304
155,10,unassigned,6782
156,12,AMBIGUOUS: MTBLS147,-760
157,7,unassigned,1453
158,11,unassigned,-2879
159,11,unassigned,-2874
160,12,AMBIGUOUS: MTBLS147,-754
161,18,unassigned,-2891
162,16,unassigned,5503
163,16,unassigned,5503
164,11,unassigned,-2862
165,19,unassigned,6769
166,8,unassigned,4343
167,8,unassigned,4343
168,11,unassigned,-2950
169,11,unassigned,-2880
170,11,unassigned,-2872
171,11,unassigned,-2872
172,0,unassigned,2697
173,7,unassigned,1458
174,2,unassigned,6897
175,10,unassigned,7043
176,10,unassigned,7043
177,11,unassigned,-2925
178,12,AMBIGUOUS: MTBLS147,-756
179,8,unassigned,4288
180,8,unassigned,4288
181,10,unassigned,6973
182,10,unassigned,6973
183,12,AMBIGUOUS: MTBLS147,-760
184,7,unassigned,1458
185,11,unassigned,-2873
186,11,unassigned,-2958
187,11,unassigned,-2949
188,10,unassigned,7020
189,10,unassigned,7020
190,11,unassigned,-2862
191,4,unassigned,3340
192,3,unassigned,3310
193,20,unassigned,2937
194,21,unassigned,1402
195,12,AMBIGUOUS: MTBLS147,-757
196,11,unassigned,-2874
197,10,unassigned,6995
198,10,unassigned,6995
199,7,unassigned,1458
200,7,unassigned,1449
201,11,unassigned,-2943
202,11,unassigned,-2863
203,12,AMBIGUOUS: MTBLS147,-756
204,12,AMBIGUOUS: MTBLS147,-758
205,11,unassigned,-2860
206,10,unassigned,6796
207,10,unassigned,6982
208,10,unassigned,6982
209,12,AMBIGUOUS: MTBLS147,-756
210,11,unassigned,-2878
211,16,unassigned,5534
212,16,unassigned,5534
213,11,unassigned,-2871
214,11,unassigned,-2949
215,22,unassigned,7538
216,12,AMBIGUOUS: MTBLS147,-757
217,7,unassigned,1458
218,7,unassigned,1464
219,7,unassigned,1452
220,10,unassigned,6977
221,10,unassigned,6977
222,11,unassigned,-2948
223,11,unassigned,-2870
224,4,unassigned,3340
225,11,unassigned,-2870
