dataset,family,model,balanced_accuracy_pretrained,balanced_accuracy_xavier,delta_balanced_accuracy,accuracy_pretrained,accuracy_xavier
Barth,jigsaw,jigsaw_multibin_frozen,0.6630434782608696,0.6630434782608696,0.0,0.7027027027027027,0.7027027027027027
Barth,jigsaw,jigsaw_multibin_unfreeze_last_1,0.6630434782608696,0.734472049689441,0.0714285714285714,0.7027027027027027,0.7567567567567568
Barth,jigsaw,jigsaw_multibin_unfreeze_last_2,0.6413043478260869,0.7701863354037267,0.1288819875776398,0.6756756756756757,0.7837837837837838
Barth,jigsaw,jigsaw_multibin_unfreeze_last_3,0.734472049689441,0.5698757763975155,-0.1645962732919255,0.7567567567567568,0.6216216216216216
Barth,joint_ssl,joint_ssl_metabolights_frozen,0.7065217391304348,0.7204968944099379,0.013975155279503104,0.7567567567567568,0.7567567567567568
Barth,joint_ssl,joint_ssl_metabolights_unfreeze_last_1,0.7422360248447204,0.6847826086956521,-0.05745341614906829,0.7837837837837838,0.7297297297297297
Barth,joint_ssl,joint_ssl_metabolights_unfreeze_last_2,0.6987577639751552,0.8136645962732919,0.1149068322981367,0.7297297297297297,0.8378378378378378
Barth,joint_ssl,joint_ssl_metabolights_unfreeze_last_3,0.6847826086956521,0.8136645962732919,0.1288819875776398,0.7297297297297297,0.8378378378378378
Barth,masking,mask_metabolights_frozen,0.5263975155279503,0.5263975155279503,0.0,0.5675675675675675,0.5675675675675675
Barth,masking,mask_metabolights_unfreeze_last_1,0.5263975155279503,0.5760869565217391,0.0496894409937888,0.5675675675675675,0.5945945945945946
Barth,masking,mask_metabolights_unfreeze_last_2,0.5046583850931677,0.5403726708074534,0.0357142857142857,0.5405405405405406,0.5675675675675675
Barth,masking,mask_metabolights_unfreeze_last_3,0.468944099378882,0.5046583850931677,0.035714285714285754,0.5135135135135135,0.5405405405405406
MTBLS326 (jigsaw),jigsaw,jigsaw_multibin_frozen,0.8925925925925926,0.8925925925925926,0.0,0.8809523809523809,0.8809523809523809
MTBLS326 (jigsaw),jigsaw,jigsaw_multibin_unfreeze_last_1,0.8592592592592593,0.8592592592592593,0.0,0.8571428571428571,0.8571428571428571
MTBLS326 (jigsaw),jigsaw,jigsaw_multibin_unfreeze_last_2,0.8925925925925926,0.8592592592592593,-0.033333333333333326,0.8809523809523809,0.8571428571428571
MTBLS326 (jigsaw),jigsaw,jigsaw_multibin_unfreeze_last_3,0.8592592592592593,0.8074074074074074,-0.05185185185185193,0.8571428571428571,0.8095238095238095
MTBLS326 (joint_ssl),joint_ssl,frozen,0.8111111111111111,0.8444444444444444,0.033333333333333326,0.8333333333333334,0.8571428571428571
MTBLS326 (joint_ssl),joint_ssl,unfreeze_last_1,0.8111111111111111,0.8962962962962964,0.08518518518518525,0.8333333333333334,0.9047619047619048
MTBLS326 (joint_ssl),joint_ssl,unfreeze_last_2,0.8777777777777778,0.8925925925925926,0.014814814814814836,0.8809523809523809,0.8809523809523809
MTBLS326 (joint_ssl),joint_ssl,unfreeze_last_3,0.9444444444444444,0.9444444444444444,0.0,0.9285714285714286,0.9285714285714286
MTBLS326 (masking),classical,logistic_regression,1.0,1.0,0.0,1.0,1.0
MTBLS326 (masking),classical,svm_rbf,0.8,0.8,0.0,0.8571428571428571,0.8571428571428571
MTBLS326 (masking),classical,xgboost,0.9444444444444444,0.9444444444444444,0.0,0.9285714285714286,0.9285714285714286
MTBLS326 (masking),foundation,frozen,0.762962962962963,0.762962962962963,0.0,0.8095238095238095,0.8095238095238095
MTBLS326 (masking),foundation,unfreeze_last_1,0.8962962962962964,0.8296296296296296,-0.06666666666666676,0.9047619047619048,0.8571428571428571
MTBLS326 (masking),foundation,unfreeze_last_2,0.9296296296296296,0.7333333333333334,-0.1962962962962962,0.9285714285714286,0.8095238095238095
MTBLS326 (masking),foundation,unfreeze_last_3,0.9481481481481482,0.6481481481481481,-0.30000000000000004,0.9523809523809524,0.7380952380952381
MTBLS563,masking,frozen,0.5008419000354484,0.5083894600023632,0.0075475599669148075,0.6017699115044248,0.5752212389380531
MTBLS563,masking,unfreeze_last_1,0.5393034384969869,0.5351825593761077,-0.004120879120879217,0.6283185840707964,0.6017699115044248
MTBLS563,masking,unfreeze_last_2,0.5381513647642681,0.5411349403284887,0.0029835755642206863,0.6194690265486725,0.6106194690265486
MTBLS563,masking,unfreeze_last_3,0.565609122060735,0.5091131986293277,-0.0564959234314073,0.6460176991150443,0.6017699115044248
MTBLS563,jigsaw,frozen,0.4962336051045729,0.505834219543897,0.009600614439324084,0.5663716814159292,0.5663716814159292
MTBLS563,jigsaw,unfreeze_last_1,0.5079020441923667,0.5264386151482926,0.01853657095592587,0.5663716814159292,0.5663716814159292
MTBLS563,jigsaw,unfreeze_last_2,0.5031017369727048,0.5001329315845445,-0.002968805388160245,0.5663716814159292,0.5486725663716814
MTBLS563,jigsaw,unfreeze_last_3,0.5401601087084957,0.4763086375989602,-0.06385147110953554,0.5929203539823009,0.5398230088495575
MTBLS563,joint_ssl,frozen,0.533114734727638,0.5200578990901571,-0.013056835637480946,0.6017699115044248,0.5752212389380531
MTBLS563,joint_ssl,unfreeze_last_1,0.5379150419473001,0.4806953798889282,-0.05721966205837192,0.6017699115044248,0.5309734513274337
MTBLS563,joint_ssl,unfreeze_last_2,0.4884644924967505,0.434213635826539,-0.05425085667021151,0.5486725663716814,0.495575221238938
MTBLS563,joint_ssl,unfreeze_last_3,0.4628234668557249,0.4138603332151719,-0.04896313364055299,0.5309734513274337,0.4867256637168141
