model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,1,0.7111111111111111,0.8571428571428571,0.5217391304347826,0.6486486486486487,0.7865612648221344,0.8456035716030254
LogisticRegression,2,0.7333333333333333,0.8571428571428571,0.5454545454545454,0.6666666666666666,0.8675889328063242,0.8765277131332669
LogisticRegression,3,0.6888888888888889,0.7857142857142857,0.5,0.6111111111111112,0.766798418972332,0.7209536888681312
LogisticRegression,4,0.4888888888888889,0.48148148148148145,0.5909090909090909,0.5306122448979592,0.6541501976284585,0.7173959057287036
LogisticRegression,5,0.6590909090909091,0.7333333333333333,0.5,0.5945945945945946,0.7830578512396694,0.779246601773184
SVM_RBF,1,0.7333333333333333,1.0,0.4782608695652174,0.6470588235294118,0.7944664031620553,0.844791766896496
SVM_RBF,2,0.6888888888888889,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.7114624505928854,0.7679942152646044
SVM_RBF,3,0.6888888888888889,0.9,0.4090909090909091,0.5625,0.7055335968379446,0.7519008343205777
SVM_RBF,4,0.4444444444444444,0.44,0.5,0.46808510638297873,0.42687747035573126,0.4832319453571243
SVM_RBF,5,0.6363636363636364,0.875,0.3181818181818182,0.4666666666666667,0.6818181818181818,0.6836503097420188
XGBoost,1,0.9111111111111111,0.9523809523809523,0.8695652173913043,0.9090909090909091,0.9664031620553359,0.9732424424570285
XGBoost,2,0.8888888888888888,0.9047619047619048,0.8636363636363636,0.8837209302325582,0.9130434782608696,0.9050075453752044
XGBoost,3,0.8,0.8823529411764706,0.6818181818181818,0.7692307692307693,0.8814229249011858,0.8916773683520094
XGBoost,4,0.8222222222222222,0.85,0.7727272727272727,0.8095238095238095,0.8241106719367589,0.8487867571483869
XGBoost,5,0.75,0.7894736842105263,0.6818181818181818,0.7317073170731707,0.8099173553719008,0.7818971082587102
