model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,1,0.7777777777777778,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.8221343873517787,0.8522500605090586
LogisticRegression,2,0.6,0.625,0.45454545454545453,0.5263157894736842,0.6521739130434783,0.6839876046413188
LogisticRegression,3,0.6888888888888889,0.7,0.6363636363636364,0.6666666666666666,0.6936758893280632,0.6660960438206268
LogisticRegression,4,0.5555555555555556,0.5416666666666666,0.5909090909090909,0.5652173913043478,0.5948616600790515,0.6777109759193876
LogisticRegression,5,0.6136363636363636,0.6470588235294118,0.5,0.5641025641025641,0.6549586776859503,0.6814130098587188
SVM_RBF,1,0.6444444444444445,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.7035573122529644,0.7466234796796911
SVM_RBF,2,0.5777777777777777,0.6,0.4090909090909091,0.4864864864864865,0.6067193675889329,0.6572659557564934
SVM_RBF,3,0.6888888888888889,0.6818181818181818,0.6818181818181818,0.6818181818181818,0.6581027667984191,0.6982865161895165
SVM_RBF,4,0.4444444444444444,0.43478260869565216,0.45454545454545453,0.4444444444444444,0.42588932806324115,0.46968246269156727
SVM_RBF,5,0.6136363636363636,0.6666666666666666,0.45454545454545453,0.5405405405405406,0.6022727272727273,0.6514482600663197
XGBoost,1,0.8666666666666667,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9209486166007905,0.9075961636596075
XGBoost,2,0.8666666666666667,0.9,0.8181818181818182,0.8571428571428571,0.9229249011857708,0.8692962452794478
XGBoost,3,0.9111111111111111,0.95,0.8636363636363636,0.9047619047619048,0.9387351778656127,0.9338744663027416
XGBoost,4,0.7333333333333333,0.75,0.6818181818181818,0.7142857142857143,0.8201581027667985,0.846400686348084
XGBoost,5,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8264462809917356,0.7802674549381261
