family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,1,12,0.9166666666666666,0.9166666666666667,0.916083916083916,0.9160839160839161,0.9230769230769231,0,1,0.9150793650793649,0.8571428571428571,1.0,0.9166666666666667,5,6
classical,logistic_regression,2,12,0.75,0.75,0.7482517482517483,0.7482517482517483,0.7272727272727273,2,1,0.8592592592592592,0.8,0.6666666666666666,0.7777777777777778,5,4
classical,logistic_regression,3,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,0.9242424242424242,0.8333333333333334,0.8333333333333334,0.8611111111111112,5,5
classical,logistic_regression,4,12,0.9166666666666666,0.9166666666666667,0.916083916083916,0.9160839160839161,0.9230769230769231,0,1,1.0,0.8571428571428571,1.0,1.0,5,6
classical,logistic_regression,5,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1,0.976190476190476,0.8333333333333334,0.8333333333333334,0.9722222222222223,5,5
classical,logistic_regression,6,11,0.7272727272727273,0.7333333333333334,0.7272727272727273,0.7272727272727273,0.7272727272727273,1,2,0.911111111111111,0.6666666666666666,0.8,0.8666666666666667,4,4
classical,logistic_regression,7,11,0.8181818181818182,0.8166666666666667,0.8166666666666667,0.8181818181818182,0.8,1,1,0.7861904761904761,0.8,0.8,0.8333333333333334,5,4
classical,logistic_regression,8,11,0.9090909090909091,0.9166666666666667,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,1,1.0,0.8333333333333334,1.0,1.0,5,5
classical,logistic_regression,9,11,0.7272727272727273,0.7166666666666667,0.717948717948718,0.7226107226107227,0.6666666666666666,2,1,0.9028571428571428,0.75,0.6,0.9000000000000001,5,3
classical,logistic_regression,10,11,0.9090909090909091,0.9,0.905982905982906,0.9075369075369075,0.8888888888888888,1,0,0.9666666666666666,1.0,0.8,0.9666666666666667,6,4
classical,svm_rbf,1,12,0.8333333333333334,0.8333333333333333,0.8285714285714285,0.8285714285714286,0.8571428571428571,0,2,0.9150793650793649,0.75,1.0,0.9166666666666667,4,6
classical,svm_rbf,2,12,0.8333333333333334,0.8333333333333333,0.8285714285714285,0.8285714285714286,0.8,2,0,1.0,1.0,0.6666666666666666,1.0,6,4
