family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.8347826086956521,0.8348484848484848,0.8345824816413052,0.8348326404592389,0.8288288288288288,9,10,0.8817407642282672,0.8214285714285714,0.8363636363636363,0.8887878787878788,50,46
classical,svm_rbf,0.7652173913043478,0.7651515151515151,0.764933000227118,0.7652884890736553,0.7567567567567568,13,14,0.8342998630342062,0.75,0.7636363636363637,0.8333333333333334,46,42
classical,xgboost,0.8,0.8015151515151515,0.8,0.8,0.8,9,14,0.8755437529702954,0.7666666666666667,0.8363636363636363,0.8815151515151516,46,46
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_frozen,0.7391304347826086,0.7371212121212121,0.737522824102252,0.7384159411468946,0.7169811320754716,17,13,0.757865382097429,0.7450980392156863,0.6909090909090909,0.8342424242424242,47,38
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,0.7565217391304347,0.7545454545454546,0.7550213024954351,0.7558548784037683,0.7358490566037735,16,12,0.7576813018438512,0.7647058823529411,0.7090909090909091,0.8369696969696969,48,39
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_2,0.7565217391304347,0.7560606060606061,0.7560606060606061,0.7565217391304347,0.7454545454545455,14,14,0.7947200901974409,0.7454545454545455,0.7454545454545455,0.8487878787878788,46,41
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_3,0.782608695652174,0.7825757575757576,0.7823453705806647,0.7826745269200511,0.7747747747747747,12,13,0.8487988358486849,0.7678571428571429,0.7818181818181819,0.8645454545454545,47,43
jigsaw,jigsaw_multibin_frozen,0.6434782608695652,0.6439393939393939,0.643370395582785,0.6436400587997357,0.6371681415929203,19,22,0.6731056426731316,0.6206896551724138,0.6545454545454545,0.6957575757575759,38,36
jigsaw,jigsaw_multibin_unfreeze_last_1,0.6347826086956522,0.6348484848484848,0.6345338983050848,0.634948415622697,0.625,20,22,0.7063603392250123,0.6140350877192983,0.6363636363636364,0.7172727272727273,38,35
jigsaw,jigsaw_multibin_unfreeze_last_2,0.6347826086956522,0.6363636363636364,0.6347549909255898,0.6346169020752782,0.6379310344827587,18,24,0.7036992865173113,0.6065573770491803,0.6727272727272727,0.7187878787878786,36,37
jigsaw,jigsaw_multibin_unfreeze_last_3,0.6434782608695652,0.646969696969697,0.6425051179012814,0.6416941654277115,0.6611570247933884,15,26,0.6993221012310534,0.6060606060606061,0.7272727272727273,0.7242424242424241,34,40
