family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.7652173913043478,0.7643939393939394,0.7645765410569414,0.7651105829297802,0.7522935779816514,14,13,0.7837057922248865,0.7592592592592593,0.7454545454545455,0.786969696969697,47,41
classical,svm_rbf,0.6608695652173913,0.6590909090909091,0.6592204239799407,0.6602511372533474,0.6355140186915887,21,18,0.7457360233280765,0.6538461538461539,0.6181818181818182,0.713030303030303,42,34
classical,xgboost,0.6260869565217392,0.6242424242424243,0.624268672593268,0.6254051000485624,0.5981308411214953,23,20,0.7128572283563095,0.6153846153846154,0.5818181818181818,0.7142424242424242,40,32
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_frozen,0.6173913043478261,0.6189393939393939,0.617362371445856,0.6172177069360056,0.6206896551724138,19,25,0.7244713343718195,0.5901639344262295,0.6545454545454545,0.6939393939393939,35,36
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,0.6260869565217392,0.628030303030303,0.6259738295136525,0.6256910119934359,0.6324786324786325,18,25,0.7376606186478849,0.5967741935483871,0.6727272727272727,0.7048484848484848,35,37
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_2,0.7478260869565218,0.7454545454545455,0.7459047619047618,0.7468654244306419,0.7238095238095238,17,12,0.8100110090159656,0.76,0.6909090909090909,0.7781818181818182,48,38
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_20260708_085105_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_3,0.7739130434782608,0.7704545454545455,0.7709865196078431,0.77211210571185,0.7450980392156863,17,9,0.8243567531406509,0.8085106382978723,0.6909090909090909,0.7909090909090909,51,38
jigsaw,jigsaw_multibin_frozen,0.5826086956521739,0.5840909090909091,0.5825771324863884,0.5824193166574606,0.5862068965517241,21,27,0.5639645503334311,0.5573770491803278,0.6181818181818182,0.5978787878787879,33,34
jigsaw,jigsaw_multibin_unfreeze_last_1,0.5565217391304348,0.5583333333333333,0.5563875652371227,0.5560521305038426,0.5641025641025641,22,29,0.5660205947883532,0.532258064516129,0.6,0.5927272727272728,31,33
jigsaw,jigsaw_multibin_unfreeze_last_2,0.5652173913043478,0.5659090909090909,0.5651845130066546,0.5653489044951209,0.5614035087719298,23,27,0.5390322257295919,0.5423728813559322,0.5818181818181818,0.5824242424242424,33,32
jigsaw,jigsaw_multibin_unfreeze_last_3,0.591304347826087,0.593939393939394,0.5908092966916496,0.590190482773603,0.6050420168067226,19,28,0.5488437234023649,0.5625,0.6545454545454545,0.6027272727272727,32,36
