family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.8347826086956521,0.8348484848484848,0.8345824816413052,0.8348326404592389,0.8288288288288288,9,10,0.8817407642282672,0.8214285714285714,0.8363636363636363,0.8887878787878788,50,46
classical,svm_rbf,0.7652173913043478,0.7651515151515151,0.764933000227118,0.7652884890736553,0.7567567567567568,13,14,0.8342998630342062,0.75,0.7636363636363637,0.8333333333333334,46,42
classical,xgboost,0.8,0.8015151515151515,0.8,0.8,0.8,9,14,0.8755437529702954,0.7666666666666667,0.8363636363636363,0.8815151515151516,46,46
masking,mr0.20_frozen,0.6956521739130435,0.6916666666666667,0.6910737585386446,0.6927089068866441,0.6534653465346535,22,13,0.6964998424452868,0.717391304347826,0.6,0.7684848484848484,47,33
masking,mr0.20_unfreeze_last_1,0.7217391304347827,0.718939393939394,0.7191697191697192,0.7203376333811116,0.6923076923076923,19,13,0.7120611450043328,0.7346938775510204,0.6545454545454545,0.783030303030303,47,36
masking,mr0.20_unfreeze_last_2,0.7652173913043478,0.7651515151515151,0.764933000227118,0.7652884890736553,0.7567567567567568,13,14,0.7254090239331801,0.75,0.7636363636363637,0.803939393939394,46,42
masking,mr0.20_unfreeze_last_3,0.808695652173913,0.8083333333333333,0.8083333333333333,0.808695652173913,0.8,11,11,0.7706325645272568,0.8,0.8,0.8351515151515151,49,44
masking,mr0.30_frozen,0.7043478260869566,0.7045454545454546,0.7041464891041163,0.7044820507421834,0.6964285714285714,16,18,0.682476359198103,0.6842105263157895,0.7090909090909091,0.7433333333333333,42,39
masking,mr0.30_unfreeze_last_1,0.7130434782608696,0.7136363636363636,0.7129566598593147,0.7131737058632018,0.7079646017699115,15,18,0.6996125610454977,0.6896551724137931,0.7272727272727273,0.7612121212121212,42,40
masking,mr0.30_unfreeze_last_2,0.7565217391304347,0.759090909090909,0.7563559322033898,0.7560795873249815,0.7627118644067796,10,18,0.7515438167023297,0.7142857142857143,0.8181818181818182,0.8093939393939393,42,45
masking,mr0.30_unfreeze_last_3,0.7652173913043478,0.7674242424242425,0.765146358066712,0.7649687749726225,0.7692307692307693,10,17,0.7466311783297885,0.7258064516129032,0.8181818181818182,0.8084848484848486,43,45
masking,mr0.40_frozen,0.5826086956521739,0.5772727272727273,0.5732838589981447,0.5760264580140356,0.5102040816326531,30,18,0.6450876558237032,0.5813953488372093,0.45454545454545453,0.7084848484848485,42,25
masking,mr0.40_unfreeze_last_1,0.6608695652173913,0.6575757575757575,0.6571363045638712,0.6586918298361712,0.6213592233009708,23,16,0.6792593804324781,0.6666666666666666,0.5818181818181818,0.7454545454545455,44,32
masking,mr0.40_unfreeze_last_2,0.6782608695652174,0.675,0.6747190581759804,0.6761948129214957,0.6407766990291263,22,15,0.6925289987171689,0.6875,0.6,0.7736363636363637,45,33
masking,mr0.40_unfreeze_last_3,0.6869565217391305,0.6840909090909091,0.6840659340659341,0.6853798375537505,0.6538461538461539,21,15,0.7075064175301174,0.6938775510204082,0.6181818181818182,0.7954545454545454,45,34
masking,mr0.50_frozen,0.6956521739130435,0.6924242424242424,0.6923018117880897,0.6936977960068204,0.6601941747572816,21,14,0.7198742962096888,0.7083333333333334,0.6181818181818182,0.7566666666666666,46,34
masking,mr0.50_unfreeze_last_1,0.7478260869565218,0.7462121212121212,0.7465998024466226,0.7473662302653096,0.7289719626168224,16,13,0.7391834063472422,0.75,0.7090909090909091,0.7839393939393939,47,39
masking,mr0.50_unfreeze_last_2,0.7565217391304347,0.7575757575757576,0.7565033272837265,0.7565953865172675,0.7543859649122807,12,16,0.7595654648725152,0.7288135593220338,0.7818181818181819,0.8072727272727273,44,43
masking,mr0.50_unfreeze_last_3,0.7565217391304347,0.7575757575757576,0.7565033272837265,0.7565953865172675,0.7543859649122807,12,16,0.7820375212579572,0.7288135593220338,0.7818181818181819,0.82,44,43
jigsaw,jigsaw_bin_256_frozen,0.6086956521739131,0.6053030303030302,0.6043880437275437,0.6061828805801976,0.5631067961165048,26,19,0.5950424141321706,0.6041666666666666,0.5272727272727272,0.6763636363636364,41,29
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.6695652173913044,0.6674242424242425,0.6675289105295192,0.6686601921193998,0.6415094339622641,21,17,0.6514647640443091,0.6666666666666666,0.6181818181818182,0.7145454545454545,43,34
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.7043478260869566,0.703030303030303,0.7032483302975107,0.7040336844328292,0.6851851851851852,18,16,0.687360215024502,0.6981132075471698,0.6727272727272727,0.7281818181818182,44,37
