family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.7652173913043478,0.7643939393939394,0.7645765410569414,0.7651105829297802,0.7522935779816514,14,13,0.7837057922248865,0.7592592592592593,0.7454545454545455,0.786969696969697,47,41
classical,svm_rbf,0.6608695652173913,0.6590909090909091,0.6592204239799407,0.6602511372533474,0.6355140186915887,21,18,0.7457360233280765,0.6538461538461539,0.6181818181818182,0.713030303030303,42,34
classical,xgboost,0.6260869565217392,0.6242424242424243,0.624268672593268,0.6254051000485624,0.5981308411214953,23,20,0.7128572283563095,0.6153846153846154,0.5818181818181818,0.7142424242424242,40,32
masking,mr0.20_frozen,0.5739130434782609,0.5772727272727273,0.57275001895519,0.5717808318526308,0.5950413223140496,19,30,0.6398647645460926,0.5454545454545454,0.6545454545454545,0.6393939393939394,30,36
masking,mr0.20_unfreeze_last_1,0.5565217391304348,0.5590909090909091,0.555984555984556,0.5553130770522076,0.5714285714285714,21,30,0.6515332998727503,0.53125,0.6181818181818182,0.6487878787878788,30,34
masking,mr0.20_unfreeze_last_2,0.5652173913043478,0.5666666666666667,0.5651845130066546,0.5650201215181883,0.5689655172413793,22,28,0.6848626233833507,0.5409836065573771,0.6,0.66,32,33
masking,mr0.20_unfreeze_last_3,0.7304347826086957,0.7303030303030302,0.7301082595200242,0.7305164133808635,0.7207207207207207,15,16,0.7382556100908352,0.7142857142857143,0.7272727272727273,0.7639393939393939,44,40
masking,mr0.30_frozen,0.6260869565217392,0.6265151515151515,0.6259738295136525,0.626256647033869,0.6194690265486725,20,23,0.6008519729932326,0.603448275862069,0.6363636363636364,0.656969696969697,37,35
masking,mr0.30_unfreeze_last_1,0.6173913043478261,0.6189393939393939,0.617362371445856,0.6172177069360056,0.6206896551724138,19,25,0.6410519168687988,0.5901639344262295,0.6545454545454545,0.6563636363636364,35,36
masking,mr0.30_unfreeze_last_2,0.6695652173913044,0.6696969696969697,0.6693401937046004,0.6697152331824402,0.6607142857142857,18,20,0.6753005604622411,0.6491228070175439,0.6727272727272727,0.6851515151515152,40,37
masking,mr0.30_unfreeze_last_3,0.6695652173913044,0.6666666666666666,0.6665140415140415,0.66790093964007,0.6346153846153846,22,16,0.702728851623978,0.673469387755102,0.6,0.6912121212121213,44,33
masking,mr0.40_frozen,0.5391304347826087,0.5363636363636364,0.5356190476190477,0.5373747412008282,0.49523809523809526,29,24,0.5442400179692615,0.52,0.4727272727272727,0.5872727272727272,36,26
masking,mr0.40_unfreeze_last_1,0.5652173913043478,0.5636363636363636,0.5636004857316332,0.5647554182835722,0.5370370370370371,26,24,0.5960863517890226,0.5471698113207547,0.5272727272727272,0.6227272727272728,36,29
masking,mr0.40_unfreeze_last_2,0.5739130434782609,0.5742424242424242,0.5737841313062553,0.5741064117362693,0.5663716814159292,23,26,0.7159242161104842,0.5517241379310345,0.5818181818181818,0.686060606060606,34,32
masking,mr0.40_unfreeze_last_3,0.6173913043478261,0.6174242424242424,0.6171307506053268,0.6175650068428254,0.6071428571428571,21,23,0.7234365501308199,0.5964912280701754,0.6181818181818182,0.7103030303030302,37,34
masking,mr0.50_frozen,0.6173913043478261,0.6204545454545455,0.6166666666666667,0.6159420289855072,0.6333333333333333,17,27,0.5984860711419199,0.5846153846153846,0.6909090909090909,0.6566666666666666,33,38
masking,mr0.50_unfreeze_last_1,0.6173913043478261,0.6212121212121212,0.6159684274438373,0.6149520867981311,0.639344262295082,16,28,0.6097910926078625,0.582089552238806,0.7090909090909091,0.6624242424242425,32,39
masking,mr0.50_unfreeze_last_2,0.6173913043478261,0.6219696969696971,0.6150334753499695,0.6137235703511603,0.6451612903225806,15,29,0.6101989049323903,0.5797101449275363,0.7272727272727273,0.6736363636363636,31,40
masking,mr0.50_unfreeze_last_3,0.7043478260869566,0.7075757575757575,0.7037878787878789,0.7032279314888011,0.7166666666666667,12,22,0.6987185670090171,0.6615384615384615,0.7818181818181819,0.7463636363636363,38,43
jigsaw,jigsaw_bin_256_frozen,0.5565217391304348,0.5575757575757576,0.5565217391304348,0.5565217391304348,0.5565217391304348,23,28,0.5106954781710046,0.5333333333333333,0.5818181818181818,0.5345454545454545,32,32
jigsaw,jigsaw_bin_256_unfreeze_last_1,0.6,0.6015151515151516,0.5999697519661222,0.5998185117967333,0.603448275862069,20,26,0.5452609424770892,0.5737704918032787,0.6363636363636364,0.5651515151515152,34,35
jigsaw,jigsaw_bin_256_unfreeze_last_2,0.5391304347826087,0.5446969696969697,0.5340570292791071,0.5319431103193147,0.5826771653543307,18,35,0.564765471804027,0.5138888888888888,0.6727272727272727,0.5757575757575758,25,37
