family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,1,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,logistic_regression,2,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8888888888888888,0,1,0.95,0.8,1.0,0.9375,3,4
classical,logistic_regression,3,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8888888888888888,0,1,1.0,0.8,1.0,1.0,3,4
classical,logistic_regression,4,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8888888888888888,0,1,1.0,0.8,1.0,1.0,3,4
classical,logistic_regression,5,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,0.95,1.0,0.75,0.9375,4,3
classical,logistic_regression,6,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,logistic_regression,7,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,logistic_regression,8,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,logistic_regression,9,7,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,3
classical,logistic_regression,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,1,1.0,0.75,1.0,1.0,3,3
classical,svm_rbf,1,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,svm_rbf,2,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.5714285714285714,2,1,0.7470238095238095,0.6666666666666666,0.5,0.6875,3,2
classical,svm_rbf,3,8,0.75,0.75,0.75,0.75,0.75,1,1,0.6220238095238095,0.75,0.75,0.625,3,3
classical,svm_rbf,4,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,1,2,0.7928571428571428,0.6,0.75,0.6875,2,3
classical,svm_rbf,5,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,1.0,1.0,0.75,1.0,4,3
classical,svm_rbf,6,8,0.75,0.75,0.75,0.75,0.75,1,1,0.8303571428571428,0.75,0.75,0.75,3,3
classical,svm_rbf,7,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,1.0,1.0,0.75,1.0,4,3
classical,svm_rbf,8,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,1,2,0.8166666666666667,0.6,0.75,0.75,2,3
classical,svm_rbf,9,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.75,0,2,0.7555555555555555,0.6,1.0,0.75,2,3
classical,svm_rbf,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,1,0.9166666666666665,0.75,1.0,0.9166666666666666,3,3
classical,xgboost,1,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,1.0,1.0,0.75,1.0,4,3
classical,xgboost,2,8,0.75,0.75,0.75,0.75,0.75,1,1,0.8928571428571428,0.75,0.75,0.8125,3,3
classical,xgboost,3,8,0.75,0.75,0.75,0.75,0.75,1,1,0.95,0.75,0.75,0.9375,3,3
classical,xgboost,4,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
classical,xgboost,5,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,1.0,1.0,0.75,1.0,4,3
classical,xgboost,6,8,0.75,0.75,0.75,0.75,0.75,1,1,0.8303571428571428,0.75,0.75,0.75,3,3
classical,xgboost,7,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,1.0,1.0,0.75,1.0,4,3
classical,xgboost,8,8,0.75,0.75,0.75,0.75,0.75,1,1,0.8041666666666667,0.75,0.75,0.8125,3,3
classical,xgboost,9,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.75,0,2,1.0,0.6,1.0,1.0,2,3
classical,xgboost,10,7,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,1,8,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,4
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,2,8,0.75,0.75,0.75,0.75,0.75,1,1,0.7708333333333333,0.75,0.75,0.75,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,3,8,0.75,0.75,0.75,0.75,0.75,1,1,0.7470238095238095,0.75,0.75,0.6875,3,3
