family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.9358974358974359,0.9368421052631579,0.9358868979122144,0.9358658219417711,0.9367088607594937,1,4,0.957862280405342,0.9024390243902439,0.9736842105263158,0.9631578947368421,36,37
classical,svm_rbf,0.7692307692307693,0.7697368421052632,0.7692307692307693,0.7692307692307693,0.7692307692307693,8,10,0.7988646363102163,0.75,0.7894736842105263,0.8243421052631579,30,30
classical,xgboost,0.8333333333333334,0.8328947368421052,0.8330864197530864,0.8332510288065844,0.8266666666666667,7,6,0.8932863633359662,0.8378378378378378,0.8157894736842105,0.8967105263157895,34,31
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,0.7307692307692307,0.7296052631578948,0.7296583594652583,0.7301027079868473,0.7123287671232876,12,9,0.763424598832088,0.7428571428571429,0.6842105263157895,0.8052631578947369,31,26
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,0.7564102564102564,0.7552631578947369,0.755405182373329,0.7558072119880999,0.7397260273972602,11,8,0.7923834952719637,0.7714285714285715,0.7105263157894737,0.8414473684210526,32,27
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_2,0.7564102564102564,0.756578947368421,0.7563702120664146,0.7564503007540982,0.7532467532467533,9,10,0.7911177435267635,0.7435897435897436,0.7631578947368421,0.8375,30,29
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_3,0.7948717948717948,0.7960526315789473,0.7947368421052632,0.7946018893387315,0.8,6,10,0.8104339671388796,0.7619047619047619,0.8421052631578947,0.8506578947368422,30,32
jigsaw,jigsaw_multibin_frozen,0.7692307692307693,0.7684210526315789,0.7686222808174028,0.768926525024086,0.7567567567567568,10,8,0.835847419406352,0.7777777777777778,0.7368421052631579,0.8414473684210526,32,28
jigsaw,jigsaw_multibin_unfreeze_last_1,0.782051282051282,0.7815789473684212,0.7817283950617284,0.7819436530547642,0.7733333333333333,9,8,0.84203958970239,0.7837837837837838,0.7631578947368421,0.8473684210526317,32,29
jigsaw,jigsaw_multibin_unfreeze_last_2,0.7692307692307693,0.7697368421052632,0.7692307692307693,0.7692307692307693,0.7692307692307693,8,10,0.7891963517779381,0.75,0.7894736842105263,0.8276315789473684,30,30
jigsaw,jigsaw_multibin_unfreeze_last_3,0.717948717948718,0.7197368421052632,0.7172050098879368,0.716833155857546,0.7317073170731707,8,14,0.8054324758081313,0.6818181818181818,0.7894736842105263,0.8177631578947369,26,30
