family,model,fold,n_test,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,1,8,0.75,0.8,0.75,0.75,0.75,0,2,0.8666666666666667,0.6,1.0,0.8666666666666667,3,3
classical,logistic_regression,2,8,0.75,0.7333333333333334,0.7333333333333334,0.75,0.6666666666666666,1,1,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.7333333333333333,4,2
classical,logistic_regression,3,8,0.875,0.9,0.873015873015873,0.876984126984127,0.8571428571428571,0,1,0.9166666666666666,0.75,1.0,0.9333333333333333,4,3
classical,logistic_regression,4,8,0.875,0.9,0.873015873015873,0.876984126984127,0.8571428571428571,0,1,1.0,0.75,1.0,1.0,4,3
classical,logistic_regression,5,8,0.75,0.75,0.7333333333333334,0.7333333333333334,0.6666666666666666,2,0,0.7928571428571428,1.0,0.5,0.6875,4,2
classical,logistic_regression,6,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,0.95,1.0,0.75,0.9375,4,3
classical,logistic_regression,7,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8571428571428571,1,0,0.95,1.0,0.75,0.9375,4,3
classical,logistic_regression,8,8,0.75,0.75,0.7333333333333334,0.7333333333333334,0.6666666666666666,2,0,0.8875,1.0,0.5,0.875,4,2
classical,logistic_regression,9,7,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,4,3
classical,logistic_regression,10,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,1,1.0,0.75,1.0,1.0,3,3
classical,svm_rbf,1,8,0.25,0.3333333333333333,0.2,0.15000000000000002,0.4,1,5,0.7916666666666666,0.2857142857142857,0.6666666666666666,0.6666666666666666,0,2
classical,svm_rbf,2,8,0.625,0.7,0.6190476190476191,0.6071428571428571,0.6666666666666666,0,3,0.6333333333333333,0.5,1.0,0.6,2,3
classical,svm_rbf,3,8,0.625,0.7,0.6190476190476191,0.6071428571428571,0.6666666666666666,0,3,1.0,0.5,1.0,1.0,2,3
classical,svm_rbf,4,8,0.625,0.7,0.6190476190476191,0.6071428571428571,0.6666666666666666,0,3,0.8055555555555556,0.5,1.0,0.8666666666666667,2,3
classical,svm_rbf,5,8,0.875,0.875,0.873015873015873,0.873015873015873,0.8888888888888888,0,1,0.95,0.8,1.0,0.9375,3,4
classical,svm_rbf,6,8,0.5,0.5,0.5,0.5,0.5,2,2,0.5249999999999999,0.5,0.5,0.5,2,2
classical,svm_rbf,7,8,0.75,0.75,0.7333333333333334,0.7333333333333334,0.6666666666666666,2,0,0.8875,1.0,0.5,0.875,4,2
classical,svm_rbf,8,8,0.5,0.5,0.5,0.5,0.5,2,2,0.7333333333333333,0.5,0.5,0.6875,2,2
classical,svm_rbf,9,7,0.8571428571428571,0.875,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,1,0.6388888888888888,0.75,1.0,0.75,3,3
classical,svm_rbf,10,7,0.5714285714285714,0.5416666666666666,0.5333333333333333,0.5523809523809524,0.4,2,1,0.7555555555555555,0.5,0.3333333333333333,0.75,3,1
classical,xgboost,1,8,0.625,0.6333333333333333,0.6190476190476191,0.6309523809523809,0.5714285714285714,1,2,0.6984126984126985,0.5,0.6666666666666666,0.6666666666666666,3,2
classical,xgboost,2,8,0.375,0.3666666666666667,0.36507936507936506,0.38492063492063494,0.2857142857142857,2,3,0.5873015873015872,0.25,0.3333333333333333,0.4666666666666666,2,1
classical,xgboost,3,8,0.625,0.6333333333333333,0.6190476190476191,0.6309523809523809,0.5714285714285714,1,2,0.8666666666666667,0.5,0.6666666666666666,0.8666666666666667,3,2
classical,xgboost,4,8,0.875,0.9,0.873015873015873,0.876984126984127,0.8571428571428571,0,1,0.8055555555555556,0.75,1.0,0.8666666666666667,4,3
classical,xgboost,5,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.5714285714285714,2,1,0.8875,0.6666666666666666,0.5,0.875,3,2
classical,xgboost,6,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.5714285714285714,2,1,0.6666666666666666,0.6666666666666666,0.5,0.5,3,2
classical,xgboost,7,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,1,2,0.8166666666666667,0.6,0.75,0.75,2,3
classical,xgboost,8,8,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,4,0,0.6845238095238095,0.0,0.0,0.5625,4,0
classical,xgboost,9,7,0.7142857142857143,0.75,0.7083333333333333,0.7023809523809523,0.75,0,2,0.9166666666666665,0.6,1.0,0.9166666666666666,2,3
classical,xgboost,10,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,1,1,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.8333333333333333,3,2
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,1,8,0.75,0.8,0.75,0.75,0.75,0,2,0.6388888888888888,0.6,1.0,0.8,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,2,8,0.5,0.5333333333333333,0.5,0.5,0.5,1,3,0.4666666666666667,0.4,0.6666666666666666,0.5333333333333333,2,2
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,3,8,0.75,0.8,0.75,0.75,0.75,0,2,0.7555555555555555,0.6,1.0,0.8,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,4,8,0.875,0.9,0.873015873015873,0.876984126984127,0.8571428571428571,0,1,0.9166666666666666,0.75,1.0,0.9333333333333333,4,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,5,8,0.75,0.75,0.7333333333333334,0.7333333333333334,0.6666666666666666,2,0,0.8875,1.0,0.5,0.875,4,2
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,6,8,0.25,0.25,0.2,0.2,0.0,4,2,0.5011904761904762,0.0,0.0,0.4375,2,0
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,7,8,0.75,0.75,0.75,0.75,0.75,1,1,0.8041666666666667,0.75,0.75,0.8125,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,8,8,0.625,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,1,2,0.9166666666666666,0.6,0.75,0.875,2,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,9,7,0.5714285714285714,0.5416666666666666,0.5333333333333333,0.5523809523809524,0.4,2,1,0.7555555555555555,0.5,0.3333333333333333,0.75,3,1
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,10,7,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7142857142857143,0.6666666666666666,1,1,0.8055555555555556,0.6666666666666666,0.6666666666666666,0.8333333333333334,3,2
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,1,8,0.75,0.8,0.75,0.75,0.75,0,2,0.6388888888888888,0.6,1.0,0.8,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,2,8,0.375,0.3666666666666667,0.36507936507936506,0.38492063492063494,0.2857142857142857,2,3,0.4666666666666667,0.25,0.3333333333333333,0.5333333333333333,2,1
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,3,8,0.75,0.8,0.75,0.75,0.75,0,2,0.7555555555555555,0.6,1.0,0.8,3,3
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,4,8,0.875,0.9,0.873015873015873,0.876984126984127,0.8571428571428571,0,1,1.0,0.75,1.0,1.0,4,3
