family,model,accuracy,balanced_accuracy,macro_f1,weighted_f1,f1,fn,fp,pr_auc,precision,recall,roc_auc,tn,tp
classical,logistic_regression,0.8333333333333334,0.8288770053475936,0.8299513667616971,0.8330258818268209,0.8059701492537313,7,6,0.8675161856582608,0.8181818181818182,0.7941176470588235,0.8683155080213903,38,27
classical,svm_rbf,0.6153846153846154,0.6290106951871658,0.6151315789473684,0.6138663967611336,0.625,9,21,0.652958999835647,0.5434782608695652,0.7352941176470589,0.6828208556149733,23,25
classical,xgboost,0.6282051282051282,0.6236631016042781,0.6231884057971014,0.62876254180602,0.5797101449275363,14,15,0.7016729737746236,0.5714285714285714,0.5882352941176471,0.7125668449197861,29,20
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_frozen,0.6538461538461539,0.6530748663101604,0.6510356255178127,0.6550506659868714,0.6197183098591549,12,15,0.6217558036571178,0.5945945945945946,0.6470588235294118,0.7159090909090909,29,22
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_1,0.6410256410256411,0.6383689839572193,0.6372093023255814,0.6419797257006559,0.6,13,15,0.633305234965886,0.5833333333333334,0.6176470588235294,0.7212566844919787,29,21
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_2,0.6410256410256411,0.6350267379679144,0.6350267379679144,0.6410256410256411,0.5882352941176471,14,14,0.6771003002283572,0.5882352941176471,0.5882352941176471,0.7479946524064172,30,20
masking,combine_unique_MetaboLights_Workbench_Water_EDTA_Suppressed_rowMinMax_v3_20260725_085527_bs32_mr0.20-0.60_ps1024_best_unfreeze_last_3,0.6538461538461539,0.6397058823529411,0.6405529953917051,0.6494151010280041,0.5714285714285714,16,11,0.7007488152584386,0.6206896551724138,0.5294117647058824,0.7566844919786095,33,18
jigsaw,jigsaw_multibin_frozen,0.6282051282051282,0.6203208556149733,0.620660741237632,0.6275192748444466,0.5671641791044776,15,14,0.5190534550108763,0.5757575757575758,0.5588235294117647,0.6377005347593583,30,19
jigsaw,jigsaw_multibin_unfreeze_last_1,0.6025641025641025,0.5909090909090908,0.5912087912087912,0.5999436460974923,0.5230769230769231,17,14,0.5221187392187314,0.5483870967741935,0.5,0.6343582887700535,30,17
jigsaw,jigsaw_multibin_unfreeze_last_2,0.6153846153846154,0.6089572192513368,0.6089572192513368,0.6153846153846154,0.5588235294117647,15,15,0.5195859515223206,0.5588235294117647,0.5588235294117647,0.6323529411764706,29,19
jigsaw,jigsaw_multibin_unfreeze_last_3,0.6025641025641025,0.5975935828877006,0.5972013993003498,0.6031599584822973,0.5507246376811594,15,16,0.529638984597989,0.5428571428571428,0.5588235294117647,0.6577540106951871,28,19
