family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,-,2,1,4,74,ok,,0.6486486486486487,0.6542397660818714,0.6356060606060606,0.6337428337428338,0.5961538461538461,0.8611111111111112,0.7045454545454546,0.7573099415204678,0.6853142253232711,17,21,5,31
classical,svm_rbf,-,2,1,4,74,ok,,0.47297297297297297,0.4619883040935673,0.360797342192691,0.3680344796623866,0.2857142857142857,0.05555555555555555,0.09302325581395349,0.4437134502923976,0.4348247155625963,33,5,34,2
classical,xgboost,-,2,1,4,74,ok,,0.5135135135135135,0.5,0.3392857142857143,0.3484555984555985,0.0,0.0,0.0,0.5,0.4864864864864865,38,0,36,0
classical,logistic_regression,-,2,2,4,74,ok,,0.3918918918918919,0.39035087719298245,0.3891029168959824,0.3902185068943462,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.3757309941520468,0.42346122126352126,17,21,24,12
classical,svm_rbf,-,2,2,4,74,ok,,0.5540540540540541,0.5584795321637427,0.5439775910364146,0.5421455068513892,0.5306122448979592,0.7222222222222222,0.611764705882353,0.3823099415204678,0.420894471128626,15,23,10,26
classical,xgboost,-,2,2,4,74,ok,,0.5135135135135135,0.5,0.3392857142857143,0.3484555984555985,0.0,0.0,0.0,0.5,0.4864864864864865,38,0,36,0
classical,logistic_regression,-,2,3,4,74,ok,,0.6081081081081081,0.6140350877192983,0.5913159398209864,0.5890769840493701,0.5660377358490566,0.8333333333333334,0.6741573033707865,0.6805555555555555,0.6682405823629818,15,23,6,30
classical,svm_rbf,-,2,3,4,74,ok,,0.581081081081081,0.5884502923976609,0.5515151515151515,0.5484029484029483,0.543859649122807,0.8611111111111112,0.6666666666666666,0.41154970760233917,0.44062081977922907,12,26,5,31
classical,xgboost,-,2,3,4,74,ok,,0.5135135135135135,0.5,0.3392857142857143,0.3484555984555985,0.0,0.0,0.0,0.5,0.4864864864864865,38,0,36,0
classical,logistic_regression,-,2,4,4,74,ok,,0.6756756756756757,0.672514619883041,0.6696428571428572,0.6708494208494208,0.7142857142857143,0.5555555555555556,0.625,0.7485380116959064,0.7203576734807834,30,8,16,20
classical,svm_rbf,-,2,4,4,74,ok,,0.6081081081081081,0.60453216374269,0.5992530345471522,0.6008630479218714,0.6296296296296297,0.4722222222222222,0.5396825396825397,0.3336988304093567,0.388705927068199,28,10,19,17
classical,xgboost,-,2,4,4,74,ok,,0.5135135135135135,0.5,0.3392857142857143,0.3484555984555985,0.0,0.0,0.0,0.5,0.4864864864864865,38,0,36,0
classical,logistic_regression,-,2,5,4,74,ok,,0.527027027027027,0.5292397660818714,0.5248578242524308,0.5239901431425923,0.5116279069767442,0.6111111111111112,0.5569620253164557,0.5694444444444444,0.6504529081660401,17,21,14,22
classical,svm_rbf,-,2,5,4,74,ok,,0.4189189189189189,0.42324561403508776,0.4057889822595705,0.40340172104877986,0.42857142857142855,0.5833333333333334,0.49411764705882355,0.47733918128654973,0.5592342286518349,10,28,15,21
classical,xgboost,-,2,5,4,74,ok,,0.5135135135135135,0.5,0.3392857142857143,0.3484555984555985,0.0,0.0,0.0,0.5,0.4864864864864865,38,0,36,0
