family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
classical,logistic_regression,-,2,0.5130841121495326,0.09172325729182727,0.47724563644103873,0.058092776739294756,0.462814231942434,0.07175664558401977,0.512699083037828,0.09573227345141638,0.49000295784095044,0.04438540308004006,0.47724563644103873,0.058092776739294756,0.6585369962463894,0.055292376223053066,10
classical,logistic_regression,-,5,0.5714285714285714,0.08482968648530563,0.5301120448179272,0.06608202902585422,0.5203163971950735,0.07048177077639622,0.575871481222731,0.07916828845569346,0.5317977015204512,0.07061642079973318,0.5301120448179272,0.06608202902585422,0.7018136612875573,0.06353113859945758,10
classical,logistic_regression,-,10,0.5951807228915663,0.09387630736505691,0.5530624568668048,0.09213084211871606,0.5404021016304807,0.08874504140940247,0.6048722515715291,0.08499349074878788,0.5528081364275381,0.08141362422965127,0.5530624568668048,0.09213084211871606,0.7416690867033386,0.05592019267814264,10
classical,logistic_regression,-,15,0.6352941176470588,0.05995641118204178,0.6020740946045824,0.05460415246514577,0.5757086745813863,0.05997006650715291,0.6571994854971519,0.05211850144969201,0.5867395777203613,0.054758091605328706,0.6020740946045824,0.05460415246514577,0.7836719095725033,0.02711586978908401,10
classical,logistic_regression,-,20,0.6754716981132075,0.067621031726871,0.6206228956228956,0.08629216644749724,0.5768150514777182,0.07314720675778584,0.6950385691661509,0.05644841554108712,0.5733509467342184,0.06808477671365747,0.6206228956228956,0.08629216644749724,0.7793807013456575,0.08225461641306914,10
classical,logistic_regression,-,24,0.6951219512195121,0.08468563681300675,0.6592261904761905,0.14225304924730509,0.5541340491982811,0.1095205546709829,0.7359890428418485,0.06862441056309411,0.5494978166951051,0.09644801444162016,0.6592261904761905,0.14225304924730509,0.8173825085589792,0.08830272236038668,10
classical,svm_rbf,-,2,0.3906542056074766,0.09112349226983493,0.38070987654320987,0.05459284314100946,0.3492049408659921,0.0692080534445065,0.383302682274122,0.09188427808518808,0.3902369287162918,0.050931192620695113,0.38070987654320987,0.05459284314100946,0.4444823134186312,0.04727280740364982,10
classical,svm_rbf,-,5,0.3877551020408163,0.05067913069983449,0.36802413273001505,0.028952692627235797,0.3419017411190538,0.03575736696714238,0.3947171899663282,0.05124375391734842,0.37862148995339784,0.04069161539642533,0.36802413273001505,0.028952692627235797,0.5032198354386803,0.09893971584399726,10
classical,svm_rbf,-,10,0.4554216867469879,0.0786574661676793,0.41545462387853693,0.07089440250371526,0.3980192030000913,0.06733416463295873,0.471705412140076,0.073536741978489,0.4254497662128546,0.056895363034785436,0.41545462387853693,0.07089440250371526,0.5791313888665053,0.11291419566573392,10
classical,svm_rbf,-,15,0.5235294117647059,0.07694673282489643,0.4542960088691796,0.03800600860277148,0.43294450569149906,0.044961160118067355,0.5471809889818336,0.0628214036501004,0.4635132051657548,0.04048587887561746,0.4542960088691796,0.03800600860277148,0.6808748693777578,0.12431947478395047,10
classical,svm_rbf,-,20,0.5358490566037736,0.08858775779451071,0.44225589225589224,0.0729800083362988,0.4045207484631172,0.06678117404822076,0.568241292156928,0.08407499660371569,0.42530281825430033,0.07169005741450474,0.44225589225589224,0.0729800083362988,0.7259832667216898,0.05529054042827422,10
classical,svm_rbf,-,24,0.5707317073170731,0.09633374467381221,0.4431547619047619,0.12555150445975882,0.3833533351535914,0.07471596220032288,0.6417411121347045,0.0794919808148925,0.4331002618451131,0.09998723502157893,0.4431547619047619,0.12555150445975882,0.7919767800282507,0.06386393430664927,10
classical,xgboost,-,2,0.4065420560747663,0.0953342289601206,0.3903522775649212,0.03876424913209551,0.34991701835231986,0.07359665004664745,0.38406367264819036,0.1056167063693207,0.41716160096635513,0.04443928102540274,0.3903522775649212,0.03876424913209551,0.5619056761888989,0.06283540126813164,10
classical,xgboost,-,5,0.4530612244897959,0.07298276738539511,0.44118724412842064,0.07131094633538876,0.42238180905685835,0.06904311936368451,0.46644847214477714,0.07121089562251157,0.454073904355102,0.06579758771838913,0.44118724412842064,0.07131094633538876,0.6385346421876459,0.05918399581055223,10
classical,xgboost,-,10,0.49879518072289153,0.054535727539816725,0.4625043133195307,0.040510514197650616,0.444561774197922,0.039310754275387993,0.5148766793642003,0.044926442802537506,0.463699258432809,0.03535420910836539,0.4625043133195307,0.040510514197650616,0.6792791524879245,0.030442488823371926,10
classical,xgboost,-,15,0.55,0.06130391451319012,0.5133453436807096,0.0623375095597592,0.4840203079874925,0.059173318822087886,0.5748885496324462,0.05698145688679423,0.49972805237783724,0.052143724188292516,0.5133453436807096,0.0623375095597592,0.7291448140393102,0.04344214403761945,10
classical,xgboost,-,20,0.5754716981132075,0.05428514623154738,0.5172558922558922,0.07335235979330576,0.47071579260873014,0.0528604400963135,0.6036604298487236,0.04160210060051505,0.4819585869295939,0.04359460516922658,0.5172558922558922,0.07335235979330576,0.7231739740813583,0.07088749927461348,10
classical,xgboost,-,24,0.6146341463414634,0.10587850794211187,0.5988095238095238,0.15217135107149335,0.4736089817970803,0.09169924544728637,0.6628961330189733,0.08818349462358219,0.4841494082801958,0.06327979859926797,0.5988095238095238,0.15217135107149335,0.7884928864708277,0.08442061562217125,10
masking,mask_metabolights,frozen,2,0.4364485981308411,0.06609208824694462,0.4159589186888038,0.04634140133663242,0.4008442062800054,0.05264261458585554,0.440048457075762,0.06379709704177165,0.44607500001244,0.05506209303540644,0.4159589186888038,0.04634140133663242,0.5901439952292027,0.05335286442699307,10
masking,mask_metabolights,frozen,5,0.47653061224489796,0.08645747347564976,0.43341593047475396,0.06259834542176848,0.4295523875536212,0.06388093655104803,0.488426739807071,0.07393766912733227,0.45715018753634284,0.0687202569023376,0.43341593047475396,0.06259834542176848,0.6364055043565146,0.05722089947059678,10
masking,mask_metabolights,frozen,10,0.563855421686747,0.0629382747764168,0.48729296066252586,0.04518629551131346,0.4774243025130941,0.04515658497301811,0.5677189442800971,0.05029693316610049,0.49315932121998485,0.0500211332818784,0.48729296066252586,0.04518629551131346,0.6941413915537862,0.055451554153260994,10
masking,mask_metabolights,frozen,15,0.5779411764705882,0.0922428676695888,0.5075203252032521,0.06597263794034612,0.4733254200488958,0.0681302179684636,0.5873378411549609,0.07370239599862621,0.5009996090798137,0.0642791824185164,0.5075203252032521,0.06597263794034612,0.7430998443781928,0.051320589524686384,10
masking,mask_metabolights,frozen,20,0.6396226415094339,0.08958677424185862,0.5112794612794612,0.08168906536145398,0.4692980102449013,0.08763606795657775,0.6462327357623232,0.07198034610061171,0.4796151613062215,0.08558758093579517,0.5112794612794612,0.08168906536145398,0.735952513393064,0.08442696739561428,10
masking,mask_metabolights,frozen,24,0.6195121951219512,0.13418329128961143,0.5599702380952382,0.16092702520234506,0.4569317289841882,0.12336913164692583,0.6754759772856244,0.11128393886832535,0.4832130639780279,0.08393805808346869,0.5599702380952382,0.16092702520234506,0.7837567933156169,0.11226561986840136,10
masking,mask_metabolights,unfreeze_last_1,2,0.43457943925233644,0.08956047670694733,0.414245423584504,0.054913807506705124,0.3953601446611047,0.06882480578642956,0.4324112777062509,0.08814015900825925,0.4462491588592714,0.06340903925749639,0.414245423584504,0.054913807506705124,0.5909732636231997,0.054005787802877694,10
masking,mask_metabolights,unfreeze_last_1,5,0.4795918367346939,0.09277674623799904,0.4400452488687782,0.07351593666208538,0.43699942021920357,0.07362009062537232,0.4923045315873611,0.081338435200908,0.4650860204086726,0.07379669270079003,0.4400452488687782,0.07351593666208538,0.6341041952498236,0.058684213234172056,10
