family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
jigsaw,jigsaw_multibin,frozen,2,1,4,33,ok,,0.5151515151515151,0.47619047619047616,0.47619047619047616,0.5151515151515151,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.4920634920634921,0.6472417759867739,4,8,8,13
jigsaw,jigsaw_multibin,frozen,2,2,4,33,ok,,0.5151515151515151,0.6011904761904762,0.5037593984962406,0.48325358851674644,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.7103174603174602,0.8392684926862481,11,1,15,6
jigsaw,jigsaw_multibin,frozen,2,3,4,33,ok,,0.5454545454545454,0.5535714285714286,0.5386766076421249,0.5539269677200712,0.6875,0.5238095238095238,0.5945945945945946,0.6011904761904763,0.6702315586311144,7,5,10,11
jigsaw,jigsaw_multibin,frozen,2,4,4,33,ok,,0.6666666666666666,0.5952380952380952,0.593505039193729,0.6405375139977604,0.6923076923076923,0.8571428571428571,0.7659574468085106,0.5853174603174602,0.6903632830991405,4,8,3,18
jigsaw,jigsaw_multibin,frozen,2,5,4,33,ok,,0.6666666666666666,0.6130952380952381,0.6158730158730159,0.653968253968254,0.7083333333333334,0.8095238095238095,0.7555555555555555,0.5753968253968254,0.6577893539198656,5,7,4,17
jigsaw,jigsaw_multibin,frozen,2,6,4,33,ok,,0.5151515151515151,0.5119047619047619,0.5037593984962406,0.5242652084757348,0.6470588235294118,0.5238095238095238,0.5789473684210527,0.5257936507936508,0.6271269462276073,6,6,10,11
jigsaw,jigsaw_multibin,frozen,2,7,4,33,ok,,0.6060606060606061,0.5476190476190476,0.5460317460317461,0.591053391053391,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.4900793650793651,0.6598294545705148,4,8,5,16
jigsaw,jigsaw_multibin,frozen,2,8,4,33,ok,,0.6060606060606061,0.49404761904761907,0.4392156862745098,0.522638146167558,0.6333333333333333,0.9047619047619048,0.7450980392156863,0.5297619047619048,0.6531807574146284,1,11,2,19
jigsaw,jigsaw_multibin,frozen,2,9,4,33,ok,,0.696969696969697,0.6369047619047619,0.6413043478260869,0.6798418972332015,0.72,0.8571428571428571,0.782608695652174,0.6944444444444444,0.7765150689102479,5,7,3,18
jigsaw,jigsaw_multibin,frozen,2,10,4,33,ok,,0.5151515151515151,0.5654761904761905,0.5147058823529411,0.5106951871657753,0.7272727272727273,0.38095238095238093,0.5,0.5634920634920635,0.7498771710291243,9,3,13,8
jigsaw,jigsaw_multibin,frozen,4,1,8,29,ok,,0.6206896551724138,0.49736842105263157,0.4547008547008547,0.5480695549661067,0.6538461538461539,0.8947368421052632,0.7555555555555555,0.7657894736842105,0.8336559273125432,1,9,2,17
