family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,-,2,1,4,33,ok,,0.42424242424242425,0.44047619047619047,0.4221198156682028,0.4316715542521994,0.5714285714285714,0.38095238095238093,0.45714285714285713,0.48412698412698413,0.5912457672432385,6,6,13,8
classical,svm_rbf,-,2,1,4,33,ok,,0.5151515151515151,0.5833333333333334,0.5111111111111111,0.49898989898989904,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.5357142857142857,0.7455343010926971,10,2,14,7
classical,xgboost,-,2,1,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,2,4,33,ok,,0.5151515151515151,0.5654761904761905,0.5147058823529411,0.5106951871657753,0.7272727272727273,0.38095238095238093,0.5,0.5873015873015873,0.6908783623599759,9,3,13,8
classical,svm_rbf,-,2,2,4,33,ok,,0.5151515151515151,0.44047619047619047,0.4260869565217391,0.4877470355731226,0.6,0.7142857142857143,0.6521739130434783,0.5634920634920635,0.6927121533908519,2,10,6,15
classical,xgboost,-,2,2,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,3,4,33,ok,,0.696969696969697,0.6190476190476191,0.6180555555555556,0.6654040404040403,0.7037037037037037,0.9047619047619048,0.7916666666666666,0.4484126984126984,0.576586899442173,4,8,2,19
classical,svm_rbf,-,2,3,4,33,ok,,0.6363636363636364,0.6607142857142857,0.6333333333333333,0.6424242424242425,0.8,0.5714285714285714,0.6666666666666666,0.20634920634920634,0.5005801094681851,9,3,9,12
classical,xgboost,-,2,3,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,4,4,33,ok,,0.5151515151515151,0.5119047619047619,0.5037593984962406,0.5242652084757348,0.6470588235294118,0.5238095238095238,0.5789473684210527,0.5476190476190477,0.6277583013832813,6,6,10,11
classical,svm_rbf,-,2,4,4,33,ok,,0.5757575757575758,0.47023809523809523,0.4225,0.5036363636363635,0.6206896551724138,0.8571428571428571,0.72,0.38095238095238093,0.6258374328968641,1,11,3,18
classical,xgboost,-,2,4,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,5,4,33,ok,,0.5454545454545454,0.5,0.4994944388270981,0.5408585347918007,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.38492063492063494,0.546027600236933,4,8,7,14
classical,svm_rbf,-,2,5,4,33,ok,,0.6060606060606061,0.5476190476190476,0.5460317460317461,0.591053391053391,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.27976190476190477,0.5345089882728402,4,8,5,16
classical,xgboost,-,2,5,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,6,4,33,ok,,0.6060606060606061,0.6011904761904763,0.5925925925925926,0.6127946127946128,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.7301587301587301,0.8642408000707844,7,5,8,13
classical,svm_rbf,-,2,6,4,33,ok,,0.6363636363636364,0.6785714285714286,0.6360294117647058,0.6390374331550802,0.8461538461538461,0.5238095238095238,0.6470588235294118,0.246031746031746,0.5064379278035047,10,2,10,11
classical,xgboost,-,2,6,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,7,4,33,ok,,0.2727272727272727,0.3035714285714286,0.2720588235294118,0.2660427807486631,0.36363636363636365,0.19047619047619047,0.25,0.33730158730158727,0.5321493793911292,5,7,17,4
classical,svm_rbf,-,2,7,4,33,ok,,0.48484848484848486,0.38095238095238093,0.32653061224489793,0.41558441558441556,0.5714285714285714,0.7619047619047619,0.6530612244897959,0.6706349206349206,0.8265604853230983,0,12,5,16
classical,xgboost,-,2,7,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,8,4,33,ok,,0.5454545454545454,0.42857142857142855,0.35294117647058826,0.44919786096256686,0.6,0.8571428571428571,0.7058823529411765,0.2976190476190476,0.5242946453181747,0,12,3,18
classical,svm_rbf,-,2,8,4,33,ok,,0.5757575757575758,0.6309523809523809,0.5753676470588236,0.5718582887700535,0.8181818181818182,0.42857142857142855,0.5625,0.4642857142857142,0.6716642084444935,10,2,12,9
classical,xgboost,-,2,8,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,9,4,33,ok,,0.6666666666666666,0.5952380952380952,0.593505039193729,0.6405375139977604,0.6923076923076923,0.8571428571428571,0.7659574468085106,0.6309523809523809,0.6953164785939421,4,8,3,18
