family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_episodes
classical,logistic_regression,-,2,0.5363636363636364,0.1212542014498798,0.5089285714285714,0.09713107162142315,0.4891959995413632,0.11079631546562463,0.5207582996072493,0.1174981568137955,0.6316167653507807,0.10716479919079527,0.6095238095238095,0.2384124870542043,0.6049244331162786,0.16409828509688945,0.4825396825396825,0.1397141017732854,0.6197501798809687,0.10567802733720863,4.9,2.378141197564929,7.1,2.378141197564929,8.2,5.00666222813829,12.8,5.00666222813829,10
classical,logistic_regression,-,3,0.6290322580645161,0.09647504540282988,0.6122727272727273,0.08945940078800006,0.6046576333283651,0.09392795498424596,0.6305286854586619,0.09326446315426308,0.7309278711484594,0.06490929321681571,0.67,0.14181364924121764,0.6937690351104985,0.09834078421855935,0.635909090909091,0.1489086407412936,0.7162943303547336,0.10596449053320968,6.1,1.4491376746189437,4.9,1.4491376746189437,6.6,2.836272984824353,13.4,2.836272984824353,10
classical,logistic_regression,-,4,0.7241379310344828,0.0812766415156951,0.6971052631578948,0.08286990252706083,0.6955771150030627,0.0856589120499574,0.7238058502055787,0.0793264626989653,0.7930010185892539,0.05654494606650773,0.7842105263157895,0.0975224007697354,0.7865363728778363,0.0679665686339359,0.72,0.09212781678754137,0.7832395091275213,0.06545645006905679,6.1,1.1972189997378644,3.9,1.1972189997378644,4.1,1.852925614624973,14.9,1.8529256146249726,10
classical,logistic_regression,-,5,0.6962962962962963,0.0776895443089001,0.7,0.08666191819850066,0.67297767659316,0.0774695271092888,0.697241990653787,0.07283524921109742,0.8432858275569274,0.09544348623176291,0.6888888888888889,0.1486103899832509,0.745770618775041,0.07694356141452588,0.7598765432098765,0.10613973707977158,0.8403011769744226,0.0968937686003378,6.4,2.011080417199781,2.6,2.011080417199781,5.6,2.6749870196985173,12.4,2.6749870196985173,10
classical,logistic_regression,-,6,0.752,0.061967733539318684,0.7183823529411765,0.09002474669390097,0.7081842818304707,0.08417888035152789,0.7466439359829385,0.06684332434520156,0.8326984126984127,0.07699053592479445,0.8117647058823529,0.10667820006851324,0.8150166544762149,0.04784640149967418,0.7705882352941177,0.10849845458905034,0.8650572643644845,0.07944441315403585,5.0,1.8257418583505536,3.0,1.8257418583505536,3.2,1.8135294011647258,13.8,1.8135294011647258,10
classical,logistic_regression,-,7,0.7130434782608696,0.07446511639805872,0.6691964285714286,0.10690387534100519,0.6550534180123753,0.09849783600495192,0.7077085918126141,0.07628897011626273,0.812759324009324,0.0905720245414513,0.78125,0.10724614730194793,0.7896166399463191,0.056219701507375944,0.6910714285714286,0.19535239105099897,0.8128823918618137,0.1286023227960522,3.9,1.728840330651992,3.1,1.728840330651992,3.5,1.7159383568311668,12.5,1.7159383568311668,10
classical,logistic_regression,-,8,0.7095238095238094,0.08823455307737967,0.6666666666666667,0.12619796324000612,0.6478972204593155,0.11977517097119184,0.7079819550664607,0.09218536325796002,0.8274216959511078,0.08749699387290737,0.7666666666666667,0.11439589045541114,0.7880949345426542,0.0673797320472238,0.7033333333333334,0.13302948918619995,0.8455591753734168,0.08590044349942852,3.4,1.646545204697129,2.6,1.646545204697129,3.5,1.7159383568311668,11.5,1.7159383568311668,10
classical,logistic_regression,-,9,0.7421052631578947,0.08020441719763129,0.735,0.08133313817306795,0.700391293891294,0.07796851262836522,0.7507448964291069,0.07420364197692644,0.8861975524475525,0.055289543126954555,0.75,0.11785113019775792,0.8066933436933438,0.07534395984890692,0.8171428571428571,0.073091748016571,0.915451058229696,0.05693580049481543,3.6,0.8432740427115677,1.4,0.8432740427115678,3.5,1.6499158227686108,10.5,1.6499158227686108,10
classical,logistic_regression,-,10,0.7411764705882353,0.09685560027630169,0.7182692307692308,0.12339119198322102,0.6785224686746425,0.10947248260163966,0.7500009267042514,0.08923948241462089,0.8928346653346653,0.07993231193334865,0.7615384615384615,0.13298771774246093,0.8135373338416816,0.08062983675944928,0.8038461538461539,0.09585423406419868,0.9316560306209627,0.04295148609541556,2.7,1.0593499054713802,1.3,1.0593499054713804,3.1,1.728840330651992,9.9,1.7288403306519917,10
classical,logistic_regression,-,11,0.7733333333333333,0.1377060745318193,0.7958333333333333,0.13671916335916345,0.7221025686746511,0.1428756303997339,0.7889744994898313,0.12359775473335119,0.9512387612387613,0.06545964072377605,0.7583333333333333,0.1687371394276382,0.8335557866999516,0.11544627561536254,0.8944444444444445,0.10702357982814732,0.9720231620231621,0.03143480807315334,2.5,0.7071067811865476,0.5,0.7071067811865476,2.9,2.0248456731316584,9.1,2.0248456731316584,10
