family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
jigsaw,jigsaw_multibin,frozen,2,1,4,33,ok,,0.45454545454545453,0.5178571428571428,0.45,0.4363636363636364,0.6666666666666666,0.2857142857142857,0.4,0.5436507936507936,0.7437519703752782,9,3,15,6
jigsaw,jigsaw_multibin,frozen,2,2,4,33,ok,,0.5757575757575758,0.5416666666666666,0.5416666666666666,0.5757575757575758,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5912698412698413,0.7461143368450758,5,7,7,14
jigsaw,jigsaw_multibin,frozen,2,3,4,33,ok,,0.5757575757575758,0.5059523809523809,0.49782608695652175,0.5517786561264821,0.64,0.7619047619047619,0.6956521739130435,0.5357142857142857,0.6858508702975463,3,9,5,16
jigsaw,jigsaw_multibin,frozen,2,4,4,33,ok,,0.45454545454545453,0.39285714285714285,0.38636363636363635,0.44214876033057854,0.5652173913043478,0.6190476190476191,0.5909090909090909,0.4801587301587301,0.7157261194624942,2,10,8,13
jigsaw,jigsaw_multibin,frozen,2,5,4,33,ok,,0.6060606060606061,0.5476190476190476,0.5460317460317461,0.591053391053391,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.5357142857142857,0.7408181236679472,4,8,5,16
jigsaw,jigsaw_multibin,frozen,2,6,4,33,ok,,0.36363636363636365,0.4107142857142857,0.3612903225806452,0.350733137829912,0.5,0.23809523809523808,0.3225806451612903,0.41269841269841273,0.6510721386347995,7,5,16,5
jigsaw,jigsaw_multibin,frozen,2,7,4,33,ok,,0.6060606060606061,0.47619047619047616,0.37735849056603776,0.4802744425385935,0.625,0.9523809523809523,0.7547169811320755,0.5317460317460317,0.69411137945497,0,12,1,20
jigsaw,jigsaw_multibin,frozen,2,8,4,33,ok,,0.5151515151515151,0.5833333333333334,0.5111111111111111,0.49898989898989904,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.6587301587301587,0.7971263000329689,10,2,14,7
jigsaw,jigsaw_multibin,frozen,2,9,4,33,ok,,0.48484848484848486,0.5238095238095237,0.48484848484848486,0.48484848484848486,0.6666666666666666,0.38095238095238093,0.48484848484848486,0.5079365079365079,0.6627133881028655,8,4,13,8
jigsaw,jigsaw_multibin,frozen,2,10,4,33,ok,,0.45454545454545453,0.4642857142857143,0.45,0.4636363636363637,0.6,0.42857142857142855,0.5,0.39285714285714285,0.6301779482387293,6,6,12,9
jigsaw,jigsaw_multibin,frozen,3,1,6,31,ok,,0.6129032258064516,0.5977272727272727,0.5921052631578947,0.6188455008488963,0.7222222222222222,0.65,0.6842105263157895,0.5,0.6563622962693547,6,5,7,13
jigsaw,jigsaw_multibin,frozen,3,2,6,31,ok,,0.6129032258064516,0.6386363636363637,0.6092436974789917,0.6202222824613716,0.7857142857142857,0.55,0.6470588235294118,0.6227272727272728,0.8015211401344677,8,3,9,11
jigsaw,jigsaw_multibin,frozen,3,3,6,31,ok,,0.5483870967741935,0.48636363636363633,0.4833333333333333,0.5365591397849462,0.6363636363636364,0.7,0.6666666666666666,0.5181818181818182,0.7408851948637676,3,8,6,14
jigsaw,jigsaw_multibin,frozen,3,4,6,31,ok,,0.5806451612903226,0.5113636363636364,0.5067319461444308,0.5621668575038496,0.6521739130434783,0.75,0.6976744186046512,0.5136363636363637,0.6297570479160235,3,8,5,15
jigsaw,jigsaw_multibin,frozen,3,5,6,31,ok,,0.41935483870967744,0.42727272727272725,0.41386554621848737,0.43033342369205746,0.5714285714285714,0.4,0.47058823529411764,0.35909090909090907,0.5601186635684431,5,6,12,8
jigsaw,jigsaw_multibin,frozen,3,6,6,31,ok,,0.6129032258064516,0.5977272727272727,0.5921052631578947,0.6188455008488963,0.7222222222222222,0.65,0.6842105263157895,0.6954545454545454,0.8052769155509094,6,5,7,13
jigsaw,jigsaw_multibin,frozen,3,7,6,31,ok,,0.5161290322580645,0.4409090909090909,0.43084455324357407,0.49480791250444195,0.6086956521739131,0.7,0.6511627906976745,0.44545454545454544,0.7048362132601307,2,9,6,14
jigsaw,jigsaw_multibin,frozen,3,8,6,31,ok,,0.5161290322580645,0.4818181818181818,0.4816053511705686,0.5204444923940016,0.631578947368421,0.6,0.6153846153846154,0.41363636363636364,0.602296393102125,4,7,8,12
jigsaw,jigsaw_multibin,frozen,3,9,6,31,ok,,0.7096774193548387,0.6113636363636363,0.6042553191489362,0.6635552505147563,0.7037037037037037,0.95,0.8085106382978723,0.7363636363636363,0.8334812626405628,3,8,1,19
jigsaw,jigsaw_multibin,frozen,3,10,6,31,ok,,0.5161290322580645,0.5227272727272727,0.5079365079365079,0.5263696876600102,0.6666666666666666,0.5,0.5714285714285714,0.4909090909090909,0.6558051180600568,6,5,10,10
jigsaw,jigsaw_multibin,frozen,4,1,8,29,ok,,0.4827586206896552,0.48684210526315785,0.4727272727272727,0.4952978056426332,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.45789473684210524,0.634011189588076,5,5,10,9
jigsaw,jigsaw_multibin,frozen,4,2,8,29,ok,,0.3448275862068966,0.381578947368421,0.3448275862068966,0.3448275862068966,0.5,0.2631578947368421,0.3448275862068966,0.45263157894736844,0.6113023585042912,5,5,14,5
jigsaw,jigsaw_multibin,frozen,4,3,8,29,ok,,0.4827586206896552,0.5342105263157895,0.4827586206896552,0.4827586206896552,0.7,0.3684210526315789,0.4827586206896552,0.5842105263157895,0.756944471525616,7,3,12,7
jigsaw,jigsaw_multibin,frozen,4,4,8,29,ok,,0.5517241379310345,0.5394736842105263,0.5316770186335403,0.5617476975797816,0.6875,0.5789473684210527,0.6285714285714286,0.5947368421052631,0.7596930725404707,5,5,8,11
jigsaw,jigsaw_multibin,frozen,4,5,8,29,ok,,0.5172413793103449,0.6078947368421053,0.5120192307692308,0.4963527851458886,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.7368421052631579,0.8462559895401716,9,1,13,6
jigsaw,jigsaw_multibin,frozen,4,6,8,29,ok,,0.5517241379310345,0.5157894736842106,0.5148005148005148,0.5563395908223494,0.6666666666666666,0.631578947368421,0.6486486486486487,0.4473684210526315,0.6078662815745663,4,6,7,12
jigsaw,jigsaw_multibin,frozen,4,7,8,29,ok,,0.4482758620689655,0.4368421052631579,0.43137254901960786,0.4617985125084516,0.6,0.47368421052631576,0.5294117647058824,0.3684210526315789,0.6128143398934474,4,6,10,9
jigsaw,jigsaw_multibin,frozen,4,8,8,29,ok,,0.5172413793103449,0.48947368421052634,0.4873737373737374,0.5257749912922327,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.4894736842105263,0.7005060495039885,4,6,8,11
jigsaw,jigsaw_multibin,frozen,4,9,8,29,ok,,0.6551724137931034,0.618421052631579,0.618421052631579,0.6551724137931034,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7157894736842104,0.8673883718620559,5,5,5,14
jigsaw,jigsaw_multibin,frozen,4,10,8,29,ok,,0.5862068965517241,0.5184210526315789,0.5166666666666666,0.5735632183908046,0.6666666666666666,0.7368421052631579,0.7,0.5263157894736843,0.7001805677356017,3,7,5,14
jigsaw,jigsaw_multibin,frozen,5,1,10,27,ok,,0.4444444444444444,0.4722222222222222,0.4413793103448276,0.45517241379310347,0.6363636363636364,0.3888888888888889,0.4827586206896552,0.5432098765432098,0.7500967369200533,5,4,11,7
jigsaw,jigsaw_multibin,frozen,5,2,10,27,ok,,0.5925925925925926,0.6111111111111112,0.5834502103786816,0.6040205703599812,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.6666666666666667,0.8081347893783395,6,3,8,10
jigsaw,jigsaw_multibin,frozen,5,3,10,27,ok,,0.5925925925925926,0.5,0.49230769230769234,0.5675213675213675,0.6666666666666666,0.7777777777777778,0.717948717948718,0.5925925925925926,0.8264169442868909,2,7,4,14
jigsaw,jigsaw_multibin,frozen,5,4,10,27,ok,,0.48148148148148145,0.4444444444444444,0.4441176470588235,0.492156862745098,0.625,0.5555555555555556,0.5882352941176471,0.5123456790123457,0.7210093201610679,3,6,8,10
jigsaw,jigsaw_multibin,frozen,5,5,10,27,ok,,0.48148148148148145,0.4722222222222222,0.4630681818181818,0.4962121212121212,0.6428571428571429,0.5,0.5625,0.5,0.7555614290686307,4,5,9,9
jigsaw,jigsaw_multibin,frozen,5,6,10,27,ok,,0.5555555555555556,0.5555555555555556,0.5397727272727273,0.5681818181818181,0.7142857142857143,0.5555555555555556,0.625,0.5740740740740741,0.7368301805041833,5,4,8,10
jigsaw,jigsaw_multibin,frozen,5,7,10,27,ok,,0.4444444444444444,0.5277777777777778,0.4413793103448276,0.4275862068965517,0.7142857142857143,0.2777777777777778,0.4,0.6111111111111112,0.7674578834382757,7,2,13,5
jigsaw,jigsaw_multibin,frozen,5,8,10,27,ok,,0.6296296296296297,0.7222222222222222,0.6291208791208791,0.6245421245421247,1.0,0.4444444444444444,0.6153846153846154,0.7530864197530864,0.884459551572667,9,0,10,8
jigsaw,jigsaw_multibin,frozen,5,9,10,27,ok,,0.4074074074074074,0.41666666666666663,0.4,0.4222222222222222,0.5833333333333334,0.3888888888888889,0.4666666666666667,0.40740740740740744,0.6175126227866615,4,5,11,7
jigsaw,jigsaw_multibin,frozen,5,10,10,27,ok,,0.6666666666666666,0.5833333333333334,0.5846153846153846,0.6461538461538462,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.5123456790123457,0.672810902786393,3,6,3,15
jigsaw,jigsaw_multibin,frozen,6,1,12,25,ok,,0.52,0.5147058823529411,0.5,0.5359999999999999,0.6923076923076923,0.5294117647058824,0.6,0.5367647058823529,0.6919114986270332,4,4,8,9
jigsaw,jigsaw_multibin,frozen,6,2,12,25,ok,,0.64,0.6029411764705883,0.5989304812834224,0.6451336898395722,0.75,0.7058823529411765,0.7272727272727273,0.6397058823529411,0.7564712459364182,4,4,5,12
jigsaw,jigsaw_multibin,frozen,6,3,12,25,ok,,0.64,0.5698529411764706,0.5714285714285714,0.6331428571428571,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.6102941176470588,0.7864820940103221,3,5,4,13
jigsaw,jigsaw_multibin,frozen,6,4,12,25,ok,,0.44,0.4227941176470588,0.41666666666666663,0.45866666666666667,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.4779411764705882,0.7219566773588374,3,5,9,8
jigsaw,jigsaw_multibin,frozen,6,5,12,25,ok,,0.36,0.36397058823529416,0.35064935064935066,0.3787012987012987,0.5454545454545454,0.35294117647058826,0.42857142857142855,0.4117647058823529,0.6249574232906048,3,5,11,6
jigsaw,jigsaw_multibin,frozen,6,6,12,25,ok,,0.52,0.5147058823529411,0.5,0.5359999999999999,0.6923076923076923,0.5294117647058824,0.6,0.47794117647058826,0.7346625092724837,4,4,8,9
jigsaw,jigsaw_multibin,frozen,6,7,12,25,ok,,0.64,0.5698529411764706,0.5714285714285714,0.6331428571428571,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.6323529411764706,0.7363784581431639,3,5,4,13
jigsaw,jigsaw_multibin,frozen,6,8,12,25,ok,,0.52,0.48161764705882354,0.47916666666666663,0.5316666666666666,0.6666666666666666,0.5882352941176471,0.625,0.5073529411764706,0.7518470836369888,3,5,7,10
jigsaw,jigsaw_multibin,frozen,6,9,12,25,ok,,0.6,0.5735294117647058,0.5659722222222222,0.6097222222222222,0.7333333333333333,0.6470588235294118,0.6875,0.49999999999999994,0.6925218917952483,4,4,6,11
jigsaw,jigsaw_multibin,frozen,6,10,12,25,ok,,0.52,0.5147058823529411,0.5,0.5359999999999999,0.6923076923076923,0.5294117647058824,0.6,0.5073529411764706,0.7095093608611183,4,4,8,9
jigsaw,jigsaw_multibin,frozen,7,1,14,23,ok,,0.6521739130434783,0.6294642857142857,0.6166666666666667,0.6623188405797101,0.7857142857142857,0.6875,0.7333333333333333,0.5178571428571428,0.7313799017123824,4,3,5,11
jigsaw,jigsaw_multibin,frozen,7,2,14,23,ok,,0.5217391304347826,0.5357142857142857,0.50682261208577,0.5403847783710484,0.7272727272727273,0.5,0.5925925925925926,0.6964285714285714,0.8360903396676425,4,3,8,8
jigsaw,jigsaw_multibin,frozen,7,3,14,23,ok,,0.4782608695652174,0.42410714285714285,0.425,0.4934782608695652,0.6428571428571429,0.5625,0.6,0.4196428571428571,0.7541648416606351,2,5,7,9
jigsaw,jigsaw_multibin,frozen,7,4,14,23,ok,,0.4782608695652174,0.4642857142857143,0.45238095238095233,0.4989648033126293,0.6666666666666666,0.5,0.5714285714285714,0.5,0.7641770524782833,3,4,8,8
jigsaw,jigsaw_multibin,frozen,7,5,14,23,ok,,0.5217391304347826,0.45535714285714285,0.4559139784946237,0.5299672744273025,0.6666666666666666,0.625,0.6451612903225806,0.5625,0.7899498530472796,2,5,6,10
jigsaw,jigsaw_multibin,frozen,7,6,14,23,ok,,0.6956521739130435,0.7410714285714286,0.6861598440545809,0.7075175862361217,0.9090909090909091,0.625,0.7407407407407407,0.6785714285714286,0.8771787423103212,6,1,6,10
jigsaw,jigsaw_multibin,frozen,7,7,14,23,ok,,0.5652173913043478,0.5267857142857143,0.5208333333333333,0.5778985507246377,0.7142857142857143,0.625,0.6666666666666666,0.5267857142857143,0.7689717960259292,3,4,6,10
jigsaw,jigsaw_multibin,frozen,7,8,14,23,ok,,0.4782608695652174,0.5044642857142857,0.46923076923076923,0.4963210702341137,0.7,0.4375,0.5384615384615384,0.5535714285714286,0.7545706117161729,4,3,9,7
jigsaw,jigsaw_multibin,frozen,7,9,14,23,ok,,0.391304347826087,0.36160714285714285,0.3611111111111111,0.41545893719806765,0.5833333333333334,0.4375,0.5,0.3482142857142857,0.6113929932404197,2,5,9,7
jigsaw,jigsaw_multibin,frozen,7,10,14,23,ok,,0.782608695652174,0.7633928571428572,0.7526881720430108,0.7863487611033193,0.8666666666666667,0.8125,0.8387096774193549,0.7321428571428572,0.8567254303667348,5,2,3,13
