family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_episodes
jigsaw,jigsaw_multibin,frozen,2,0.509090909090909,0.08055515974697734,0.49642857142857133,0.06058576499999748,0.460649654512485,0.06743130211137767,0.4875584347474917,0.07209714381025281,0.6374661835748793,0.07362094870980984,0.5428571428571429,0.24197890793853336,0.559315182040843,0.14583325875986636,0.5190476190476191,0.07811627740282102,0.7067462575112675,0.05145312317641429,5.4,3.2041639575194445,6.6,3.2041639575194445,9.6,5.081557066709201,11.4,5.081557066709201,10
jigsaw,jigsaw_multibin,frozen,3,0.5645161290322581,0.0793807691410398,0.531590909090909,0.07504551725612096,0.522202678099062,0.07285190072222356,0.5592150048213227,0.07116730800070879,0.670076982090712,0.06358809253593589,0.645,0.14990737881179236,0.649689581253516,0.08793070832589077,0.5295454545454545,0.12078048145938591,0.6990340245365841,0.09356932517704883,4.6,1.8973665961010275,6.4,1.8973665961010275,7.1,2.9981475762358474,12.9,2.9981475762358474,10
jigsaw,jigsaw_multibin,frozen,4,0.5137931034482759,0.08360044388950884,0.5128947368421053,0.07119273602890264,0.4912644249518701,0.07062724197256023,0.5153633222071796,0.08209174803160346,0.6704734262125902,0.09176030319731568,0.5157894736842106,0.1660653974203401,0.5689164272189787,0.11942378142603155,0.5373684210526315,0.12003000548223965,0.7096962692268285,0.09637166808471197,5.1,1.7288403306519922,4.9,1.7288403306519922,9.2,3.1552425509864626,9.8,3.1552425509864626,10
jigsaw,jigsaw_multibin,frozen,5,0.5296296296296296,0.0891115181857708,0.5305555555555556,0.09114610890610898,0.5019211343262026,0.07728705748190981,0.5303769553628234,0.08236152235449815,0.7066308691308691,0.11672740094076112,0.5277777777777778,0.17223217812720626,0.5872885974360653,0.11397093265280951,0.567283950617284,0.09644259225873766,0.7540290360903164,0.07600944740931159,4.8,2.097617696340303,4.2,2.097617696340303,8.5,3.100179206289712,9.5,3.100179206289712,10
jigsaw,jigsaw_multibin,frozen,6,0.54,0.09285592184789414,0.5128676470588236,0.07420542997745636,0.5054242530345471,0.07726830551786261,0.549817625838214,0.08501727504818538,0.6832206682206682,0.061568383319120124,0.5882352941176471,0.13298686241422092,0.6287391774891775,0.10048146316443483,0.5301470588235293,0.07478101440432758,0.7206698242932219,0.04463929209301527,3.5,0.5270462766947298,4.5,0.5270462766947299,7.0,2.260776661041756,10.0,2.260776661041756,10
jigsaw,jigsaw_multibin,frozen,7,0.5565217391304348,0.11915828864402588,0.540625,0.13247307651204793,0.5246807439400818,0.12318915696616274,0.5708658863056516,0.11401184722748312,0.7262554112554113,0.10110323731335816,0.58125,0.11803512895179412,0.6427094410965378,0.10406688310866527,0.5535714285714286,0.12155105867060799,0.77446015622258,0.07509036004329821,3.5,1.35400640077266,3.5,1.35400640077266,6.7,1.8885620632287057,9.3,1.888562063228706,10
jigsaw,jigsaw_multibin,frozen,8,0.5142857142857142,0.09200874124564722,0.475,0.1034139470499238,0.45423514168400425,0.0878444281540635,0.5234689115161588,0.0817541915166819,0.7042499167499168,0.07987565355633988,0.5666666666666667,0.15475986974649017,0.6157806046256982,0.10013601622394974,0.5111111111111112,0.12306109426545299,0.7655375369957412,0.08340114022226856,2.3,1.4944341180973264,3.7,1.4944341180973264,6.5,2.3213980461973533,8.5,2.3213980461973533,10
jigsaw,jigsaw_multibin,frozen,9,0.6157894736842106,0.07865442726828033,0.5914285714285714,0.07482405666483415,0.5609994811478187,0.06768694760199231,0.6292063471494082,0.0688141934346486,0.8014263514263515,0.05690304822793375,0.6428571428571429,0.13468700594029476,0.7049917538178407,0.08327405496386744,0.65,0.08735207775163874,0.8549991771644248,0.06327652877302112,2.7,0.9486832980505138,2.3,0.9486832980505138,5.0,1.8856180831641267,9.0,1.8856180831641267,10
jigsaw,jigsaw_multibin,frozen,10,0.611764705882353,0.0968556002763017,0.6076923076923076,0.18146800747881167,0.5542437586568021,0.13138474316440768,0.6361725370395448,0.0927747757334706,0.849191919191919,0.12643606494218745,0.6153846153846154,0.06280742930213279,0.7089981178242047,0.06408040542674236,0.6807692307692308,0.13903017140231755,0.8893384368271245,0.05919525679025541,2.4,1.429840705968481,1.6,1.429840705968481,5.0,0.8164965809277259,8.0,0.8164965809277259,10
jigsaw,jigsaw_multibin,frozen,11,0.6066666666666667,0.11525602204346609,0.5791666666666667,0.16833654195695213,0.5252267259818748,0.12068782130118832,0.636908216116454,0.09550914030115569,0.8559415584415584,0.10948616488554011,0.625,0.14829275350043492,0.7113625428728404,0.09055663620882544,0.6055555555555556,0.24734530158613333,0.8612937525437525,0.10471176130533524,1.6,1.0749676997731399,1.4,1.0749676997731399,4.5,1.7795130420052183,7.5,1.7795130420052185,10
