family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
masking,mask_metabolights,frozen,2,1,4,33,ok,,0.5151515151515151,0.5476190476190476,0.5147058823529411,0.5187165775401069,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.5158730158730158,0.6420435530002381,8,4,12,9
masking,mask_metabolights,frozen,2,2,4,33,ok,,0.6060606060606061,0.6547619047619048,0.6060606060606061,0.6060606060606061,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.5912698412698412,0.6851765245258696,10,2,11,10
masking,mask_metabolights,frozen,2,3,4,33,ok,,0.5151515151515151,0.5297619047619048,0.5111111111111111,0.5232323232323232,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.5238095238095238,0.6673351796423589,7,5,11,10
masking,mask_metabolights,frozen,2,4,4,33,ok,,0.45454545454545453,0.4642857142857143,0.45,0.4636363636363637,0.6,0.42857142857142855,0.5,0.39682539682539686,0.587061167924135,6,6,12,9
masking,mask_metabolights,frozen,2,5,4,33,ok,,0.5454545454545454,0.5178571428571429,0.5170731707317073,0.5490022172949002,0.65,0.6190476190476191,0.6341463414634146,0.5357142857142857,0.716812154823967,5,7,8,13
masking,mask_metabolights,frozen,2,6,4,33,ok,,0.36363636363636365,0.4107142857142857,0.3612903225806452,0.350733137829912,0.5,0.23809523809523808,0.3225806451612903,0.44047619047619047,0.5891378535113951,7,5,16,5
masking,mask_metabolights,frozen,2,7,4,33,ok,,0.5757575757575758,0.5059523809523809,0.49782608695652175,0.5517786561264821,0.64,0.7619047619047619,0.6956521739130435,0.5436507936507936,0.6695710464528706,3,9,5,16
masking,mask_metabolights,frozen,2,8,4,33,ok,,0.5151515151515151,0.5654761904761905,0.5147058823529411,0.5106951871657753,0.7272727272727273,0.38095238095238093,0.5,0.5952380952380952,0.750472567638542,9,3,13,8
masking,mask_metabolights,frozen,2,9,4,33,ok,,0.36363636363636365,0.4464285714285714,0.3418803418803419,0.30924630924630925,0.5,0.14285714285714285,0.2222222222222222,0.369047619047619,0.5727996724056874,9,3,18,3
masking,mask_metabolights,frozen,2,10,4,33,ok,,0.42424242424242425,0.4226190476190476,0.41565703634669154,0.43497415911209014,0.5625,0.42857142857142855,0.4864864864864865,0.373015873015873,0.5687023920638206,5,7,12,9
masking,mask_metabolights,frozen,3,1,6,31,ok,,0.4838709677419355,0.45681818181818185,0.45614035087719296,0.4917940011318619,0.6111111111111112,0.55,0.5789473684210527,0.4636363636363636,0.6209487207939265,4,7,9,11
masking,mask_metabolights,frozen,3,2,6,31,ok,,0.4838709677419355,0.4772727272727273,0.4700854700854701,0.49489936586710775,0.625,0.5,0.5555555555555556,0.5681818181818182,0.7174865776505553,5,6,10,10
masking,mask_metabolights,frozen,3,3,6,31,ok,,0.5483870967741935,0.5068181818181818,0.5068181818181818,0.5483870967741935,0.65,0.65,0.65,0.4772727272727273,0.6406480572867412,4,7,7,13
masking,mask_metabolights,frozen,3,4,6,31,ok,,0.5806451612903226,0.5318181818181817,0.5319396051103369,0.5757746056723241,0.6666666666666666,0.7,0.6829268292682927,0.5590909090909091,0.7195116612625954,4,7,6,14
masking,mask_metabolights,frozen,3,5,6,31,ok,,0.41935483870967744,0.40681818181818186,0.40384615384615385,0.4317617866004963,0.5625,0.45,0.5,0.31363636363636366,0.5488900212832984,4,7,11,9
masking,mask_metabolights,frozen,3,6,6,31,ok,,0.5483870967741935,0.5272727272727272,0.5241228070175439,0.5553197509903791,0.6666666666666666,0.6,0.631578947368421,0.5727272727272728,0.7353479392593091,5,6,8,12
masking,mask_metabolights,frozen,3,7,6,31,ok,,0.5483870967741935,0.46590909090909094,0.452020202020202,0.5187357445421961,0.625,0.75,0.6818181818181818,0.5136363636363637,0.6798544604948781,2,9,5,15
masking,mask_metabolights,frozen,3,8,6,31,ok,,0.41935483870967744,0.38636363636363635,0.3881578947368421,0.4282682512733446,0.5555555555555556,0.5,0.5263157894736842,0.3909090909090909,0.5895571832640842,3,8,10,10
masking,mask_metabolights,frozen,3,9,6,31,ok,,0.5806451612903226,0.5727272727272728,0.5643243243243243,0.5888055797733217,0.7058823529411765,0.6,0.6486486486486487,0.5590909090909091,0.6932073668466058,6,5,8,12
masking,mask_metabolights,frozen,3,10,6,31,ok,,0.4838709677419355,0.4977272727272727,0.4789915966386554,0.4936297099484955,0.6428571428571429,0.45,0.5294117647058824,0.36818181818181817,0.567423451572517,6,5,11,9
masking,mask_metabolights,frozen,4,1,8,29,ok,,0.5172413793103449,0.5605263157894737,0.5166666666666666,0.5218390804597701,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.631578947368421,0.7679316130884486,7,3,11,8
masking,mask_metabolights,frozen,4,2,8,29,ok,,0.5517241379310345,0.5631578947368421,0.543030303030303,0.5625914315569488,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.5842105263157895,0.7530222926115842,6,4,9,10
masking,mask_metabolights,frozen,4,3,8,29,ok,,0.5172413793103449,0.513157894736842,0.5024509803921569,0.5290736984448953,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.49473684210526314,0.6320012464457418,5,5,9,10
masking,mask_metabolights,frozen,4,4,8,29,ok,,0.41379310344827586,0.4105263157894737,0.40242424242424246,0.4280041797283177,0.5714285714285714,0.42105263157894735,0.48484848484848486,0.38421052631578945,0.5928229762359389,4,6,11,8
masking,mask_metabolights,frozen,4,5,8,29,ok,,0.4827586206896552,0.5105263157894737,0.48028673835125446,0.4914102088740576,0.6666666666666666,0.42105263157894735,0.5161290322580645,0.6105263157894737,0.7662197059333282,6,4,11,8
masking,mask_metabolights,frozen,4,6,8,29,ok,,0.3793103448275862,0.3131578947368421,0.3131578947368421,0.3793103448275862,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.33157894736842103,0.5677897301244992,1,9,9,10
