family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,-,2,1,4,33,ok,,0.3939393939393939,0.43452380952380953,0.39338235294117646,0.38836898395721925,0.5454545454545454,0.2857142857142857,0.375,0.5515873015873016,0.6196646739136276,7,5,15,6
classical,svm_rbf,-,2,1,4,33,ok,,0.42424242424242425,0.5476190476190477,0.3660262891809909,0.3136317676257009,1.0,0.09523809523809523,0.17391304347826086,0.44047619047619047,0.6723455666617266,12,0,19,2
classical,xgboost,-,2,1,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,2,4,33,ok,,0.5454545454545454,0.625,0.5386766076421249,0.5234262475641787,0.875,0.3333333333333333,0.4827586206896552,0.75,0.8440988163916787,11,1,14,7
classical,svm_rbf,-,2,2,4,33,ok,,0.5151515151515151,0.5833333333333334,0.5111111111111111,0.49898989898989904,0.7777777777777778,0.3333333333333333,0.4666666666666667,0.376984126984127,0.5947264458852559,10,2,14,7
classical,xgboost,-,2,2,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,3,4,33,ok,,0.7272727272727273,0.6785714285714286,0.6857142857142857,0.7168831168831169,0.75,0.8571428571428571,0.8,0.6587301587301587,0.7492420849714947,6,6,3,18
classical,svm_rbf,-,2,3,4,33,ok,,0.6666666666666666,0.6666666666666666,0.6552706552706553,0.6723646723646723,0.7777777777777778,0.6666666666666666,0.717948717948718,0.3650793650793651,0.6549313059248218,8,4,7,14
classical,xgboost,-,2,3,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,4,4,33,ok,,0.5454545454545454,0.5178571428571429,0.5170731707317073,0.5490022172949002,0.65,0.6190476190476191,0.6341463414634146,0.5079365079365079,0.6068935533028553,5,7,8,13
classical,svm_rbf,-,2,4,4,33,ok,,0.48484848484848486,0.5952380952380952,0.45268292682926825,0.4164966740576496,1.0,0.19047619047619047,0.32,0.47619047619047616,0.6514839720902013,12,0,17,4
classical,xgboost,-,2,4,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,5,4,33,ok,,0.6363636363636364,0.6071428571428572,0.6071428571428572,0.6363636363636364,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6626984126984128,0.8029689778939277,6,6,6,15
classical,svm_rbf,-,2,5,4,33,ok,,0.696969696969697,0.6726190476190477,0.6726190476190477,0.696969696969697,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.3055555555555556,0.5611921324641089,7,5,5,16
classical,xgboost,-,2,5,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,6,4,33,ok,,0.696969696969697,0.6369047619047619,0.6413043478260869,0.6798418972332015,0.72,0.8571428571428571,0.782608695652174,0.761904761904762,0.8494397393139992,5,7,3,18
classical,svm_rbf,-,2,6,4,33,ok,,0.6666666666666666,0.5773809523809523,0.5642256902761105,0.6218487394957982,0.6785714285714286,0.9047619047619048,0.7755102040816326,0.3134920634920635,0.5455434530930803,3,9,2,19
classical,xgboost,-,2,6,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,7,4,33,ok,,0.5151515151515151,0.5476190476190476,0.5147058823529411,0.5187165775401069,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.5357142857142858,0.6342590932766504,8,4,12,9
classical,svm_rbf,-,2,7,4,33,ok,,0.5151515151515151,0.44047619047619047,0.4260869565217391,0.4877470355731226,0.6,0.7142857142857143,0.6521739130434783,0.5119047619047619,0.7456876539893211,2,10,6,15
classical,xgboost,-,2,7,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,8,4,33,ok,,0.6666666666666666,0.6488095238095238,0.6458536585365854,0.6692682926829269,0.75,0.7142857142857143,0.7317073170731707,0.6587301587301587,0.7693715741527971,7,5,6,15
classical,svm_rbf,-,2,8,4,33,ok,,0.6060606060606061,0.6369047619047619,0.6046082949308755,0.6111436950146628,0.7857142857142857,0.5238095238095238,0.6285714285714286,0.44444444444444453,0.714567111507495,9,3,10,11
classical,xgboost,-,2,8,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,9,4,33,ok,,0.7272727272727273,0.7142857142857142,0.7102439024390244,0.7294013303769401,0.8,0.7619047619047619,0.7804878048780488,0.8412698412698413,0.9164925964747692,8,4,5,16
classical,svm_rbf,-,2,9,4,33,ok,,0.5151515151515151,0.6011904761904762,0.5037593984962406,0.48325358851674644,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.29365079365079366,0.5646901889582426,11,1,15,6
classical,xgboost,-,2,9,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,2,10,4,33,ok,,0.6363636363636364,0.5535714285714286,0.5416666666666666,0.5984848484848485,0.6666666666666666,0.8571428571428571,0.75,0.4246031746031746,0.5738131100634711,3,9,3,18
classical,svm_rbf,-,2,10,4,33,ok,,0.696969696969697,0.6726190476190477,0.6726190476190477,0.696969696969697,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.6349206349206349,0.7682914457498182,7,5,5,16
classical,xgboost,-,2,10,4,33,ok,,0.36363636363636365,0.5,0.26666666666666666,0.19393939393939394,0.0,0.0,0.0,0.5,0.6363636363636364,12,0,21,0
classical,logistic_regression,-,3,1,6,31,ok,,0.5161290322580645,0.5022727272727273,0.4972972972972973,0.5255448997384482,0.6470588235294118,0.55,0.5945945945945946,0.48636363636363644,0.6243774966584318,5,6,9,11
classical,svm_rbf,-,3,1,6,31,ok,,0.6129032258064516,0.6181818181818182,0.6025641025641025,0.6211745244003308,0.75,0.6,0.6666666666666666,0.35,0.5600851901604235,7,4,8,12
classical,xgboost,-,3,1,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,2,6,31,ok,,0.7096774193548387,0.6727272727272727,0.6759581881533101,0.7063054962346859,0.7619047619047619,0.8,0.7804878048780488,0.6909090909090909,0.7996589919161181,6,5,4,16
classical,svm_rbf,-,3,2,6,31,ok,,0.7419354838709677,0.6772727272727272,0.6868686868686869,0.724991854024112,0.75,0.9,0.8181818181818182,0.3136363636363636,0.5619185804972966,5,6,2,18
classical,xgboost,-,3,2,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,3,6,31,ok,,0.5806451612903226,0.5113636363636364,0.5067319461444308,0.5621668575038496,0.6521739130434783,0.75,0.6976744186046512,0.4772727272727273,0.6411212072776887,3,8,5,15
classical,svm_rbf,-,3,3,6,31,ok,,0.6774193548387096,0.5863636363636364,0.5788043478260869,0.6379733520336606,0.6923076923076923,0.9,0.782608695652174,0.27727272727272734,0.53222553766295,3,8,2,18
classical,xgboost,-,3,3,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,4,6,31,ok,,0.3548387096774194,0.3977272727272727,0.35416666666666663,0.34811827956989244,0.5,0.25,0.3333333333333333,0.4772727272727273,0.5975355671600711,6,5,15,5
classical,svm_rbf,-,3,4,6,31,ok,,0.5483870967741935,0.46590909090909094,0.452020202020202,0.5187357445421961,0.625,0.75,0.6818181818181818,0.6272727272727273,0.7598661355919993,2,9,5,15
classical,xgboost,-,3,4,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,5,6,31,ok,,0.5806451612903226,0.5727272727272728,0.5643243243243243,0.5888055797733217,0.7058823529411765,0.6,0.6486486486486487,0.6,0.7137768745637996,6,5,8,12
classical,svm_rbf,-,3,5,6,31,ok,,0.5483870967741935,0.48636363636363633,0.4833333333333333,0.5365591397849462,0.6363636363636364,0.7,0.6666666666666666,0.4954545454545454,0.67630737138141,3,8,6,14
classical,xgboost,-,3,5,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,6,6,31,ok,,0.6129032258064516,0.5772727272727273,0.5772727272727273,0.6129032258064516,0.7,0.7,0.7,0.5545454545454545,0.6568817923677981,5,6,6,14
classical,svm_rbf,-,3,6,6,31,ok,,0.6451612903225806,0.6431818181818182,0.6313513513513513,0.6520662598081952,0.7647058823529411,0.65,0.7027027027027027,0.6727272727272727,0.8162910859883745,7,4,7,13
classical,xgboost,-,3,6,6,31,ok,,0.3548387096774194,0.5,0.2619047619047619,0.1858678955453149,0.0,0.0,0.0,0.5,0.6451612903225806,11,0,20,0
classical,logistic_regression,-,3,7,6,31,ok,,0.6451612903225806,0.5818181818181818,0.5826193390452876,0.6295258025032574,0.6956521739130435,0.8,0.7441860465116279,0.7363636363636363,0.8484195951107718,4,7,4,16
classical,svm_rbf,-,3,7,6,31,ok,,0.6129032258064516,0.5977272727272727,0.5921052631578947,0.6188455008488963,0.7222222222222222,0.65,0.6842105263157895,0.6181818181818182,0.7731784953681624,6,5,7,13
