family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,-,2,1,4,74,ok,,0.6486486486486487,0.6681547619047619,0.6476190476190475,0.645045045045045,0.5652173913043478,0.8125,0.6666666666666666,0.6979166666666666,0.5901337386158734,22,20,6,26
classical,svm_rbf,-,2,1,4,74,ok,,0.5675675675675675,0.6041666666666666,0.5515151515151515,0.5400491400491401,0.5,0.875,0.6363636363636364,0.27901785714285715,0.324107431886031,14,28,4,28
classical,xgboost,-,2,1,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,2,4,74,ok,,0.527027027027027,0.5126488095238095,0.5119653288110043,0.5235512505156372,0.4482758620689655,0.40625,0.4262295081967213,0.6034226190476191,0.5037172993972979,26,16,19,13
classical,svm_rbf,-,2,2,4,74,ok,,0.5405405405405406,0.5282738095238095,0.5281320330082521,0.5384724559518258,0.4666666666666667,0.4375,0.45161290322580644,0.46726190476190477,0.4814837444579556,26,16,18,14
classical,xgboost,-,2,2,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,3,4,74,ok,,0.6081081081081081,0.6212797619047619,0.6080365296803653,0.6073207454029371,0.5348837209302325,0.71875,0.6133333333333333,0.6436011904761905,0.49936667174252086,22,20,9,23
classical,svm_rbf,-,2,3,4,74,ok,,0.6081081081081081,0.6212797619047619,0.6080365296803653,0.6073207454029371,0.5348837209302325,0.71875,0.6133333333333333,0.36755952380952384,0.3756106874434111,22,20,9,23
classical,xgboost,-,2,3,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,4,4,74,ok,,0.5135135135135135,0.47470238095238093,0.445,0.4713513513513513,0.375,0.1875,0.25,0.6316964285714286,0.5066052065068891,32,10,26,6
classical,svm_rbf,-,2,4,4,74,ok,,0.43243243243243246,0.46279761904761907,0.41710427606901723,0.4043308124328379,0.4074074074074074,0.6875,0.5116279069767442,0.5141369047619048,0.4431316031359729,10,32,10,22
classical,xgboost,-,2,4,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,5,4,74,ok,,0.40540540540540543,0.42038690476190477,0.40366300366300367,0.3993069993069993,0.3695652173913043,0.53125,0.4358974358974359,0.40029761904761907,0.3790634295672206,13,29,15,17
classical,svm_rbf,-,2,5,4,74,ok,,0.3918918918918919,0.4270833333333333,0.36583507903256524,0.3484638704596808,0.38596491228070173,0.6875,0.4943820224719101,0.6529017857142857,0.5785910186067409,7,35,10,22
classical,xgboost,-,2,5,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,6,4,74,ok,,0.33783783783783783,0.33854166666666663,0.3367477592829705,0.34038135446586154,0.28205128205128205,0.34375,0.30985915492957744,0.28348214285714285,0.32020189173870234,14,28,21,11
classical,svm_rbf,-,2,6,4,74,ok,,0.3918918918918919,0.3898809523809524,0.3891029168959824,0.3946808668878014,0.32432432432432434,0.375,0.34782608695652173,0.6123511904761905,0.5554119186113577,17,25,20,12
classical,xgboost,-,2,6,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,7,4,74,ok,,0.5675675675675675,0.5483630952380952,0.5463601532567051,0.5596147872009941,0.5,0.40625,0.4482758620689655,0.6369047619047619,0.5073754038454128,29,13,19,13
classical,svm_rbf,-,2,7,4,74,ok,,0.5945945945945946,0.5684523809523809,0.5626477541371158,0.5786211743658551,0.5454545454545454,0.375,0.4444444444444444,0.44568452380952384,0.4500849480887754,32,10,20,12
classical,xgboost,-,2,7,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,8,4,74,ok,,0.6351351351351351,0.6413690476190477,0.6345344796049022,0.6365366647056787,0.5641025641025641,0.6875,0.6197183098591549,0.6197916666666667,0.5353766527261705,25,17,10,22
classical,svm_rbf,-,2,8,4,74,ok,,0.6081081081081081,0.6324404761904762,0.6045697438732265,0.5995149378233956,0.5306122448979592,0.8125,0.6419753086419753,0.3054315476190476,0.3318080311137267,19,23,6,26
classical,xgboost,-,2,8,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,9,4,74,ok,,0.5540540540540541,0.5327380952380952,0.5292076344707923,0.5438231754021228,0.48,0.375,0.42105263157894735,0.6056547619047619,0.5097956918031169,29,13,20,12
classical,svm_rbf,-,2,9,4,74,ok,,0.5945945945945946,0.5982142857142857,0.5934065934065934,0.5963765963765963,0.5263157894736842,0.625,0.5714285714285714,0.4419642857142857,0.4151111383355389,24,18,12,20
classical,xgboost,-,2,9,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,2,10,4,74,ok,,0.6081081081081081,0.6026785714285714,0.602224281742354,0.6087618665931919,0.5454545454545454,0.5625,0.5538461538461539,0.6741071428571429,0.5558825443958522,27,15,14,18
classical,svm_rbf,-,2,10,4,74,ok,,0.527027027027027,0.5758928571428571,0.48560079443892745,0.46587401701602293,0.47619047619047616,0.9375,0.631578947368421,0.34672619047619047,0.34237857507730374,9,33,2,30
classical,xgboost,-,2,10,4,74,ok,,0.5675675675675675,0.5,0.3620689655172414,0.4109972041006524,0.0,0.0,0.0,0.5,0.43243243243243246,42,0,32,0
classical,logistic_regression,-,5,1,10,68,ok,,0.6764705882352942,0.6737400530503979,0.6719298245614035,0.6776057791537667,0.6129032258064516,0.6551724137931034,0.6333333333333333,0.7117595048629533,0.6703959815555476,27,12,10,19
classical,svm_rbf,-,5,1,10,68,ok,,0.6029411764705882,0.6273209549071619,0.6007827788649707,0.5964659836537355,0.5227272727272727,0.7931034482758621,0.6301369863013698,0.3253757736516357,0.35297610283030995,18,21,6,23
classical,xgboost,-,5,1,10,68,ok,,0.4117647058823529,0.45181255526083114,0.3857271906052394,0.36712896540730117,0.39622641509433965,0.7241379310344828,0.5121951219512195,0.4672855879752432,0.45998427180065316,7,32,8,21
classical,logistic_regression,-,5,2,10,68,ok,,0.7058823529411765,0.7214854111405835,0.7058823529411765,0.7058823529411765,0.6153846153846154,0.8275862068965517,0.7058823529411765,0.8187444739168878,0.7657401062239902,24,15,5,24
