family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
jigsaw,jigsaw_multibin,frozen,2,1,4,38,ok,,0.7894736842105263,0.7661538461538462,0.7661538461538462,0.7894736842105263,0.84,0.84,0.84,0.8523076923076924,0.9348643776461116,9,4,4,21
jigsaw,jigsaw_multibin,frozen,2,2,4,38,ok,,0.5263157894736842,0.5292307692307692,0.5142045454545454,0.538427033492823,0.6842105263157895,0.52,0.5909090909090909,0.5353846153846153,0.6907123551952401,7,6,12,13
jigsaw,jigsaw_multibin,frozen,2,3,4,38,ok,,0.5526315789473685,0.66,0.5447498238195913,0.5258336115129261,1.0,0.32,0.48484848484848486,0.7784615384615384,0.8874974348513249,13,0,17,8
jigsaw,jigsaw_multibin,frozen,2,4,4,38,ok,,0.631578947368421,0.6092307692307692,0.6041666666666667,0.6370614035087719,0.7391304347826086,0.68,0.7083333333333334,0.6892307692307692,0.8178439150631835,7,6,8,17
jigsaw,jigsaw_multibin,frozen,2,5,4,38,ok,,0.6578947368421053,0.74,0.6576576576576576,0.6548127074442863,1.0,0.48,0.6486486486486487,0.8338461538461538,0.9265410757824553,13,0,13,12
jigsaw,jigsaw_multibin,frozen,2,6,4,38,ok,,0.631578947368421,0.6276923076923078,0.6144927536231883,0.6401220442410374,0.7619047619047619,0.64,0.6956521739130435,0.7046153846153846,0.8669267997923047,8,5,9,16
jigsaw,jigsaw_multibin,frozen,2,7,4,38,ok,,0.7105263157894737,0.7615384615384615,0.7087108013937282,0.71597285897671,0.9375,0.6,0.7317073170731707,0.7938461538461539,0.880660608423727,12,1,10,15
jigsaw,jigsaw_multibin,frozen,2,8,4,38,ok,,0.42105263157894735,0.3753846153846154,0.37797619047619047,0.42966791979949875,0.5652173913043478,0.52,0.5416666666666666,0.4461538461538461,0.6136131977819801,3,10,12,13
jigsaw,jigsaw_multibin,frozen,2,9,4,38,ok,,0.5263157894736842,0.6030769230769231,0.525,0.5171052631578947,0.8181818181818182,0.36,0.5,0.6615384615384615,0.7807789879860348,11,2,16,9
jigsaw,jigsaw_multibin,frozen,2,10,4,38,ok,,0.631578947368421,0.6830769230769231,0.6305555555555555,0.6366959064327485,0.8666666666666667,0.52,0.65,0.7907692307692308,0.8723554930574668,11,2,12,13
jigsaw,jigsaw_multibin,frozen,3,1,6,36,ok,,0.7777777777777778,0.8333333333333333,0.775,0.7833333333333334,1.0,0.6666666666666666,0.8,0.9548611111111112,0.9794850706018305,12,0,8,16
jigsaw,jigsaw_multibin,frozen,3,2,6,36,ok,,0.5833333333333334,0.6875,0.5804195804195804,0.5687645687645687,1.0,0.375,0.5454545454545454,0.7847222222222223,0.9026030797905797,12,0,15,9
jigsaw,jigsaw_multibin,frozen,3,3,6,36,ok,,0.75,0.6875,0.6974789915966386,0.7394957983193278,0.7777777777777778,0.875,0.8235294117647058,0.8784722222222223,0.9470425607754891,6,6,3,21
jigsaw,jigsaw_multibin,frozen,3,4,6,36,ok,,0.4444444444444444,0.5,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6111111111111112,0.722594717346415,8,4,16,8
jigsaw,jigsaw_multibin,frozen,3,5,6,36,ok,,0.5833333333333334,0.5625,0.5555555555555556,0.5925925925925926,0.7142857142857143,0.625,0.6666666666666666,0.6388888888888888,0.7688983993169114,6,6,9,15
jigsaw,jigsaw_multibin,frozen,3,6,6,36,ok,,0.75,0.8125,0.7482517482517483,0.7552447552447553,1.0,0.625,0.7692307692307693,0.9027777777777778,0.9563946163700721,12,0,9,15
