family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,n_episodes
jigsaw,jigsaw_multibin,frozen,2,0.6078947368421053,0.10486034036679724,0.6355384615384615,0.11902176332352703,0.594366784080097,0.11001326696764159,0.6085172432777223,0.10600593984128028,0.8212811599155992,0.13921957955394598,0.548,0.15208184930782792,0.6391765715392439,0.11160257570864088,0.7086153846153846,0.1319617819676051,0.8271794245579829,0.10438282305668721,9.4,3.2041639575194445,3.6,3.2041639575194445,11.3,3.802046232695699,13.7,3.802046232695699,10
jigsaw,jigsaw_multibin,frozen,3,0.6555555555555556,0.11579628296935914,0.6875,0.11410886614690958,0.6431935686628715,0.1131746468855483,0.6572357726603604,0.11736342374954992,0.8576336675020885,0.12574531456548657,0.5916666666666667,0.17100826635134872,0.685320180655338,0.13250389578844698,0.7861111111111112,0.12473394181788136,0.8792023209855666,0.08819069624724714,9.4,2.4585451886114367,2.6,2.4585451886114362,9.8,4.1041983924323695,14.2,4.1041983924323695,10
jigsaw,jigsaw_multibin,frozen,4,0.7029411764705882,0.1430499330742825,0.7401185770750989,0.1282514124190704,0.6924811080127614,0.1400199364468061,0.7049944193902206,0.14465212387748638,0.9011655011655012,0.11205513831277661,0.6347826086956522,0.20310548453744756,0.7279354902488957,0.15657256039530687,0.8494071146245059,0.12153320022635006,0.9263971854683261,0.06690754812868692,9.3,2.002775851439974,1.7,2.0027758514399734,8.4,4.671426144361294,14.6,4.671426144361294,10
jigsaw,jigsaw_multibin,frozen,5,0.746875,0.10147565731631294,0.7722727272727272,0.10626495465436915,0.7321998085958041,0.10306352787358401,0.753228859726357,0.09830109786444263,0.9151841948900772,0.09707797073105459,0.7045454545454546,0.12901050277216974,0.7882772782772782,0.0935809041392713,0.8872727272727273,0.08594529192908142,0.9496527576410057,0.04313549730871876,8.4,1.7763883459298973,1.6,1.776388345929897,6.5,2.8382310609877335,15.5,2.8382310609877335,10
jigsaw,jigsaw_multibin,frozen,6,0.74,0.07825251938515122,0.7507936507936508,0.06599985663285791,0.7175919845632528,0.07268722357310764,0.7467129458974084,0.07352943691514979,0.8899873737373737,0.06022978880974454,0.7238095238095238,0.13050669708631407,0.790394387898642,0.07810992460676713,0.8671957671957673,0.06638753467360005,0.9440921745141437,0.02804834132147062,7.0,1.247219128924647,2.0,1.247219128924647,5.8,2.7406406388125952,15.2,2.7406406388125952,10
jigsaw,jigsaw_multibin,frozen,7,0.7714285714285715,0.08940468264532662,0.825,0.08838834764831845,0.7593970780556024,0.09051440430515553,0.7813652487865471,0.0853677774231374,0.9741176470588236,0.06391074129400269,0.7,0.10540925533894596,0.8106561430944733,0.07950021096589156,0.905,0.07026734661277598,0.9645302343666341,0.02923818247564815,7.6,0.9660917830792958,0.4,0.9660917830792958,6.0,2.1081851067789192,14.0,2.1081851067789192,10
jigsaw,jigsaw_multibin,frozen,8,0.75,0.13718547794251731,0.8063909774436089,0.09634057177241644,0.731834654473898,0.13083401237292797,0.7551601616226409,0.14254111010233955,0.9716666666666667,0.050947806747157216,0.6842105263157895,0.2030848579436882,0.7823732532961742,0.15832316953861317,0.9300751879699248,0.06536021795186663,0.9735942452208277,0.029008474695005684,6.5,0.97182531580755,0.5,0.97182531580755,6.0,3.8586123009300755,13.0,3.8586123009300746,10
jigsaw,jigsaw_multibin,frozen,9,0.7833333333333333,0.04303314829119352,0.8388888888888889,0.04498132519070787,0.7606713242481744,0.044140313491355394,0.7970854177448106,0.03984649633753943,0.9790476190476192,0.033761423418782,0.7277777777777777,0.05524605144509742,0.8334995112414468,0.036459738367657854,0.9324074074074075,0.04939236016939453,0.9779675383287355,0.01688701238789844,5.7,0.4830458915396479,0.3,0.48304589153964794,4.9,0.9944289260117531,13.1,0.9944289260117533,10
jigsaw,jigsaw_multibin,frozen,10,0.8136363636363637,0.08145260639827642,0.858235294117647,0.09021525797785407,0.7828527511605932,0.08809395627014399,0.8269371779583883,0.07402459122420128,0.9783653846153847,0.05043623391620586,0.7764705882352941,0.08680762204383784,0.8636742002898844,0.06275276488327039,0.9152941176470588,0.08052117815034104,0.9765166363008287,0.02364396697955425,4.7,0.6749485577105528,0.3,0.6749485577105528,3.8,1.4757295747452437,13.2,1.4757295747452437,10
jigsaw,jigsaw_multibin,frozen,11,0.82,0.05868938953886338,0.8875,0.036680868461789626,0.7841870567120846,0.06201358455880361,0.8366107126507571,0.05184652343793053,1.0,0.0,0.775,0.07336173692357921,0.8715598166098723,0.04521082915421128,0.9453125,0.03983608994994364,0.9871356470219667,0.009056349221488694,4.0,0.0,0.0,0.0,3.6,1.1737877907772674,12.4,1.1737877907772674,10
jigsaw,jigsaw_multibin,frozen,12,0.8388888888888889,0.05524605144509735,0.9033333333333333,0.03314763086705848,0.7864058164058163,0.056190416961295654,0.8565349465349466,0.04675213504303573,1.0,0.0,0.8066666666666666,0.06629526173411691,0.8915995115995117,0.04210154327245165,0.96,0.032793990549894354,0.9927173202614379,0.005954267946321879,3.0,0.0,0.0,0.0,2.9,0.9944289260117533,12.1,0.9944289260117533,10
jigsaw,jigsaw_multibin,frozen,13,0.83125,0.0514545376467853,0.8392857142857142,0.10681165741027598,0.7246739926739927,0.06374718912344308,0.8521080586080586,0.040131844886105245,0.9773809523809524,0.036563966665998225,0.8285714285714285,0.06900655593423538,0.8945860805860806,0.03571652852918249,0.9178571428571429,0.04470234132266333,0.9887087912087912,0.0060593003907916405,1.7,0.4830458915396479,0.3,0.48304589153964794,2.4,0.9660917830792958,11.6,0.966091783079296,10
jigsaw,jigsaw_multibin,unfreeze_last_1,2,0.5947368421052632,0.09939800332782667,0.6236923076923077,0.10701176915495131,0.5812398194526968,0.09988785275797211,0.5942590271768278,0.0995953216238823,0.8117936937204672,0.13661324582241893,0.532,0.16335374022177893,0.6224673105791119,0.11357041468033675,0.7123076923076923,0.13627716661530978,0.8285322351360553,0.10707034392804711,9.3,3.0568684048294332,3.7,3.0568684048294332,11.7,4.083843505544474,13.3,4.083843505544474,10
jigsaw,jigsaw_multibin,unfreeze_last_1,3,0.6555555555555556,0.1250514297491417,0.6895833333333333,0.12086126752460571,0.6430150123625289,0.12256630663833604,0.655932518935179,0.12927192303768864,0.8576228449912661,0.13880024926132511,0.5875,0.18368022736790676,0.6817675320804792,0.14897860421401687,0.788888888888889,0.12279214415138666,0.8807522466250821,0.08847911929067827,9.5,2.5055493963954847,2.5,2.5055493963954847,9.9,4.408325456829762,14.1,4.408325456829762,10
jigsaw,jigsaw_multibin,unfreeze_last_1,4,0.7176470588235293,0.14016522353460006,0.7486166007905138,0.13082612537548155,0.7063085515153185,0.13760459368226924,0.7209236496708854,0.13971255831163215,0.9005129717204021,0.11200079357935688,0.6608695652173913,0.18984954079782973,0.7477179962894248,0.14682366626986845,0.8505928853754942,0.12075010763403884,0.9260848721759103,0.06872991229013471,9.2,2.043961295567453,1.8,2.043961295567452,7.8,4.366539438350084,15.2,4.366539438350085,10
jigsaw,jigsaw_multibin,unfreeze_last_1,5,0.753125,0.10359216575376515,0.7768181818181819,0.10421445184948362,0.7380478363797722,0.10553190941388811,0.7587472266350901,0.10068118105804291,0.9175324675324674,0.0932372317498706,0.7136363636363636,0.14059103890499453,0.7932462103939533,0.09630616200240558,0.8922727272727273,0.08348608589524578,0.9526359521496935,0.04223456288632679,8.4,1.7763883459298973,1.6,1.776388345929897,6.3,3.093002855909879,15.7,3.0930028559098792,10
jigsaw,jigsaw_multibin,unfreeze_last_1,6,0.7366666666666667,0.08081376242652531,0.7484126984126984,0.06502234349691713,0.7144128720091403,0.07436524860550026,0.7432145692740318,0.07629839187849047,0.8899873737373737,0.06022978880974454,0.719047619047619,0.137372676339167,0.7864171151713693,0.0825665838622015,0.8730158730158731,0.06518419263695352,0.9470564268378224,0.026911871479900658,7.0,1.247219128924647,2.0,1.247219128924647,5.9,2.884826203122507,15.1,2.884826203122507,10
jigsaw,jigsaw_multibin,unfreeze_last_1,7,0.7678571428571429,0.09411540655263036,0.8225,0.09029273380387692,0.7560157711904245,0.09456512368677004,0.7775897554626667,0.0905466022482275,0.9741176470588236,0.06391074129400269,0.6950000000000001,0.11413929112175956,0.8063550678256561,0.08643162106658489,0.905625,0.06484824699935138,0.9648581142143854,0.026230752837899062,7.6,0.9660917830792958,0.4,0.9660917830792958,6.1,2.282785822435191,13.9,2.282785822435191,10
jigsaw,jigsaw_multibin,unfreeze_last_1,8,0.7461538461538462,0.14183914549681367,0.8037593984962406,0.09877993924760899,0.7281547602940037,0.1349961171430424,0.750858777821257,0.14740974648428715,0.9716666666666667,0.050947806747157216,0.6789473684210525,0.20972068073359448,0.7773467982697191,0.16394285444714307,0.9360902255639096,0.061620505529545115,0.975892556328003,0.026183200816463508,6.5,0.97182531580755,0.5,0.97182531580755,6.1,3.9846929339382946,12.9,3.9846929339382946,10
jigsaw,jigsaw_multibin,unfreeze_last_1,9,0.7875,0.04585437227560881,0.836111111111111,0.054700205510155316,0.7632519694094647,0.04922767655607878,0.8009563854867461,0.04258251298758225,0.9713553113553115,0.0370592677940793,0.7388888888888889,0.04573736679714251,0.8386608015640273,0.036365827444700904,0.9296296296296298,0.05402557157294084,0.9763463910563678,0.02067214278670566,5.6,0.5163977794943222,0.4,0.5163977794943222,4.7,0.8232726023485646,13.3,0.8232726023485647,10
jigsaw,jigsaw_multibin,unfreeze_last_1,10,0.8136363636363637,0.07858365139327236,0.858235294117647,0.08914347433078411,0.7826125167935513,0.08552793257525264,0.8269655070634695,0.07147443198426251,0.9783653846153847,0.05043623391620586,0.7764705882352941,0.08225951750354127,0.8639263322884012,0.060177318255589925,0.9176470588235294,0.07843137254901963,0.9771470654590761,0.023153184948460557,4.7,0.6749485577105528,0.3,0.6749485577105528,3.8,1.3984117975602022,13.2,1.3984117975602022,10
jigsaw,jigsaw_multibin,unfreeze_last_1,11,0.82,0.05868938953886338,0.8875,0.036680868461789626,0.7841870567120846,0.06201358455880361,0.8366107126507571,0.05184652343793053,1.0,0.0,0.775,0.07336173692357921,0.8715598166098723,0.04521082915421128,0.9453125,0.03845006005269116,0.9871616886886333,0.0086989667577439,4.0,0.0,0.0,0.0,3.6,1.1737877907772674,12.4,1.1737877907772674,10
jigsaw,jigsaw_multibin,unfreeze_last_1,12,0.8333333333333334,0.05237828008789236,0.9,0.03142696805273547,0.7802550227550227,0.05303678330491272,0.8518391793391793,0.04432975972594285,1.0,0.0,0.8,0.06285393610547092,0.8876312576312577,0.040049710705897114,0.9577777777777777,0.036962888740369355,0.9922411297852474,0.006865296742405553,3.0,0.0,0.0,0.0,3.0,0.9428090415820634,12.0,0.9428090415820634,10
jigsaw,jigsaw_multibin,unfreeze_last_1,13,0.825,0.04930066485916347,0.8357142857142857,0.11193008831945866,0.7176898656898658,0.06864920560696089,0.8473858363858364,0.03991659710931931,0.9768315018315018,0.037410414400044556,0.8214285714285714,0.06070261325705693,0.8906178266178266,0.033666695398612945,0.9142857142857143,0.045175395145262566,0.9879807692307692,0.006431147329016589,1.7,0.4830458915396479,0.3,0.48304589153964794,2.5,0.8498365855987975,11.5,0.8498365855987976,10
jigsaw,jigsaw_multibin,unfreeze_last_2,2,0.6052631578947368,0.09528754816842297,0.6390769230769231,0.10795620900982882,0.5947147050364517,0.09909125846524669,0.6064543369700148,0.0966952316398321,0.8281914271845622,0.13259214566021157,0.532,0.13862819979274696,0.6318902061594014,0.1040394993910614,0.7218461538461538,0.1379111568347071,0.8358169248777252,0.10539991923688717,9.7,2.9078437983419185,3.3,2.9078437983419185,11.7,3.465704994818675,13.3,3.465704994818675,10
jigsaw,jigsaw_multibin,unfreeze_last_2,3,0.65,0.12709155508721104,0.6854166666666666,0.1220524388920851,0.6376756859396112,0.12457003525976715,0.6499705120546995,0.13162764804096308,0.85643236880079,0.1397601659008556,0.5791666666666667,0.18680426476216577,0.6745601642848761,0.15209794608745977,0.7927083333333333,0.11697318365524831,0.8828156716822544,0.08633997929030632,9.5,2.5055493963954847,2.5,2.5055493963954847,10.1,4.483302354291979,13.9,4.483302354291979,10
jigsaw,jigsaw_multibin,unfreeze_last_2,4,0.7088235294117646,0.13186183394976406,0.7444664031620554,0.12218223945431568,0.6984607878997712,0.12891582877288385,0.7122774220852832,0.13147722110052493,0.9050752352222939,0.10929860029089583,0.6434782608695653,0.1842347661689357,0.7376079180920553,0.13943340739920002,0.8565217391304347,0.11729729522394264,0.9303401890464512,0.06469949352319586,9.3,2.002775851439973,1.7,2.0027758514399734,8.2,4.237399621885522,14.8,4.237399621885522,10
jigsaw,jigsaw_multibin,unfreeze_last_2,5,0.753125,0.09931405363794188,0.7740909090909092,0.10340950715866941,0.7368810800241561,0.10134559710327165,0.7587069056014898,0.09621997736686298,0.9131433656605281,0.09491651071282572,0.7181818181818181,0.1334710033063348,0.7950832815637127,0.09149236388880372,0.8931818181818182,0.08244011656408602,0.9521559619971358,0.041782659279542146,8.3,1.8287822299126937,1.7,1.8287822299126937,6.2,2.936362072739365,15.8,2.936362072739365,10
jigsaw,jigsaw_multibin,unfreeze_last_2,6,0.7266666666666667,0.06245986365580091,0.7444444444444445,0.05288359126653234,0.7058225906396498,0.05711661918031563,0.7344582897266039,0.059658653525714124,0.8929211229946524,0.05732330721868831,0.7,0.1145719519531339,0.777411838357035,0.06748989335170417,0.8751322751322752,0.06628202917491086,0.9475921585069775,0.027485592231830457,7.1,1.1972189997378646,1.9,1.1972189997378648,6.3,2.4060109910158114,14.7,2.4060109910158114,10
jigsaw,jigsaw_multibin,unfreeze_last_2,7,0.775,0.09074209047695005,0.8275,0.08952032667997191,0.7628093520561117,0.09181856614895077,0.7847556958744731,0.08667801880691449,0.9741176470588236,0.06391074129400269,0.705,0.1065885130354632,0.8140174876322884,0.08080488094328943,0.9087500000000001,0.06436117704883208,0.9661330974784553,0.02625145718967713,7.6,0.9660917830792958,0.4,0.9660917830792958,5.9,2.131770260709264,14.1,2.131770260709264,10
jigsaw,jigsaw_multibin,unfreeze_last_2,8,0.7461538461538462,0.12973446810947198,0.8037593984962406,0.09065617100242389,0.7283631325317877,0.12210155031294172,0.7524202348827141,0.13231472475988285,0.9716666666666667,0.050947806747157216,0.6789473684210525,0.19449170599179771,0.7804868542921282,0.1462097886359911,0.9375939849624061,0.0608821403087479,0.976476772050723,0.02632623040132256,6.5,0.97182531580755,0.5,0.97182531580755,6.1,3.6953424138441564,12.9,3.6953424138441564,10
jigsaw,jigsaw_multibin,unfreeze_last_2,9,0.8041666666666666,0.055728896243719114,0.8472222222222223,0.06036298523335785,0.7796918921527556,0.06032038468424006,0.8162150090974807,0.05170893445304019,0.9719047619047618,0.03629683619077999,0.7611111111111111,0.058852772526187785,0.8527381260422058,0.04340810321168451,0.9333333333333333,0.048761525081806215,0.9778260194574357,0.017797925526029025,5.6,0.5163977794943222,0.4,0.5163977794943222,4.3,1.0593499054713802,13.7,1.0593499054713804,10
jigsaw,jigsaw_multibin,unfreeze_last_2,10,0.8136363636363637,0.06926745121613614,0.858235294117647,0.08029405779403548,0.781968903825133,0.07710247882064775,0.8267700332751147,0.06328285602321929,0.9794642857142858,0.047254932315240035,0.7764705882352941,0.07744477512992742,0.8641043078167661,0.0526012318725781,0.9141176470588235,0.08752217272756799,0.9758867601469131,0.026871104053275766,4.7,0.6749485577105528,0.3,0.6749485577105528,3.8,1.3165611772087666,13.2,1.3165611772087666,10
jigsaw,jigsaw_multibin,unfreeze_last_2,11,0.825,0.054006172486732174,0.88125,0.04841229182759272,0.7860104185354463,0.05999162530027408,0.840451168491213,0.048053490877380874,0.9928571428571429,0.022587697572631266,0.7875,0.06718548123582126,0.8767450017950574,0.04073117545961911,0.9453125,0.03914920931867945,0.9871058851172048,0.008956756729734694,3.9,0.31622776601683794,0.1,0.31622776601683794,3.4,1.0749676997731399,12.6,1.07496769977314,10
jigsaw,jigsaw_multibin,unfreeze_last_2,12,0.8277777777777778,0.055246051445097366,0.8966666666666667,0.033147630867058464,0.7747849372849372,0.05605561072087394,0.8471668146668148,0.046725859377470744,1.0,0.0,0.7933333333333333,0.06629526173411693,0.8833577533577535,0.04212676582169609,0.9577777777777777,0.0398212742391574,0.9921325863678805,0.007474222556693393,3.0,0.0,0.0,0.0,3.1,0.9944289260117533,11.9,0.9944289260117533,10
jigsaw,jigsaw_multibin,unfreeze_last_2,13,0.81875,0.05472468973568207,0.8321428571428571,0.11791124299442272,0.7122197802197803,0.07682632673678275,0.842813186813187,0.04474005079923694,0.976190476190476,0.03847364966203437,0.8142857142857143,0.06023386019368339,0.8863443223443224,0.03650334133388182,0.9178571428571429,0.04776762535175927,0.9886630036630036,0.006664667504538351,1.7,0.4830458915396479,0.3,0.48304589153964794,2.6,0.8432740427115678,11.4,0.8432740427115679,10
jigsaw,jigsaw_multibin,unfreeze_last_3,2,0.6157894736842106,0.09939800332782664,0.6526153846153846,0.11011630931841691,0.6061525640457462,0.103743310871584,0.6167629805569307,0.10183077006908334,0.8410986915449158,0.13129754617083594,0.536,0.1400952057233461,0.6397522163311637,0.10906451508769076,0.7295384615384616,0.1334709349139286,0.8398207756142957,0.10485889122941525,10.0,2.8284271247461903,3.0,2.8284271247461903,11.6,3.5023801430836525,13.4,3.5023801430836525,10
jigsaw,jigsaw_multibin,unfreeze_last_3,3,0.65,0.1201565051667284,0.6895833333333333,0.11345190556594105,0.64015742154388,0.11767366002281286,0.651026797820893,0.12455544497354883,0.8640288600288601,0.13625818655025612,0.5708333333333333,0.17683124758779706,0.672765550374919,0.14333594033334537,0.7940972222222222,0.11483499766603156,0.8847867087097022,0.0814825903149796,9.7,2.2632326929023936,2.3,2.2632326929023945,10.3,4.243949942107129,13.7,4.243949942107129,10
jigsaw,jigsaw_multibin,unfreeze_last_3,4,0.7147058823529411,0.14345251341926799,0.7535573122529644,0.13558026052544786,0.7062088986155487,0.14144047599982482,0.7188012645787071,0.1427229769227037,0.910614973262032,0.11746635774121682,0.6434782608695653,0.1842347661689357,0.7418872688444972,0.14749533307737211,0.8565217391304347,0.11775516643082455,0.9308478110080418,0.0634181912501427,9.5,1.957890020745121,1.5,1.9578900207451218,8.2,4.237399621885522,14.8,4.237399621885522,10
jigsaw,jigsaw_multibin,unfreeze_last_3,5,0.7625,0.10845345904016974,0.7890909090909091,0.11232986318629927,0.7491933040993255,0.11153450093653948,0.7688631820730217,0.10523150093354038,0.9251442331318491,0.09367112008975058,0.7181818181818181,0.12998551872440742,0.8016463120291821,0.09718917798646727,0.89,0.0865574645770823,0.9508407935143823,0.04301535900937998,8.6,1.7126976771553504,1.4,1.7126976771553504,6.2,2.859681411936962,15.8,2.859681411936962,10
jigsaw,jigsaw_multibin,unfreeze_last_3,6,0.7533333333333333,0.08491099188685693,0.773015873015873,0.07750916434806346,0.7338192521303394,0.08156472624845712,0.7596941123117316,0.0810483055853253,0.912974049962541,0.07069063046047319,0.7238095238095238,0.1361753053303315,0.79850640258382,0.08382268597263286,0.8835978835978835,0.07076685237297664,0.9509297932576637,0.03056696631951792,7.4,1.429840705968481,1.6,1.429840705968481,5.8,2.859681411936962,15.2,2.859681411936962,10
jigsaw,jigsaw_multibin,unfreeze_last_3,7,0.7785714285714286,0.08039020483873394,0.8262499999999999,0.07849495737519283,0.7648120209628054,0.08119967863070976,0.7878689054671166,0.07698175019863203,0.969812091503268,0.060175464889006526,0.7150000000000001,0.10287532908007307,0.8186114181395316,0.07287668496839471,0.900625,0.063221529604681,0.9628125609626537,0.025896622222566675,7.5,0.97182531580755,0.5,0.97182531580755,5.7,2.0575065816014617,14.3,2.057506581601462,10
jigsaw,jigsaw_multibin,unfreeze_last_3,8,0.7576923076923077,0.11757186172420901,0.811654135338346,0.08488899764527258,0.7394088299753185,0.11071750414178133,0.7649679141723772,0.11832122847360779,0.9716666666666667,0.050947806747157216,0.6947368421052632,0.17683653569619864,0.7947868457356123,0.12928175013034246,0.9338345864661655,0.05832656925429116,0.9752079236232465,0.02564889114214625,6.5,0.97182531580755,0.5,0.97182531580755,5.8,3.359894178227774,13.2,3.359894178227774,10
jigsaw,jigsaw_multibin,unfreeze_last_3,9,0.7958333333333333,0.04988412498907771,0.8416666666666666,0.055632662539999274,0.771334203036053,0.053201246755292524,0.8084964025932955,0.04631580248583008,0.9719047619047618,0.03629683619077999,0.75,0.053990295322641685,0.8456586021505377,0.03999441929621196,0.9342592592592593,0.0479041777128165,0.9779773075827952,0.016876236330575948,5.6,0.5163977794943222,0.4,0.5163977794943222,4.5,0.9718253158075499,13.5,0.9718253158075499,10
jigsaw,jigsaw_multibin,unfreeze_last_3,10,0.8,0.08886592908251625,0.8494117647058823,0.08561243284832164,0.7696494225401345,0.09174070845942922,0.8137914409861777,0.08197817697871249,0.9794642857142858,0.047254932315240035,0.7588235294117647,0.10899562438970427,0.8505764563578803,0.07546337161919554,0.9129411764705881,0.08595305532735674,0.9745562742514574,0.02839102055105865,4.7,0.6749485577105528,0.3,0.6749485577105528,4.1,1.8529256146249726,12.9,1.8529256146249728,10
jigsaw,jigsaw_multibin,unfreeze_last_3,11,0.825,0.05400617248673213,0.871875,0.06327642728536431,0.7831524846430297,0.06427304494732362,0.8400742784591506,0.048635744466616275,0.9851648351648352,0.031302075583959144,0.79375,0.059292706128157104,0.8780221410032312,0.03872436227119323,0.946875,0.03911454865733039,0.9875523136886333,0.008883876598773262,3.8,0.42163702135578396,0.2,0.42163702135578396,3.3,0.9486832980505138,12.7,0.9486832980505137,10
jigsaw,jigsaw_multibin,unfreeze_last_3,12,0.8333333333333334,0.05856069741052549,0.9,0.03513641844631535,0.7809357309357309,0.05967798212420592,0.8518625818625818,0.049524708703695894,1.0,0.0,0.8,0.0702728368926307,0.8873260073260074,0.04450741780605225,0.9555555555555555,0.03777051491550212,0.9916881419234361,0.007091812721070163,3.0,0.0,0.0,0.0,3.0,1.0540925533894598,12.0,1.0540925533894598,10
