family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
joint_ssl,joint_ssl_metabolights,frozen,2,1,4,38,ok,,0.6052631578947368,0.5707692307692308,0.5691609977324263,0.6085451724549469,0.7083333333333334,0.68,0.6938775510204082,0.7384615384615384,0.8842263820584505,6,7,8,17
joint_ssl,joint_ssl_metabolights,frozen,2,2,4,38,ok,,0.5526315789473685,0.5676923076923077,0.5447498238195913,0.5636660361262563,0.7222222222222222,0.52,0.6046511627906976,0.6369230769230769,0.7841959527845976,8,5,12,13
joint_ssl,joint_ssl_metabolights,frozen,2,3,4,38,ok,,0.5,0.62,0.48243727598566305,0.45232974910394264,1.0,0.24,0.3870967741935484,0.7846153846153846,0.9013628445517503,13,0,19,6
joint_ssl,joint_ssl_metabolights,frozen,2,4,4,38,ok,,0.4473684210526316,0.4876923076923077,0.446985446985447,0.45158113579166215,0.6428571428571429,0.36,0.46153846153846156,0.5507692307692307,0.7329486343128369,8,5,16,9
joint_ssl,joint_ssl_metabolights,frozen,2,5,4,38,ok,,0.6578947368421053,0.74,0.6576576576576576,0.6548127074442863,1.0,0.48,0.6486486486486487,0.803076923076923,0.9060979769998547,13,0,13,12
joint_ssl,joint_ssl_metabolights,frozen,2,6,4,38,ok,,0.8421052631578947,0.8246153846153846,0.8246153846153846,0.8421052631578947,0.88,0.88,0.88,0.9323076923076923,0.9706938349007317,10,3,3,22
joint_ssl,joint_ssl_metabolights,frozen,2,7,4,38,ok,,0.5263157894736842,0.6215384615384616,0.5210084033613445,0.5050862450243255,0.8888888888888888,0.32,0.47058823529411764,0.6553846153846153,0.7786727849605019,12,1,17,8
joint_ssl,joint_ssl_metabolights,frozen,2,8,4,38,ok,,0.39473684210526316,0.37384615384615383,0.3734767025089606,0.40992265610262213,0.55,0.44,0.4888888888888889,0.4523076923076923,0.6530161184667947,4,9,14,11
joint_ssl,joint_ssl_metabolights,frozen,2,9,4,38,ok,,0.5789473684210527,0.6615384615384616,0.5777777777777777,0.5707602339181287,0.9090909090909091,0.4,0.5555555555555556,0.7507692307692307,0.858594011882228,12,1,15,10
joint_ssl,joint_ssl_metabolights,frozen,2,10,4,38,ok,,0.631578947368421,0.7015384615384616,0.631578947368421,0.631578947368421,0.9230769230769231,0.48,0.631578947368421,0.8184615384615385,0.9093406634882888,12,1,13,12
joint_ssl,joint_ssl_metabolights,frozen,3,1,6,36,ok,,0.6388888888888888,0.7291666666666666,0.6386100386100386,0.6352638352638353,1.0,0.4583333333333333,0.6285714285714286,0.84375,0.9284796244555784,12,0,13,11
joint_ssl,joint_ssl_metabolights,frozen,3,2,6,36,ok,,0.5555555555555556,0.6666666666666666,0.55,0.5333333333333333,1.0,0.3333333333333333,0.5,0.7569444444444444,0.875181195293979,12,0,16,8
joint_ssl,joint_ssl_metabolights,frozen,3,3,6,36,ok,,0.75,0.7083333333333334,0.712511091393079,0.7471162377994677,0.8,0.8333333333333334,0.8163265306122449,0.8506944444444445,0.9396050089230419,7,5,4,20
joint_ssl,joint_ssl_metabolights,frozen,3,4,6,36,ok,,0.2777777777777778,0.375,0.2571428571428571,0.21587301587301588,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.3819444444444444,0.588337821661923,8,4,22,2
joint_ssl,joint_ssl_metabolights,frozen,3,5,6,36,ok,,0.6944444444444444,0.7291666666666667,0.6884343036978757,0.7028586414896407,0.8823529411764706,0.625,0.7317073170731707,0.7534722222222223,0.8866850724222552,10,2,9,15
joint_ssl,joint_ssl_metabolights,frozen,3,6,6,36,ok,,0.5,0.625,0.4857142857142857,0.4571428571428572,1.0,0.25,0.4,0.857638888888889,0.9172833173955884,12,0,18,6
joint_ssl,joint_ssl_metabolights,frozen,3,7,6,36,ok,,0.6111111111111112,0.6875,0.6111111111111112,0.6111111111111112,0.9166666666666666,0.4583333333333333,0.6111111111111112,0.8541666666666666,0.9222186471229072,11,1,13,11
joint_ssl,joint_ssl_metabolights,frozen,3,8,6,36,ok,,0.7222222222222222,0.7708333333333333,0.71875,0.7291666666666666,0.9375,0.625,0.75,0.829861111111111,0.924221219069666,11,1,9,15
joint_ssl,joint_ssl_metabolights,frozen,3,9,6,36,ok,,0.6388888888888888,0.625,0.6148148148148148,0.6469135802469136,0.7619047619047619,0.6666666666666666,0.7111111111111111,0.7152777777777778,0.8539200826962369,7,5,8,16
