family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
classical,logistic_regression,-,2,1,4,38,ok,,0.7631578947368421,0.8015384615384615,0.7589852008456659,0.7689996661844888,0.9444444444444444,0.68,0.7906976744186046,0.9138461538461539,0.9541255057714344,12,1,8,17
classical,svm_rbf,-,2,1,4,38,ok,,0.7631578947368421,0.7276923076923076,0.7317647058823529,0.7607430340557275,0.8076923076923077,0.84,0.8235294117647058,0.14769230769230768,0.5449947801526749,8,5,4,21
classical,xgboost,-,2,1,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,2,4,38,ok,,0.7894736842105263,0.6923076923076923,0.7088122605363985,0.757209114740875,0.7575757575757576,1.0,0.8620689655172413,0.8400000000000001,0.9230811107827444,5,8,0,25
classical,svm_rbf,-,2,2,4,38,ok,,0.3684210526315789,0.52,0.29846153846153844,0.228502024291498,1.0,0.04,0.07692307692307693,0.05538461538461539,0.4653589184543832,13,0,24,1
classical,xgboost,-,2,2,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,3,4,38,ok,,0.4473684210526316,0.58,0.4145267791636097,0.37073792331158045,1.0,0.16,0.27586206896551724,0.6092307692307692,0.8310683887424126,13,0,21,4
classical,svm_rbf,-,2,3,4,38,ok,,0.7631578947368421,0.8200000000000001,0.7616724738675958,0.7676141573445809,1.0,0.64,0.7804878048780488,0.049230769230769224,0.4631590031306289,13,0,9,16
classical,xgboost,-,2,3,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,4,4,38,ok,,0.7105263157894737,0.78,0.7103257103257103,0.7127329758908707,1.0,0.56,0.717948717948718,0.9446153846153846,0.9742605015122178,13,0,11,14
classical,svm_rbf,-,2,4,4,38,ok,,0.7631578947368421,0.8200000000000001,0.7616724738675958,0.7676141573445809,1.0,0.64,0.7804878048780488,0.024615384615384605,0.4711335125626349,13,0,9,16
classical,xgboost,-,2,4,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,5,4,38,ok,,0.6052631578947368,0.7,0.602787456445993,0.5928846506510177,1.0,0.4,0.5714285714285714,0.7969230769230768,0.9131426253243591,13,0,15,10
classical,svm_rbf,-,2,5,4,38,ok,,0.7894736842105263,0.8400000000000001,0.7871148459383753,0.7941913607548282,1.0,0.68,0.8095238095238095,0.046153846153846156,0.4700080663453481,13,0,8,17
classical,xgboost,-,2,5,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,6,4,38,ok,,0.8421052631578947,0.8430769230769231,0.8303571428571428,0.8444548872180452,0.9130434782608695,0.84,0.875,0.9630769230769232,0.9823555555555555,11,2,4,21
classical,svm_rbf,-,2,6,4,38,ok,,0.6842105263157895,0.5938461538461539,0.5928571428571429,0.6537593984962405,0.7096774193548387,0.88,0.7857142857142857,0.15384615384615385,0.5701246502825449,4,9,3,22
classical,xgboost,-,2,6,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,7,4,38,ok,,0.7894736842105263,0.8215384615384616,0.7840909090909092,0.7948564593301436,0.9473684210526315,0.72,0.8181818181818182,0.8738461538461539,0.9455265417721186,12,1,7,18
classical,svm_rbf,-,2,7,4,38,ok,,0.8947368421052632,0.9199999999999999,0.8898550724637682,0.8971777269260107,1.0,0.84,0.9130434782608695,0.00923076923076923,0.48601791677908257,13,0,4,21
classical,xgboost,-,2,7,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,8,4,38,ok,,0.7368421052631579,0.6707692307692308,0.6801346801346801,0.7226652489810385,0.7586206896551724,0.88,0.8148148148148148,0.8153846153846154,0.911421112197327,6,7,3,22
classical,svm_rbf,-,2,8,4,38,ok,,0.8157894736842105,0.7676923076923077,0.7817883511074651,0.8089892491688615,0.8214285714285714,0.92,0.8679245283018868,0.23384615384615381,0.5308231886873911,8,5,2,23
classical,xgboost,-,2,8,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
classical,logistic_regression,-,2,9,4,38,ok,,0.7368421052631579,0.8,0.7361111111111112,0.7404970760233919,1.0,0.6,0.75,0.9292307692307692,0.9676128106349006,13,0,10,15
classical,svm_rbf,-,2,9,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.23384615384615381,0.5760273455888916,13,0,25,0
classical,xgboost,-,2,9,4,38,ok,,0.34210526315789475,0.5,0.2549019607843137,0.17440660474716202,0.0,0.0,0.0,0.5,0.6578947368421053,13,0,25,0
