family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
jigsaw,jigsaw_multibin,frozen,2,1,6,107,ok,,0.4953271028037383,0.3580246913580247,0.30786896318811213,0.402033917563844,0.30895158481365376,0.3580246913580247,0.5701300690140239,"[[4, 15, 5], [1, 49, 4], [6, 23, 0]]"
jigsaw,jigsaw_multibin,frozen,2,2,6,107,ok,,0.45794392523364486,0.377234993614304,0.33577909849096294,0.4141087277472514,0.3633814102564103,0.377234993614304,0.6459523437418754,"[[9, 12, 3], [15, 39, 0], [15, 13, 1]]"
jigsaw,jigsaw_multibin,frozen,2,3,6,107,ok,,0.40186915887850466,0.37026394210302255,0.3687588178742212,0.40934073018620526,0.37040906788247213,0.37026394210302255,0.5485473126809456,"[[6, 8, 10], [17, 26, 11], [5, 13, 11]]"
jigsaw,jigsaw_multibin,frozen,2,4,6,107,ok,,0.27102803738317754,0.36632609621115364,0.24967702548347712,0.19527409581675484,0.35507246376811596,0.36632609621115364,0.5664935329050476,"[[16, 0, 8], [37, 1, 16], [16, 1, 12]]"
jigsaw,jigsaw_multibin,frozen,2,5,6,107,ok,,0.21495327102803738,0.285387398893146,0.19720057720057724,0.15512966783994822,0.47189542483660135,0.285387398893146,0.5075914972116564,"[[11, 0, 13], [22, 1, 31], [18, 0, 11]]"
jigsaw,jigsaw_multibin,frozen,2,6,6,107,ok,,0.35514018691588783,0.410972754363559,0.3379313997048212,0.3154515959042502,0.4577677224736048,0.410972754363559,0.5749319245816621,"[[7, 3, 14], [5, 8, 41], [5, 1, 23]]"
jigsaw,jigsaw_multibin,frozen,2,7,6,107,ok,,0.4485981308411215,0.3532354193273733,0.3247354497354497,0.402369826435247,0.46990740740740744,0.3532354193273733,0.649491050597428,"[[6, 17, 1], [14, 40, 0], [12, 15, 2]]"
jigsaw,jigsaw_multibin,frozen,2,8,6,107,ok,,0.5420560747663551,0.4841421881651767,0.4818454818454818,0.5323888034168408,0.5053555579871369,0.4841421881651767,0.6559264880395859,"[[6, 11, 7], [2, 37, 15], [5, 9, 15]]"
jigsaw,jigsaw_multibin,frozen,2,9,6,107,ok,,0.4392523364485981,0.4436462324393358,0.42598009402724274,0.46012088443602733,0.4666405023547881,0.4436462324393358,0.6713962978685172,"[[13, 6, 5], [19, 24, 11], [17, 2, 10]]"
jigsaw,jigsaw_multibin,frozen,2,10,6,107,ok,,0.35514018691588783,0.41815666240953603,0.34510737489460896,0.3211215509485544,0.4525152267087751,0.41815666240953603,0.5579097135808692,"[[10, 0, 14], [15, 8, 31], [6, 3, 20]]"
jigsaw,jigsaw_multibin,frozen,5,1,15,98,ok,,0.47959183673469385,0.46358543417366943,0.4528134125990822,0.4990962874511507,0.4715011510677145,0.46358543417366943,0.6599849477888992,"[[8, 2, 11], [11, 26, 14], [7, 6, 13]]"
jigsaw,jigsaw_multibin,frozen,5,2,15,98,ok,,0.3163265306122449,0.26204840910723265,0.2665154950869237,0.3231199962978389,0.279594183849503,0.26204840910723265,0.5258443730696994,"[[3, 12, 6], [2, 23, 26], [9, 12, 5]]"
jigsaw,jigsaw_multibin,frozen,5,3,15,98,ok,,0.5306122448979592,0.4808230984701573,0.47940745449088057,0.5194667220137698,0.5447530864197531,0.4808230984701573,0.6269605082853786,"[[5, 13, 3], [1, 32, 18], [2, 9, 15]]"
jigsaw,jigsaw_multibin,frozen,5,4,15,98,ok,,0.5510204081632653,0.49389499389499386,0.48803192650616084,0.5529991515088652,0.4857584076870281,0.49389499389499386,0.6832642714213429,"[[5, 4, 12], [13, 34, 4], [2, 9, 15]]"
jigsaw,jigsaw_multibin,frozen,5,5,15,98,ok,,0.5,0.4141707965237377,0.4128277852415783,0.49113574673039845,0.4270833333333333,0.4141707965237377,0.6671732473180713,"[[4, 6, 11], [3, 36, 12], [5, 12, 9]]"
jigsaw,jigsaw_multibin,frozen,5,6,15,98,ok,,0.47959183673469385,0.46358543417366943,0.45335775335775336,0.5030574867309562,0.47609874839476357,0.46358543417366943,0.6511651665080057,"[[8, 2, 11], [15, 26, 10], [8, 5, 13]]"
