family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
jigsaw,jigsaw_multibin,frozen,2,1,6,107,ok,,0.3364485981308411,0.3278522775649212,0.29329892876690905,0.3410655915605043,0.3191358024691358,0.3278522775649212,0.5164069213588697,"[[13, 5, 6], [19, 22, 13], [22, 6, 1]]"
jigsaw,jigsaw_multibin,frozen,2,2,6,107,ok,,0.514018691588785,0.48531289910600256,0.47779967159277503,0.5226702269692924,0.4790729635182409,0.48531289910600256,0.6313771705386962,"[[12, 6, 6], [8, 33, 13], [12, 7, 10]]"
jigsaw,jigsaw_multibin,frozen,2,3,6,107,ok,,0.27102803738317754,0.2785227756492124,0.2734984984984985,0.2907341921360613,0.3141935483870968,0.2785227756492124,0.44489078733081416,"[[6, 7, 11], [31, 13, 10], [13, 6, 10]]"
jigsaw,jigsaw_multibin,frozen,2,4,6,107,ok,,0.3644859813084112,0.38362068965517243,0.35825906120023765,0.3785679777433488,0.4013261513261513,0.38362068965517243,0.5775835883893358,"[[13, 3, 8], [15, 18, 21], [16, 5, 8]]"
jigsaw,jigsaw_multibin,frozen,2,5,6,107,ok,,0.4392523364485981,0.4146445295870584,0.41442796761945694,0.46036021379031916,0.4290540540540541,0.4146445295870584,0.5615443309400661,"[[12, 2, 10], [4, 29, 21], [14, 9, 6]]"
jigsaw,jigsaw_multibin,frozen,2,6,6,107,ok,,0.34579439252336447,0.3853767560664112,0.3495733309711519,0.34557749128048726,0.4322038594974451,0.3853767560664112,0.54781695853661,"[[10, 2, 12], [8, 12, 34], [11, 3, 15]]"
jigsaw,jigsaw_multibin,frozen,2,7,6,107,ok,,0.4672897196261682,0.4206577266922095,0.4209001887024197,0.4727781706686752,0.45316120489904005,0.4206577266922095,0.5674633213392676,"[[9, 10, 5], [18, 33, 3], [11, 10, 8]]"
jigsaw,jigsaw_multibin,frozen,2,8,6,107,ok,,0.40186915887850466,0.3721264367816092,0.36723972967123214,0.41308357903425486,0.37359307359307364,0.3721264367816092,0.5244848998040031,"[[9, 8, 7], [13, 27, 14], [13, 9, 7]]"
jigsaw,jigsaw_multibin,frozen,2,9,6,107,ok,,0.2897196261682243,0.282088122605364,0.2679639201378332,0.29851984667100473,0.3023391812865497,0.282088122605364,0.4557084985235453,"[[9, 10, 5], [30, 18, 6], [15, 10, 4]]"
jigsaw,jigsaw_multibin,frozen,2,10,6,107,ok,,0.4205607476635514,0.39617922520221366,0.38617293254407176,0.4314354531757763,0.39960127591706535,0.39617922520221366,0.556537915429892,"[[5, 7, 12], [12, 25, 17], [8, 6, 15]]"
jigsaw,jigsaw_multibin,frozen,4,1,12,101,ok,,0.37623762376237624,0.37039195372528705,0.35485810068782153,0.393750718924849,0.39554098612069627,0.37039195372528705,0.5740641518218372,"[[5, 2, 15], [16, 19, 17], [7, 6, 14]]"
jigsaw,jigsaw_multibin,frozen,4,2,12,101,ok,,0.33663366336633666,0.3472330138996806,0.3357725731602084,0.3580667367782458,0.37772524297346993,0.3472330138996806,0.5823486421738381,"[[8, 8, 6], [25, 16, 11], [14, 3, 10]]"
jigsaw,jigsaw_multibin,frozen,4,3,12,101,ok,,0.38613861386138615,0.3652551152551153,0.3445309964297307,0.39245326674829123,0.3737273755656109,0.3652551152551153,0.5936970967109604,"[[3, 4, 15], [9, 21, 22], [5, 7, 15]]"
