family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
masking,mask_metabolights,frozen,2,1,6,107,ok,,0.48598130841121495,0.4401873137505321,0.43655623168807756,0.4887300714678395,0.4343775824506048,0.4401873137505321,0.5702093090994826,"[[12, 5, 7], [2, 35, 17], [13, 11, 5]]"
masking,mask_metabolights,frozen,2,2,6,107,ok,,0.3925233644859813,0.4263516389953172,0.3995030670083081,0.3971272512740802,0.43280282935455344,0.4263516389953172,0.5980139530962864,"[[12, 6, 6], [6, 16, 32], [11, 4, 14]]"
masking,mask_metabolights,frozen,2,3,6,107,ok,,0.35514018691588783,0.38676032354193274,0.3474741038933457,0.35214776797398795,0.4135068854933031,0.38676032354193274,0.6287160823383136,"[[8, 2, 14], [15, 13, 26], [8, 4, 17]]"
masking,mask_metabolights,frozen,2,4,6,107,ok,,0.5420560747663551,0.4796189868028949,0.4651558794609289,0.5239358394916978,0.4556243087316534,0.4796189868028949,0.6456837950760943,"[[13, 7, 4], [0, 41, 13], [14, 11, 4]]"
masking,mask_metabolights,frozen,2,5,6,107,ok,,0.5046728971962616,0.47860791826309074,0.47475599669148055,0.5150604114004776,0.4765041721563461,0.47860791826309074,0.586718925445334,"[[14, 2, 8], [3, 33, 18], [11, 11, 7]]"
masking,mask_metabolights,frozen,2,6,6,107,ok,,0.308411214953271,0.3513729246487867,0.30104882175632824,0.29915673901385076,0.332566889632107,0.3513729246487867,0.49764168623437843,"[[15, 7, 2], [18, 12, 24], [19, 4, 6]]"
masking,mask_metabolights,frozen,2,7,6,107,ok,,0.32710280373831774,0.357865048957003,0.28517389340560073,0.306498999569435,0.3644179894179895,0.357865048957003,0.6107207646386483,"[[17, 7, 0], [33, 16, 5], [22, 5, 2]]"
masking,mask_metabolights,frozen,2,8,6,107,ok,,0.4766355140186916,0.41326096211153684,0.39568586357577185,0.4661868755155217,0.43694083694083696,0.41326096211153684,0.6189945728078742,"[[10, 8, 6], [17, 37, 0], [15, 10, 4]]"
masking,mask_metabolights,frozen,2,9,6,107,ok,,0.411214953271028,0.3804278416347382,0.34222817032201674,0.3951088819634311,0.34330637915543577,0.3804278416347382,0.6045854552081803,"[[1, 7, 16], [12, 24, 18], [1, 9, 19]]"
masking,mask_metabolights,frozen,2,10,6,107,ok,,0.32710280373831774,0.36345253299276287,0.3097140656589968,0.3097590535977304,0.406959706959707,0.36345253299276287,0.6181177646430328,"[[6, 2, 16], [14, 10, 30], [8, 2, 19]]"
masking,mask_metabolights,frozen,4,1,12,101,ok,,0.38613861386138615,0.4005439005439005,0.3634148353090252,0.38816860969449396,0.4373015873015873,0.4005439005439005,0.6694046053600001,"[[5, 3, 14], [8, 16, 28], [7, 2, 18]]"
