family,model,fine_tune_mode,support_per_class,repeat,n_train,n_query,status,error,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,macro_roc_auc_ovr,confusion_matrix
classical,logistic_regression,-,2,1,6,107,ok,,0.5700934579439252,0.4648786717752234,0.45065710872162484,0.5306937326231869,0.4597222222222222,0.4648786717752234,0.6646900687216145,"[[8, 10, 6], [1, 48, 5], [12, 12, 5]]"
classical,svm_rbf,-,2,1,6,107,ok,,0.27102803738317754,0.3006066411238825,0.2585164835164835,0.2668994556845024,0.2934303350970018,0.3006066411238825,0.46443281090261984,"[[13, 5, 6], [25, 12, 17], [18, 7, 4]]"
classical,xgboost,-,2,1,6,107,ok,,0.4766355140186916,0.380002128565347,0.36987906273620563,0.4500158942081505,0.36976911976911975,0.380002128565347,0.6001151660230721,"[[5, 11, 8], [6, 41, 7], [10, 14, 5]]"
classical,logistic_regression,-,2,2,6,107,ok,,0.5420560747663551,0.4753618561089825,0.47409979957149767,0.5456433444883454,0.4746642246642247,0.4753618561089825,0.6684199973240977,"[[9, 3, 12], [8, 40, 6], [11, 9, 9]]"
classical,svm_rbf,-,2,2,6,107,ok,,0.4205607476635514,0.39644529587058325,0.35046669223884414,0.4052795791823356,0.3949013949013949,0.39644529587058325,0.48791952626451324,"[[14, 7, 3], [23, 29, 2], [18, 9, 2]]"
classical,xgboost,-,2,2,6,107,ok,,0.38317757009345793,0.36563431247339295,0.3663017382118506,0.4085296865618193,0.39423775804578326,0.36563431247339295,0.4872345395722248,"[[7, 8, 9], [20, 23, 11], [14, 4, 11]]"
classical,logistic_regression,-,2,3,6,107,ok,,0.5981308411214953,0.5632183908045977,0.5511581366279253,0.6053114811474274,0.5590120473841403,0.5632183908045977,0.7210990398858984,"[[8, 2, 14], [10, 36, 8], [4, 5, 20]]"
classical,svm_rbf,-,2,3,6,107,ok,,0.4205607476635514,0.42890591741166456,0.41014983579638753,0.4338500184153584,0.4295482295482295,0.42890591741166456,0.42779151554232353,"[[12, 3, 9], [17, 22, 15], [10, 8, 11]]"
classical,xgboost,-,2,3,6,107,ok,,0.514018691588785,0.4217220093656875,0.39242868568381767,0.470538697468837,0.38803816415756714,0.4217220093656875,0.6374881773561724,"[[1, 13, 10], [5, 40, 9], [1, 14, 14]]"
classical,logistic_regression,-,2,4,6,107,ok,,0.5700934579439252,0.5188910174542358,0.48959362400875767,0.5613773624313189,0.5086600221483942,0.5188910174542358,0.6916353138113962,"[[15, 4, 5], [9, 41, 4], [19, 5, 5]]"
classical,svm_rbf,-,2,4,6,107,ok,,0.27102803738317754,0.32348871860366113,0.25439814814814815,0.23556593977154724,0.4290072859744991,0.32348871860366113,0.4737062821237516,"[[7, 0, 17], [22, 5, 27], [11, 1, 17]]"
classical,xgboost,-,2,4,6,107,ok,,0.24299065420560748,0.32013622818220516,0.18591101694915255,0.17182797402185965,0.3486997635933806,0.32013622818220516,0.4567767289642102,"[[20, 4, 0], [47, 5, 2], [27, 1, 1]]"
classical,logistic_regression,-,2,5,6,107,ok,,0.5327102803738317,0.4779693486590038,0.47513513513513517,0.5405304369790351,0.49698067632850235,0.4779693486590038,0.6762561034946608,"[[6, 3, 15], [3, 36, 15], [7, 7, 15]]"
classical,svm_rbf,-,2,5,6,107,ok,,0.4953271028037383,0.4492869306087697,0.4464728420103674,0.49862561847168774,0.44502040918538555,0.4492869306087697,0.4063759937923475,"[[11, 6, 7], [4, 35, 15], [12, 10, 7]]"
classical,xgboost,-,2,5,6,107,ok,,0.514018691588785,0.4046934865900383,0.3896165283005895,0.4684017404873423,0.40915032679738556,0.4046934865900383,0.5356518895241124,"[[5, 13, 6], [5, 45, 4], [7, 17, 5]]"
classical,logistic_regression,-,2,6,6,107,ok,,0.29906542056074764,0.3598339719029375,0.2958152958152958,0.2680341465388194,0.4093510939924036,0.3598339719029375,0.5455841237484401,"[[10, 3, 11], [8, 6, 40], [13, 0, 16]]"
classical,svm_rbf,-,2,6,6,107,ok,,0.3177570093457944,0.33732439335887615,0.31408731149159447,0.3303437179121739,0.359990253411306,0.33732439335887615,0.47786598834414046,"[[11, 5, 8], [17, 15, 22], [17, 4, 8]]"
